N sim VMP MCMC
10 1 5.411037 69.44371
10 2 1.439863 42.21647
10 3 0.476248 37.51632
10 4 1.378868 58.39172
10 5 1.146778 45.11849
10 6 1.333646 45.47695
10 7 2.324126 38.18311
10 8 1.78331 40.56377
10 9 0.9688191 40.42521
10 10 2.526548 58.23354
10 11 0.761061 50.93794
10 12 4.33614 46.77808
10 13 0.9037421 38.74819
10 14 0.5986822 46.69091
10 15 1.634581 32.60358
10 16 1.549417 45.4279
10 17 4.645284 37.26329
10 18 2.166664 42.751
10 19 1.388606 47.30166
10 20 1.309536 29.64148
10 21 5.587851 42.68213
10 22 3.537992 32.86409
10 23 1.153257 41.9908
10 24 2.101254 38.56953
10 25 1.336456 39.18664
10 26 2.01012 43.99854
10 27 2.292672 33.17318
10 28 9.689159 47.66162
10 29 2.130481 37.45924
10 30 0.707041 37.34401
10 31 1.1987 38.84151
10 32 1.016365 38.34809
10 33 0.893163 38.526
10 34 1.879414 37.11478
10 35 1.506102 51.25986
10 36 2.291003 38.79162
10 37 1.293673 42.67351
10 38 2.230639 36.69325
10 39 1.590738 37.03598
10 40 2.044981 40.19188
10 41 2.493978 36.95407
10 42 1.109442 30.8853
10 43 1.28339 57.32533
10 44 4.557815 37.97242
10 45 10.45056 34.66878
10 46 1.112642 44.6821
10 47 1.266171 41.12065
10 48 2.471472 85.74037
10 49 3.392505 38.37369
10 50 2.958828 51.16383
10 51 1.006953 35.19617
10 52 1.324752 36.78078
10 53 1.785666 35.70299
10 54 3.273955 41.28576
10 55 2.711858 33.67848
10 56 2.513041 45.34496
10 57 1.159124 47.36374
10 58 0.893918 45.33819
10 59 3.230884 48.07233
10 60 2.626982 39.1079
10 61 2.792764 30.71503
10 62 1.73544 41.90267
10 63 2.547776 55.21959
10 64 8.104648 45.44473
10 65 3.461725 36.41701
10 66 2.371335 43.73915
10 67 0.6354852 45.82684
10 68 2.443002 40.08644
10 69 4.033099 45.28261
10 70 0.903192 37.00696
10 71 4.235812 37.77792
10 72 1.091617 46.58583
10 73 1.185107 36.08711
10 74 3.622785 37.09382
10 75 2.82852 41.74841
10 76 0.835819 30.86841
10 77 2.703104 62.4482
10 78 4.309032 36.65275
10 79 2.770729 41.15315
10 80 5.913873 41.38157
10 81 1.493891 46.64793
10 82 2.445424 52.35512
10 83 5.411039 51.83633
10 84 2.172262 38.09784
10 85 6.144383 45.19271
10 86 1.405276 46.98614
10 87 1.356943 43.41607
10 88 0.858937 53.34683
10 89 1.476457 43.60728
10 90 3.485532 44.89506
10 91 4.882902 38.78124
10 92 2.395491 41.68925
10 93 1.995165 31.53057
10 94 1.109302 39.13877
10 95 3.030367 39.25031
10 96 2.447858 32.33026
10 97 1.255702 49.43755
10 98 2.378386 43.04796
10 99 2.581181 55.03645
10 100 2.068762 33.09562
50 1 4.660442 169.4328
50 2 3.703642 187.6315
50 3 3.27697 183.6985
50 4 1.896849 182.4816
50 5 11.28592 213.8142
50 6 3.918985 174.0227
50 7 9.253545 170.3745
50 8 1.630933 214.1038
50 9 13.06264 191.9844
50 10 3.109541 219.3058
50 11 5.689824 183.3279
50 12 5.288387 184.0426
50 13 2.700127 223.8586
50 14 3.446788 181.1052
50 15 1.872754 173.6742
50 16 22.6579 201.4006
50 17 18.59757 176.2351
50 18 1.33416 239.1012
50 19 11.19726 174.0226
50 20 1.976085 183.0941
50 21 6.484918 191.2723
50 22 10.22657 180.6482
50 23 11.98812 197.5843
50 24 16.51205 234.3942
50 25 10.68649 212.9204
50 26 1.888206 181.2822
50 27 4.33118 180.5928
50 28 8.543611 205.8696
50 29 3.712341 180.5899
50 30 9.204379 197.0111
50 31 9.500206 179.5739
50 32 1.942497 231.995
50 33 2.596931 208.7416
50 34 3.528786 203.4671
50 35 4.992036 174.5736
50 36 3.724899 218.8693
50 37 7.135723 227.0286
50 38 6.066394 208.5661
50 39 6.433624 191.3177
50 40 1.996762 229.3919
50 41 4.632931 180.2502
50 42 4.182368 179.9695
50 43 5.665441 165.5256
50 44 1.225321 177.3816
50 45 43.29949 185.0488
50 46 5.791217 184.1415
50 47 24.84986 186.9026
50 48 8.837156 170.6569
50 49 2.014721 158.0746
50 50 4.483693 170.0203
50 51 7.175529 206.3845
50 52 3.80739 185.6803
50 53 4.931433 201.0975
50 54 13.14017 188.5425
50 55 2.334204 173.7146
50 56 7.857241 192.9972
50 57 10.68629 172.0809
50 58 23.88208 222.3961
50 59 2.62999 245.8498
50 60 3.227301 174.9824
50 61 9.605045 220.1726
50 62 2.825462 240.7336
