N sim L evec_1_vmp evec_1_mcmc evec_2_vmp evec_2_mcmc evec_3_vmp evec_3_mcmc evec_4_vmp evec_4_mcmc evec_5_vmp evec_5_mcmc evec_6_vmp evec_6_mcmc
10 1 2 0.7861002 0.7759314 1 1 1 1 1 1 1 1 1 1
10 1 4 0.7823364 0.7590175 0.9999999 0.9858399 1 0.9989783 1 1 1 1 1 1
10 1 6 1 0.7405129 1 0.9849512 1 0.9965288 1 0.9999755 1 0.999994 1 1
10 2 2 0.7838155 0.7655713 1 1 1 1 1 1 1 1 1 1
10 2 4 0.7802285 0.7490908 0.9977683 0.9863168 1 0.9962829 1 1 1 1 1 1
10 2 6 0.7835231 0.7337913 0.9984047 0.9772924 1 0.9927875 1 0.9999746 1 0.9999956 1 1
10 3 2 0.9284924 0.9171032 1 1 1 1 1 1 1 1 1 1
10 3 4 0.9222741 0.8896352 0.9896321 0.9785786 1 0.9986088 1 1 1 1 1 1
10 3 6 0.9138201 0.878529 0.9856522 0.9722078 1 0.9949026 1 0.9999542 1 0.9999975 1 1
10 4 2 0.9827253 0.9796236 1 1 1 1 1 1 1 1 1 1
10 4 4 0.9829212 0.9612494 0.9998636 0.9889613 1 0.999401 1 1 1 1 1 1
10 4 6 0.9835926 0.9517758 0.9998409 0.9861437 1 0.9982109 1 0.9999742 1 0.9999947 1 1
10 5 2 0.5585906 0.6177541 1 1 1 1 1 1 1 1 1 1
10 5 4 0.5533868 0.6136112 1 0.9584655 1 0.9988195 1 1 1 1 1 1
10 5 6 0.5605876 0.6079036 1 0.9464708 1 0.9962533 1 0.9999674 1 0.9999958 1 1
10 6 2 0.7733366 0.756255 1 1 1 1 1 1 1 1 1 1
10 6 4 0.7398517 0.7287917 0.9632515 0.9523715 1 0.9932417 1 1 1 1 1 1
10 6 6 0.7515543 0.7302305 0.96504 0.937866 1 0.9888633 1 0.9999201 1 0.9999868 1 1
10 7 2 0.9921249 0.9596566 1 1 1 1 1 1 1 1 1 1
10 7 4 0.9908823 0.9480527 1 0.9971065 1 0.9998409 1 1 1 1 1 1
10 7 6 0.9943707 0.9430241 1 0.9938146 1 0.999077 1 0.9999702 1 0.9999958 1 1
10 8 2 0.7944615 0.7641289 1 1 1 1 1 1 1 1 1 1
