N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
10 1 0.0524922 0.03635705 0.05762703 0.05478663 0.2850067 0.338651 0.995139 0.534987 0.5305643 0.3814676 0.9898516 0.7363581
10 2 0.2711199 0.2689593 0.09178476 0.09802991 0.06542342 0.1158998 1.349997 0.5382099 0.5605305 0.4564062 0.8169216 0.7966072
10 3 9.507248 0.2625438 1.600075 0.06505516 1.936036 0.3994146 1.945937 0.3406818 2 0.481836 1.181478 0.8383199
10 4 0.4673832 0.09302934 0.02562111 0.03591417 0.1008574 0.298265 1.125308 0.6550219 1.314922 0.5844513 1.019801 0.8003832
10 5 0.3099021 0.3602917 0.07593484 0.1908578 0.3462553 0.479488 0.6711229 0.5886532 0.3926502 0.2937637 0.9533663 0.9265038
10 6 0.1533565 0.2004646 0.04368586 0.05426315 0.218058 0.3492151 1.086387 0.5775924 0.2562656 0.5135285 0.8472056 0.7238959
10 7 0.04892041 0.04532116 0.07659367 0.1770584 1.11179 0.6075518 1.608811 0.6544342 0.311248 0.5498065 0.8177598 0.7529765
10 8 0.01944077 0.01335663 0.09663625 0.08972464 0.5709906 0.4820936 1.145719 0.509201 1.154698 0.537666 0.7882401 0.7491437
10 9 0.1499994 0.2061189 0.05028771 0.05365971 0.2155893 0.2131437 1.761307 0.5389608 0.3907624 0.4496022 0.6696206 0.6814094
10 10 0.2239565 0.2002544 0.4374926 0.4182556 1.731467 0.4817483 1.384678 0.643492 1.887009 0.4745603 0.8555987 0.7888701
10 11 10.21937 0.06376688 1.959461 0.01514458 1.127984 0.2292237 1.656266 0.5456411 1.852108 0.5013713 1.091045 0.697925
10 12 0.1650409 0.1382361 0.02606459 0.04330296 1.993807 0.05260137 1.985076 0.2892405 0.9951215 0.457932 0.892548 0.7665472
10 13 0.04098879 0.09503164 0.6376289 0.4131866 0.3607894 0.2843115 1.287462 0.4137852 1.449329 0.4989272 0.9480601 0.9265277
10 14 0.03177971 0.02515924 0.03477305 0.03211195 1.88012 0.4665576 1.947517 0.5508394 1.793576 0.431224 0.7583115 0.6394004
10 15 0.07494942 0.07336901 0.1236165 0.02498398 1.065803 0.8605725 1.595899 0.6314284 0.8916193 0.5188573 0.7674454 0.6375124
10 16 0.09409905 0.1285377 0.7257712 0.7564421 0.7313816 0.7033429 1.921522 0.5822467 0.5132344 0.4835768 0.9654732 0.9411764
