N sim iter vmp mcmc
10 1 141 5.020251 140.2254
10 2 281 9.27294 125.7453
10 3 170 6.021308 109.5282
10 4 45 2.140434 117.4295
10 5 160 5.651458 143.932
10 6 175 6.082604 124.6516
10 7 203 6.996564 151.8484
10 8 107 4.033528 123.9043
10 9 137 4.950299 111.7018
10 10 69 2.895922 114.0598
10 11 44 2.141801 128.6634
10 12 68 2.869639 116.4472
10 13 43 2.073429 123.2787
10 14 184 6.328367 134.1627
10 15 500 15.52062 107.1472
10 16 144 5.141953 106.9205
10 17 283 9.370376 103.7249
10 18 47 2.217063 138.8374
10 19 147 5.233741 199.0355
10 20 111 4.169763 114.3516
10 21 209 7.153726 110.6578
10 22 120 4.416656 135.7974
10 23 86 3.402775 117.911
10 24 221 7.511474 110.4352
10 25 96 3.675054 134.3548
10 26 109 4.105904 108.3538
10 27 84 3.301203 139.9388
10 28 148 5.257945 129.0048
10 29 113 4.224551 140.7207
10 30 182 6.32335 111.1105
10 31 43 2.080645 112.237
10 32 206 7.09843 116.5242
10 33 94 3.634083 139.8725
10 34 119 4.40419 110.5004
10 35 104 3.940304 122.7263
10 36 95 3.668939 115.8224
10 37 104 3.972804 108.325
10 38 192 6.7644 134.8285
10 39 92 3.622206 119.1231
10 40 101 3.903354 112.8494
10 41 83 3.360243 95.84385
10 42 90 3.558664 145.9826
10 43 254 8.55774 105.0188
10 44 91 3.611074 138.8334
10 45 239 8.179224 117.4796
10 46 76 3.156828 141.611
10 47 420 13.402 127.0312
10 48 124 4.58909 186.9651
10 49 231 10.16058 151.6646
10 50 92 3.546448 121.423
10 51 143 5.098881 125.4969
10 52 90 3.51963 124.0954
10 53 163 5.691507 144.6534
10 54 23 1.485394 115.4203
10 55 291 9.546682 123.1069
10 56 174 6.136183 105.7919
10 57 48 2.268989 122.2016
10 58 173 6.006444 120.7527
10 59 93 3.614704 122.0629
10 60 131 4.724566 121.6952
10 61 428 13.5421 100.0362
10 62 126 4.74626 117.5358
10 63 179 6.383009 104.7094
10 64 311 10.5072 134.9495
10 65 195 7.031883 118.893
10 66 97 3.877913 123.7066
10 67 500 16.13582 106.5862
10 68 62 2.803151 118.9225
10 69 173 6.030415 106.4321
10 70 99 3.789163 99.64511
10 71 397 12.75119 116.8991
10 72 107 4.06861 164.2361
10 73 161 5.724737 103.9817
10 74 96 3.748888 138.229
10 75 146 5.241242 128.7675
