N sim mu psi_1 psi_2
10 1 0.4198238 0.4585348 0.4631695
10 2 0.2983905 0.05608783 0.085691
10 3 0.1856266 0.1609145 0.1618766
10 4 0.04850244 0.04723847 0.06890045
10 5 0.1455639 0.2063229 0.2180695
10 6 0.03406942 0.05635613 0.08916988
10 7 0.1233062 0.004407589 0.0383417
10 8 0.07494673 0.03616974 0.0524153
10 9 0.01600445 0.07467657 0.0981898
10 10 0.1209237 0.02748954 0.1509614
10 11 0.1480796 0.07506908 1.335015
10 12 0.05624322 0.0838475 0.136115
10 13 0.8598562 0.08378953 0.08518708
10 14 0.09533184 0.03168632 0.05101372
10 15 0.1120771 0.1543107 0.254468
10 16 0.2912765 0.1238796 0.1505022
10 17 0.2224731 0.03986649 0.1339969
10 18 0.1999078 0.20676 0.2666839
10 19 0.1344069 0.1388101 0.09175463
10 20 0.2350203 0.02282022 0.0913942
10 21 0.05943986 0.04334459 0.1010919
10 22 0.01072347 0.06965494 0.08308349
10 23 0.02555972 0.1529044 0.2341498
10 24 0.06934822 0.04047782 0.1847837
10 25 0.3206267 0.1368099 0.1729741
10 26 0.09021554 0.1251933 0.138317
10 27 0.0224348 0.1492828 0.1544232
10 28 1.097009 0.5106449 0.04720928
10 29 0.09180007 0.005999323 0.03001914
10 30 0.1481329 0.3357517 0.7413383
10 31 0.2197347 0.0645441 0.2347426
10 32 0.042507 0.01945649 0.04937962
10 33 0.03589268 0.02394511 0.05702269
10 34 0.008943704 0.289397 0.3003487
10 35 0.5264601 0.02116359 0.1731234
10 36 0.2194014 0.06955741 0.1688132
10 37 0.07392599 0.1198739 0.161391
10 38 0.1202436 0.3287884 0.3834831
10 39 0.01364988 0.01434288 0.08208375
10 40 0.503148 0.01937541 0.2586872
10 41 0.05466691 0.1024506 0.1311775
10 42 0.07174535 0.4032636 0.563938
10 43 0.1703106 0.03187448 0.1057832
10 44 0.06599403 0.07337625 0.0643649
10 45 0.04551911 0.3953427 0.4765162
10 46 0.09087797 0.1686555 0.1837915
10 47 0.3523764 0.02097142 0.1148908
10 48 0.3249264 0.07724517 0.198166
10 49 0.5325531 0.00518327 0.08785909
10 50 0.07280274 0.1239819 0.4238629
10 51 0.0766913 0.2609826 0.2342679
10 52 0.02431901 0.02527598 0.09268369
10 53 0.007330022 0.04627519 0.1939556
10 54 0.1200372 0.04188904 1.007471
10 55 0.02450573 0.03235959 0.1278786
10 56 0.1607003 0.165022 1.889061
10 57 0.1158058 0.02013875 0.01801371
10 58 0.1470578 0.1825422 0.3806458
10 59 0.1837695 0.1065577 0.1247138
10 60 0.1448816 0.02324442 0.04850481
10 61 0.09713875 0.9376075 0.9267587
10 62 0.09607012 0.02051914 0.08337487
10 63 0.1212629 0.6995756 0.7271746
10 64 0.05846367 0.6461068 0.7154196
10 65 0.1766712 0.06494047 0.1238214
10 66 0.06897696 0.1209681 1.938382
10 67 1.03057 0.1745642 0.460691
10 68 0.04939216 0.02624122 0.04775656
10 69 0.006954335 0.04103017 0.2210833
10 70 0.1171198 0.1113554 0.434151
10 71 0.009563901 0.05193924 0.164807
10 72 0.1405287 0.05648513 0.6380718
10 73 0.09961468 0.5818588 0.8459119
10 74 0.09921365 0.03818059 0.1969362
10 75 0.3713371 0.2054028 0.2453701
10 76 0.02119097 0.09741634 1.361328
10 77 0.04089156 0.09468977 1.118538
