N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 1 0.4676518 0.1898686 0.04808668 0.04348404 0.03370815 0.03054396 0.2610874 0.08551743 1.714772 0.007961368 1.770792 0.04625012 1.983367 0.04341101 0.8947027 0.7114262 1.02477 0.5919415
10 2 0.1027786 0.05959511 0.1986243 0.2007243 1.013191 1.006755 0.8288 0.8246845 0.01629545 0.0153522 0.1097787 0.06808658 1.951754 0.1094342 0.8827065 0.8703994 0.6703037 0.5959271
10 3 0.1731358 0.1446759 0.1072539 0.08861602 0.2086395 0.1788272 0.1108176 0.0972797 0.01246982 0.01288814 0.02837162 0.03212736 1.983393 0.08815018 0.669299 0.6612993 0.6499058 0.6064255
10 4 0.2027593 0.220193 0.08133325 0.0606936 0.3614242 0.3083387 0.37579 0.3289378 0.007143705 0.005320052 1.424981 0.0514305 1.9972 0.08165288 0.7696376 0.7706448 0.9827248 0.6086158
10 5 0.2266631 0.1719459 0.0198423 0.01954541 0.07356684 0.1680598 0.3816587 0.1537224 0.01433291 0.01048068 1.454869 0.02945336 1.846131 0.08759323 0.7447303 0.6573933 1.004956 0.5881738
10 6 0.117432 0.1229994 0.05432579 0.05886628 0.177715 0.1917558 0.1670875 0.1795128 0.01463551 0.01243829 0.01584646 0.01736675 1.957698 0.08865156 0.7218721 0.7129344 0.6327293 0.5681244
10 7 0.0944133 0.05664243 0.1768795 0.1300003 0.6078267 0.5536655 0.6870517 0.5775466 0.01073936 0.009251419 0.08259837 0.0616613 1.987767 0.06629376 0.6107242 0.5817845 0.6483172 0.6016166
10 8 0.2739118 0.08537108 0.05037881 0.05393192 0.04953784 0.05714671 0.1043699 0.09865142 0.01628541 0.01627362 0.03516152 0.02989914 1.949776 0.03118237 0.7324516 0.6261334 0.662713 0.5925367
10 9 0.0759491 0.0232068 0.03786298 0.03996946 0.07837521 0.04687404 1.526586 0.07982916 0.007581826 0.005462617 1.417776 0.0168019 1.920538 0.076238 0.7006853 0.511073 1.01331 0.5523666
10 10 0.05163266 0.03603919 0.04961047 0.05194751 0.07459022 0.07075811 0.05377901 0.05353883 0.02558415 0.02373224 0.07532445 0.06896428 1.962208 0.05681343 0.5731689 0.5455999 0.663423 0.5815046
10 11 0.07101433 0.08865287 0.03208424 0.03194689 0.7257814 0.7223275 0.8434262 0.8208391 0.01535872 0.008252541 0.03520414 0.02744828 1.983183 0.08201386 0.6389597 0.663953 0.6914349 0.5694876
10 12 0.1145591 0.2199519 0.05424637 0.06177747 0.03480351 0.01891601 0.140035 0.1146811 0.009036389 0.0128477 0.1201595 0.1015216 1.882501 0.108229 0.6461425 0.7593507 0.8017145 0.6142457
10 13 0.07126426 0.07640913 0.01477284 0.01846909 0.2530925 0.2938327 0.5313803 0.4934214 0.01928482 0.01917924 0.1511513 0.1658792 1.89581 0.1433214 0.6039199 0.6393186 0.7908695 0.6552467
10 14 0.03150325 0.04404977 0.1605241 0.1723671 0.1565845 0.172629 0.5042513 0.2985422 0.007838646 0.006690728 0.02624506 0.0275621 1.99654 0.0538865 0.6511204 0.6252611 0.6567152 0.5946486
10 15 0.1671477 0.153248 0.001782874 0.0006524683 0.6341114 0.6302294 0.5878059 0.6442751 0.009489205 0.009644529 1.468427 0.03484255 1.772268 0.0416509 0.7356838 0.7190872 1.022266 0.5928827
10 16 0.08972815 0.06279634 0.06929107 0.06453054 1.016975 0.9578123 1.211185 0.8824021 0.003900728 0.004570309 1.777481 0.03142286 1.990072 0.02811731 0.6598143 0.6783332 1.027148 0.585367
10 17 0.02711666 0.02647293 0.04990433 0.04182179 0.9549461 1.16092 1.036096 1.027181 0.003357009 0.003443235 0.02859918 0.02874444 1.978105 0.04164209 0.6786372 0.6704157 0.6737038 0.6051101
10 18 0.009890499 0.008708951 0.05151835 0.04306294 0.1472782 0.06907755 0.2988527 0.1615248 0.01040841 0.008464617 1.458132 0.03150819 1.808214 0.05054352 0.5498113 0.4954757 0.7694366 0.5828779
10 19 0.0794853 0.05620648 0.03356083 0.03372782 0.04345205 0.0391344 0.0903662 0.0972736 0.004381217 0.003599401 0.02866559 0.02721344 1.910351 0.04993348 0.5513589 0.5331303 0.6311878 0.5715292
10 20 0.1415308 0.2017714 0.02643723 0.03068475 0.1615622 0.1746847 0.1418958 0.155309 1.959926 0.003032998 1.96119 0.05175749 1.866665 0.05522891 0.6743491 0.6801395 1.027759 0.5890718
10 21 0.08601965 0.08832155 0.08755181 0.07664779 0.9778281 0.8836217 0.8062994 0.6971118 0.004364249 0.004401075 0.0207527 0.02442596 1.989487 0.01899246 0.7188336 0.7146809 0.6482876 0.581299
10 22 0.09698558 0.06809278 0.05624998 0.05493209 0.06103428 0.08893355 0.1268313 0.1220141 0.01333849 0.0112609 0.02460341 0.02260862 1.96759 0.0774442 0.6256609 0.582141 0.6317013 0.5759306
10 23 0.142025 0.1954788 0.7037631 0.6941162 0.7670059 0.7533003 0.09174405 0.0479992 0.005193119 0.005649536 0.04290543 0.04292037 1.941183 0.1008601 1.01576 1.056889 0.6366255 0.5998857
10 24 0.1477223 0.159038 0.0655139 0.06892466 0.07751137 0.06904429 0.3283797 0.1484958 0.02306782 0.00781173 1.555811 0.02917377 1.879805 0.03522963 0.6619336 0.6629964 1.023748 0.5751149
10 25 0.3011886 0.1937583 0.04827114 0.05415315 0.04125837 0.02034857 0.1881211 0.155091 0.007392721 0.00692937 1.081396 0.03895544 1.603931 0.06779873 0.7080115 0.6670246 0.7185673 0.5914633
10 26 0.08052511 0.04017964 0.02468452 0.02568834 0.09964977 0.1136357 0.3803773 0.2922683 0.00876545 0.008147895 1.428922 0.02282211 1.857946 0.0551669 0.60964 0.5219733 0.9932353 0.5924868
