N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 1 0.1757371 0.1415046 0.04923574 0.04359243 0.03725079 0.03087471 0.1189532 0.09112732 0.00788407 0.008464759 0.05023205 0.04509174 1.94328 0.0418425 0.6898233 0.6789607 0.6882498 0.5923434
10 2 0.0487576 0.03758192 0.2194205 0.2019104 0.984588 1.009244 0.7835502 0.826397 0.01612311 0.01444211 0.1097541 0.07176356 1.927256 0.112667 0.8609531 0.861271 0.6670714 0.5931758
10 3 0.08020744 0.07978697 0.09444494 0.08669663 0.1861747 0.1768628 0.09699337 0.09243169 0.01224745 0.01275472 0.02788934 0.03213487 1.983082 0.08473228 0.6086141 0.6091968 0.6410878 0.6013886
10 4 0.1305661 0.1491031 0.0617607 0.06068157 0.3458564 0.315217 0.3589239 0.3411089 1.737978 0.005194317 1.734648 0.04916775 1.919876 0.07995254 0.7348337 0.7287947 0.9337008 0.6049938
10 5 0.1283421 0.07868801 0.02416852 0.01935833 0.2374977 0.161258 0.2068343 0.1423333 0.01272652 0.0105344 1.429408 0.02911337 1.886313 0.08853125 0.727959 0.5549853 0.7352912 0.5853293
10 6 0.04284927 0.03344172 0.0625383 0.05745569 0.1710348 0.1915714 0.1447887 0.179497 0.01485595 0.0124825 0.0161592 0.01844782 1.949519 0.08872281 0.6549177 0.6353928 0.6335887 0.5671817
10 7 0.01817886 0.02432313 0.1602199 0.1243854 0.6726781 0.5037029 0.9380749 0.5247582 0.01132787 0.009418344 0.09005005 0.05786583 1.995978 0.06637134 0.605948 0.545769 0.6556499 0.5927391
10 8 0.1449957 0.07517748 0.062905 0.05427672 0.07385956 0.06225305 0.1147729 0.08916746 0.01687365 0.01611023 0.03421384 0.03089679 1.938331 0.03186521 0.6669473 0.6249489 0.6641753 0.5915134
10 9 0.03785312 0.02862797 0.07321432 0.03943855 0.09910895 0.04689789 0.2925016 0.08116598 0.9044394 0.005534066 1.658869 0.01675464 1.96082 0.07917228 0.6138782 0.528807 0.9981434 0.5501549
10 10 0.08509007 0.0316962 0.04251184 0.05186646 0.09170113 0.07377018 0.7544659 0.05660744 0.01710987 0.02325296 1.548634 0.0680399 1.815481 0.05550616 0.6063539 0.545101 0.7718532 0.5764699
10 11 0.06772423 0.080706 0.02946081 0.03306252 0.6540838 0.697749 0.7553864 0.8006732 0.00754752 0.008473803 0.02824001 0.02717828 1.984864 0.07782412 0.6383253 0.6604227 0.6152966 0.5701097
10 12 0.1204936 0.08651292 0.0707489 0.0612287 0.02557009 0.01930482 0.5584826 0.1097553 0.01092982 0.01234679 1.513074 0.1030486 1.826529 0.1105102 0.731727 0.6624054 0.8562077 0.6144446
10 13 0.04444812 0.0384272 0.01799416 0.01824397 0.2889229 0.3061055 0.6256863 0.5284564 0.01330305 0.01910616 1.764122 0.170433 1.879128 0.1452765 0.5962231 0.6028701 1.250956 0.6581716
10 14 0.03472664 0.02254785 0.1482796 0.1702797 0.1501804 0.1713592 0.5079068 0.2886514 0.007837802 0.00671689 0.02564265 0.02671433 1.837243 0.05625101 0.5889958 0.6215923 0.6555788 0.5932318
10 15 0.1169881 0.06662551 0.002533458 0.0007243252 0.6430167 0.6210886 0.5982096 0.6326958 0.009436916 0.00939032 1.469002 0.03795218 1.773269 0.04343389 0.7105793 0.6704603 1.022266 0.5890739
10 16 0.0383403 0.02949266 0.07862374 0.06525801 1.073951 0.9726144 1.145743 0.8933373 0.004870841 0.004632371 1.818741 0.03147484 1.995937 0.02654981 0.6623101 0.6592999 0.7540932 0.5850679
10 17 0.01903805 0.02242587 0.04102617 0.0411495 1.310462 1.123456 1.322915 1.012618 0.003388938 0.003463479 0.02745343 0.02917623 1.983689 0.04253708 0.6588589 0.6675526 0.6658535 0.5996243
10 18 0.0013481 0.006801119 0.04377942 0.04349323 0.0616418 0.07154612 0.2914759 0.1597038 1.877517 0.008321876 1.872903 0.0308505 1.782403 0.05066205 0.4904679 0.5097227 1.002758 0.5787053
10 19 0.04286346 0.0520396 0.04424351 0.03326566 0.05463805 0.0360001 0.07737761 0.08351838 0.004722902 0.003601945 0.02815738 0.02629963 1.911987 0.04971423 0.5334742 0.5101214 0.6254236 0.5656116
10 20 0.0550803 0.09977986 0.02970602 0.02811973 0.08699321 0.1544147 0.06044218 0.1308469 0.07908915 0.003135215 0.1253663 0.05276527 1.923566 0.05256289 0.5200052 0.5432415 1.027759 0.5866425
10 21 0.05430893 0.05198981 0.0718217 0.07594437 0.991111 0.8883164 0.8412355 0.7326873 0.004132429 0.003990966 0.02243901 0.02371847 1.990551 0.01916855 0.7404958 0.7187207 0.6440759 0.574812
10 22 0.05398399 0.05500378 0.1112238 0.05494668 0.1254285 0.08915444 0.1100341 0.1215526 0.01182014 0.01100299 0.02316973 0.02191727 1.966657 0.0807923 0.8739891 0.5658135 0.7619005 0.5721637
10 23 0.05988926 0.1747099 0.7510515 0.6916216 0.8208648 0.7570694 0.07715829 0.04659087 0.007212445 0.005788915 0.1755608 0.04172704 1.890969 0.1015258 0.9675066 1.061476 0.6786526 0.5994525
10 24 0.1330239 0.1330581 0.0687615 0.06834613 0.07109995 0.06819049 0.2851777 0.1523422 0.01238426 0.007489207 1.540236 0.03010218 1.892522 0.03600966 0.6902557 0.6457449 1.023745 0.5710261
10 25 0.1929379 0.2714217 0.04522036 0.05373683 0.02477315 0.02499002 0.1754848 0.1599372 0.00783462 0.006533268 0.02512042 0.0373594 1.999501 0.0661787 0.6589832 0.7278311 0.6557734 0.5897941
10 26 0.05851077 0.05073137 0.03141704 0.02655875 0.17922 0.1449617 0.4400487 0.3372131 0.00900914 0.008352158 1.429614 0.02146315 1.852105 0.05588191 0.7882132 0.5498101 1.006315 0.5956266
10 27 0.04423722 0.03127484 0.03913336 0.02707696 0.2152485 0.2122993 0.2567164 0.2362485 0.006416492 0.005573401 1.389955 0.042302 1.924644 0.08917941 0.5523253 0.5441292 0.7187245 0.5662718
10 28 0.03288316 0.0351265 0.1893183 0.157562 0.2715771 0.2283805 0.6252591 0.2157588 0.02030113 0.01675474 1.435163 0.1499028 1.818008 0.1562907 0.588749 0.6228024 0.7831861 0.6087046
10 29 0.04502273 0.07442373 0.08725539 0.1259131 0.9945686 0.970755 0.9162306 0.8546574 0.005660987 0.006256107 0.03646228 0.03587224 1.989199 0.05730187 0.7622892 0.7862431 0.6365674 0.5893359
10 30 0.01783594 0.01025427 1.478661 1.322222 1.561355 1.349685 0.2051649 0.1325922 0.004838125 0.00416291 0.07718599 0.05860398 1.917193 0.1291973 0.883777 0.8792408 0.6378444 0.5624098
10 31 0.09488823 0.08409854 0.04779432 0.04229357 0.1807044 0.165006 0.1608894 0.1010397 0.004568385 0.004408342 1.667032 0.01616207 1.82953 0.05866387 0.6476285 0.6646253 0.7487362 0.5670162
10 32 0.01921538 0.02904591 0.02604695 0.02206156 0.3504114 0.3686113 0.5061952 0.3589465 0.004455298 0.003482859 1.419736 0.05271919 1.984338 0.04387322 0.5489443 0.5536199 0.9459189 0.5764374
10 33 0.1064571 0.1409394 0.07277262 0.03792819 0.2551345 0.4165755 0.2918809 0.4334958 0.007151108 0.006699504 0.04349343 0.02836551 1.958681 0.02949222 0.7957847 0.7163098 0.6837082 0.5984614
10 34 0.4107091 0.2087166 0.09331431 0.07865325 0.2302584 0.299779 0.9757859 0.3564486 1.693107 0.007751277 1.934565 0.06601746 1.991836 0.08850558 0.8570384 0.7879043 1.012027 0.5821365
10 35 0.09070035 0.07481516 0.02869884 0.02547222 0.4430266 0.4218306 0.5530956 0.5169885 0.005040104 0.005405867 0.0606136 0.06008276 1.972031 0.1746609 0.7445465 0.7275181 0.637266 0.5992263
10 36 0.01787146 0.03056089 0.4556635 0.3159801 1.245499 0.4857265 0.9442287 0.5954124 0.01487274 0.008618899 1.448236 0.01980242 1.965134 0.03042271 0.9895542 0.7458493 0.9194429 0.5828193
10 37 0.04310419 0.05243085 0.2065313 0.1556779 0.2116364 0.1647443 0.08656385 0.07998182 0.01479212 0.02458851 1.505512 0.0280015 1.847207 0.06862286 0.6978037 0.6527786 0.9372924 0.6083707
10 38 0.09959398 0.1196194 0.104835 0.105816 0.6336875 0.6404271 0.8468889 0.6103266 1.341819 0.001825013 1.929336 0.02836792 1.836826 0.04673318 0.7666794 0.7674253 1.027386 0.5843498
10 39 0.05132369 0.05934222 0.03736904 0.02678315 0.03014684 0.04418074 0.1499079 0.1433807 0.01628879 0.01734582 1.294351 0.02599846 1.828978 0.05377828 0.5244488 0.5769733 0.7761664 0.5976227
10 40 0.1000963 0.0721441 0.07166375 0.1277629 0.07718674 0.1217046 0.2570313 0.1531009 0.006340078 0.006116699 0.005860789 0.008927958 1.972541 0.04979864 0.5978474 0.5528681 0.6553034 0.5783175
10 41 0.02621278 0.04637202 0.01536539 0.01434299 0.1128022 0.1146539 0.2671541 0.1520912 0.007597511 0.007973636 1.433604 0.03443892 1.982412 0.05346655 0.5066498 0.5266101 0.9004718 0.5762839
10 42 0.09649407 0.08711207 0.09682097 0.1009953 0.3038661 0.3205453 0.8273544 0.4160695 0.01151262 0.01070789 1.444583 0.02060364 1.886514 0.05945381 0.7243758 0.6964662 1.033813 0.5699643
10 43 0.03930125 0.0339253 0.1823898 0.1919441 0.926747 1.034591 1.067551 0.8874114 0.007724623 0.007966699 0.04781734 0.05003087 1.95343 0.06148329 0.7368004 0.6982377 0.7815299 0.5952925
10 44 0.02084603 0.01638644 0.02538079 0.03074725 0.03546573 0.04670414 0.7678834 0.430523 0.007056787 0.007023892 0.02191214 0.02619968 1.866064 0.03879862 0.4546085 0.4362442 0.6199786 0.5563464
10 45 0.07671206 0.05562398 1.123079 0.9009638 1.189951 0.9430196 0.1717333 0.2068068 0.005598776 0.005278093 0.01872015 0.01879849 1.936989 0.07949081 0.8439242 0.8243474 0.7871332 0.6085633
10 46 0.01650448 0.008028324 0.02637617 0.06323417 1.136701 1.293077 1.183603 1.232175 0.005344572 0.0055159 0.04092238 0.05802772 1.957086 0.0600583 0.7363358 0.7148122 0.6520976 0.5837163
10 47 0.3429957 0.278875 0.05969757 0.04872373 0.04151812 0.04366879 0.05269612 0.04911705 0.006379647 0.01012072 1.373629 0.03549682 1.899047 0.06290745 0.7931801 0.7205655 0.8045266 0.5735435
10 48 0.06767996 0.02990802 0.02134797 0.0217144 0.7759149 0.829801 0.9478965 0.9725711 0.01176918 0.009641563 0.07739447 0.08014796 1.847555 0.101275 0.6784961 0.6450853 0.673111 0.6260826
10 49 0.1841887 0.189572 0.01423798 0.01410968 0.1272727 0.1301469 0.264342 0.2628816 0.002377565 0.002176213 0.02136508 0.02413576 1.983654 0.07661544 0.6630393 0.6712459 0.6299871 0.554977
10 50 0.01490681 0.006752361 0.1290694 0.1187923 0.1182 0.09782178 0.2182747 0.1848681 0.007287131 0.007432232 0.01052921 0.01389922 1.973573 0.02070813 0.5749981 0.5140806 0.6586602 0.5830017
10 51 0.009150186 0.01793208 0.186612 0.2128158 0.1709477 0.1777861 0.2590391 0.2957491 0.009069947 0.009929113 0.03735826 0.02634101 1.968897 0.06247769 0.6830531 0.6687471 0.6363295 0.5632449
10 52 0.077899 0.08984049 0.1103404 0.09385652 0.08445196 0.08441097 0.06763605 0.04499626 0.007108818 0.01143862 1.44001 0.02335855 1.870066 0.03648378 0.8090037 0.6392352 0.8218977 0.5845372
10 53 0.03648887 0.01403129 0.1498467 0.1619242 0.3183486 0.4014545 0.2505063 0.3208237 0.03698511 0.03273789 0.0429248 0.0339915 1.989303 0.05981124 0.671652 0.6531272 0.8259027 0.6146214
10 54 0.03894926 0.03006197 0.02038886 0.02073499 0.05967989 0.06751455 0.2325137 0.2482545 0.009564787 0.01020429 0.02087783 0.01633439 1.907996 0.1232537 0.5413074 0.4925976 0.6453083 0.5913272
10 55 0.01234697 0.02244592 0.07060018 0.06758985 0.1592725 0.1163835 0.2785083 0.1452614 0.006760479 0.005394535 0.02776556 0.01560998 1.93427 0.0622807 0.5188804 0.5462192 0.6373799 0.5628185
10 56 0.02798483 0.04135672 0.06604331 0.06107669 0.4441634 0.5015672 0.4791403 0.5375186 0.01491879 0.01062333 1.492589 0.1431475 1.768523 0.1718098 0.6439362 0.6605049 1.018818 0.5834938
10 57 0.03498092 0.04166122 0.1612385 0.1420784 1.075613 0.7399616 1.342991 0.6236633 0.003313026 0.003714298 0.0414062 0.0405112 1.996714 0.05105034 0.6968121 0.6561536 0.635207 0.5769849
10 58 0.01671076 0.04932568 0.1088117 0.09181156 0.1540794 0.1734771 0.06440829 0.1110291 0.005571076 0.004555098 1.44702 0.03199828 1.932836 0.06933141 0.6346608 0.6964287 0.7389573 0.5723743
10 59 0.4778329 0.1457013 0.009196337 0.005761466 0.3231283 0.3239272 0.3449688 0.3404925 0.006537061 0.0048947 0.07052256 0.06777559 1.850532 0.1185835 0.8613699 0.720211 0.6414477 0.5788201
10 60 0.007935086 0.01152474 0.0494585 0.04513771 0.1169842 0.379393 0.05479245 0.3592618 0.01029802 0.01598839 1.448063 0.0166126 1.865866 0.08629713 0.4919063 0.531508 1.002967 0.5856397
10 61 0.1198399 0.09095008 0.03508108 0.03093231 0.04279003 0.03524179 0.04928725 0.0474509 0.007335343 0.006953617 0.0663239 0.06327805 1.975053 0.06347069 0.6058902 0.5473598 0.649268 0.6021154
10 62 0.1045873 0.1051787 0.05816351 0.05787706 0.06562995 0.08554837 0.1344493 0.1133109 0.01298789 0.01066165 1.507103 0.03165743 1.880296 0.07854368 0.6345425 0.6345359 0.7453473 0.5797066
10 63 0.1605757 0.32357 0.01522293 0.01409823 0.1491719 0.1079371 0.3177004 0.10766 0.01936228 0.02063934 1.279489 0.04290099 1.9321 0.04783614 0.6895886 0.7813009 1.000298 0.5952616
10 64 0.08264245 0.03788169 0.01945024 0.02431983 0.07802483 0.1032588 0.3603873 0.1649621 0.008798642 0.01209311 1.379149 0.06269086 1.813229 0.06913148 0.6421659 0.5246523 0.7507631 0.5981714
10 65 0.0917337 0.07053378 0.07042862 0.05960402 0.2195168 0.2246319 0.1845986 0.2372053 0.07731341 0.01223163 0.7928619 0.733109 1.811008 0.7328384 0.673407 0.605439 0.7808526 0.7082912
10 66 0.03748586 0.03463673 0.006272965 0.005512525 0.1133822 0.1206235 0.2703502 0.1705099 0.003905927 0.007833121 0.03795475 0.03858029 1.93239 0.07015788 0.5177591 0.452829 0.7855098 0.5877544
10 67 0.03543712 0.02961726 0.01193931 0.01424447 0.04811199 0.04730952 0.08916431 0.06268942 0.01346406 0.01165728 0.06062074 0.03923111 1.941093 0.04664054 0.4609404 0.4238407 0.6765768 0.5914932
10 68 0.09292693 0.1291458 0.07315438 0.0580014 0.04188297 0.0310967 0.3234397 0.1640204 0.005350427 0.009793613 0.03434607 0.04946425 1.964952 0.03207959 0.5820554 0.6116185 0.7818328 0.6265506
10 69 0.1451761 0.1037351 0.1142845 0.1092501 0.2177392 0.2021638 0.1015064 0.0908938 0.007460984 0.005753542 0.03136348 0.03027562 1.868362 0.05807774 0.7438876 0.7107171 0.6559146 0.6031135
10 70 0.05955237 0.02971412 0.8392182 0.7315574 1.173805 1.211896 0.5825102 0.6095983 0.007570989 0.008815983 1.271223 0.02430606 1.949665 0.04632998 0.9384605 0.9234523 0.7755876 0.5748608
10 71 0.04021303 0.04745268 0.04170569 0.03902309 0.1082189 0.09202017 0.07311271 0.1184404 0.02228732 0.01943371 0.194993 0.1534241 1.927484 0.1669921 0.5418933 0.5225695 0.6692966 0.6141358
10 72 0.151435 0.1250959 0.2105597 0.1922243 0.3862397 0.3469394 0.1987084 0.1887651 0.01579364 0.01299329 0.02163062 0.02125145 1.967541 0.07808862 0.7777448 0.7975353 0.6380616 0.5812747
10 73 0.1018411 0.05990372 0.006167461 0.00411353 0.007351066 0.02856775 0.01167921 0.03828931 0.008868007 0.007849733 0.01326316 0.008409411 1.997219 0.02339735 0.7171483 0.4767662 0.6337459 0.5715283
10 74 0.056079 0.04911937 0.04382435 0.04685833 0.09534651 0.08526526 0.1299271 0.1430075 0.05423567 0.00566147 0.06100722 0.01402038 1.984146 0.04320136 0.6295347 0.5667499 0.7950824 0.5974088
10 75 0.07544862 0.09138973 0.1807645 0.1994052 0.2651119 0.2619007 0.2916494 0.2976902 0.00495882 0.003782811 0.07054748 0.07233124 1.897039 0.1290429 0.7567819 0.7368011 0.6692171 0.6300457
10 76 0.009916222 0.02412327 0.009498106 0.01352398 0.6898214 0.7468621 0.6666045 0.7113868 0.005447555 0.005715491 0.0153741 0.01232514 1.952975 0.04667893 0.7203726 0.7185649 0.667611 0.6076717
10 77 0.1126803 0.08188608 0.01326303 0.01306333 0.192934 0.208809 0.2819469 0.2905482 0.005868908 0.008443958 0.05152857 0.04766093 1.912649 0.08294919 0.647009 0.5851102 0.8514376 0.5737095
10 78 0.1029946 0.08068923 0.2271317 0.156021 0.8065286 0.7354253 1.032189 0.8940342 0.003323282 0.003659636 1.464543 0.05878468 1.786255 0.1147392 0.7387764 0.7277753 0.8298209 0.5935061
10 79 0.06828755 0.0902666 0.117307 0.1130159 0.19821 0.1902268 0.2970211 0.2131623 0.0142171 0.0182518 1.372686 0.05764877 1.803981 0.09387392 0.7154917 0.7180044 0.8658488 0.6234503
10 80 0.02040423 0.05473246 0.3931112 0.4079421 0.4559341 0.5034927 0.1414235 0.1566305 0.00881058 0.007955089 1.418422 0.03062565 1.957027 0.03299056 0.7495271 0.7618588 0.7775747 0.6031782
10 81 0.04435635 0.0459962 0.236676 0.2971688 0.2373701 0.5296859 0.03560469 0.3934781 0.007522779 0.007158137 0.507954 0.5336935 1.303636 0.5207427 0.7352977 0.7525358 0.7573946 0.6851148
