N sim iter vmp mcmc
10 1 123 33.32232 1934.235
10 2 313 73.81741 1686.146
10 3 417 93.91435 1659.885
10 4 92 25.2982 1877.27
10 5 110 29.7518 2406.334
10 6 110 29.98249 1829.699
10 7 145 37.80194 1312.798
10 8 96 26.65684 1709.716
10 9 26 11.31523 1927.468
10 10 10 7.298459 1616.438
10 11 339 82.2261 1555.074
10 12 20 9.661903 1650.07
10 13 55 16.93265 1653.741
10 14 348 83.84631 1563.409
10 15 154 40.44117 1940.046
10 16 54 17.06143 1737.234
10 17 331 75.69626 2376.796
10 18 220 52.38544 1706.587
10 19 209 51.09871 1887.223
10 20 190 45.89682 1856.106
10 21 275 68.5402 1664.287
10 22 338 82.7155 1954.168
10 23 44 15.79475 2022.207
10 24 49 16.85373 1776.083
10 25 122 31.93232 1493.847
10 26 56 18.04616 1712.336
10 27 77 22.80973 1357.742
10 28 56 18.79294 1370.331
10 29 60 18.81888 1621.124
10 30 500 113.2674 1186.067
10 31 216 54.43947 1351.422
10 32 500 106.5246 1673.339
10 33 500 105.5861 1381.177
10 34 39 14.11702 1772.007
10 35 417 101.1134 2121.618
10 36 500 118.7298 1580.319
10 37 500 113.5769 1546.072
10 38 77 22.80913 1673.437
10 39 89 26.47214 1692.114
10 40 82 23.87108 1683.969
10 41 51 16.73853 1780.735
10 42 189 48.38628 1899.784
10 43 170 44.10757 1769.674
10 44 90 25.856 1587.499
10 45 74 21.7374 1613.13
10 46 125 33.19045 1803.261
10 47 62 19.05006 1996.013
10 48 112 30.00662 1972.293
10 49 500 114.1519 2244.402
10 50 87 21.82812 1294.717
10 51 85 21.02373 1246.979
10 52 27 9.360604 1936.516
10 53 77 18.66238 1512.907
10 54 81 20.57939 1403.293
10 55 204 42.93129 1382.554
10 56 236 50.49458 1480.575
10 57 158 34.18721 1367.619
10 58 26 9.683722 1662.438
10 59 208 44.98136 1944.113
10 60 172 45.02752 2185.246
10 61 88 25.40433 1933.237
10 62 362 87.36705 1875.887
10 63 77 22.64098 2203.802
10 64 18 9.631123 2813.689
10 65 50 16.6028 1653.744
10 66 138 37.05033 1785.701
10 67 333 81.70276 1791.167
10 68 251 61.84083 1782.494
10 69 311 77.12924 1811.839
10 70 26 11.58065 1811.411
10 71 373 83.03418 1540.107
10 72 279 63.38033 1590.409
10 73 107 27.07046 1786.857
10 74 134 32.67542 1774.516
10 75 99 24.64751 1456.305
10 76 67 17.30354 1505.34
10 77 46 14.13941 1644.278
10 78 42 11.98381 1288.545
10 79 57 16.51442 1943.907
10 80 264 53.95886 1313.361
10 81 90 22.90441 1379.125
10 82 119 28.20695 1595.58
10 83 100 27.62729 1771.131
10 84 84 26.06056 1996.212
10 85 157 39.18395 2061.754
10 86 85 24.19013 2095.547
10 87 95 28.55547 1931.815
10 88 129 34.23462 1864.525
10 89 64 19.24865 1999.416
10 90 82 23.90576 2135.645
10 91 37 13.0717 1792.703
10 92 68 21.19307 1747.06
10 93 244 61.31877 2531.646
10 94 181 47.3575 2106.14
10 95 161 38.71848 1804.591
10 96 66 20.35374 1249.753
10 97 101 28.34226 1795.208
10 98 135 35.95532 1825.592
10 99 63 19.46143 2114.06
10 100 79 23.73172 1779.536
50 1 115 125.3646 10302.39
50 2 150 177.6589 13053.4
50 3 103 131.8173 14219.4
50 4 63 89.60829 14748.8
50 5 456 521.0022 13624.94
50 6 61 87.37459 12229.31
50 7 94 127.0731 14102.76
50 8 457 511.2326 12388.39
50 9 162 179.2121 12341.38
50 10 51 64.19228 12142.29
50 11 146 155.3598 13762.76
50 12 46 59.29889 14008.26
50 13 229 235.4001 12926.01
50 14 177 180.0559 11791.55
50 15 182 186.9787 12338.22
50 16 91 100.4592 14475.07
50 17 235 241.3765 12855.33
50 18 147 155.4807 13013.78
50 19 476 466.5215 13972.74
50 20 196 200.1866 12435.76
50 21 239 237.4077 14321.69
50 22 32 46.86037 12580.37
50 23 46 59.56997 14905.18
50 24 107 118.3376 14075.12
50 25 81 92.33612 13047.66
50 26 95 105.0006 12840.1
50 27 230 238.6131 14849.89
50 28 105 114.4749 13278.29
50 29 251 258.2826 13815.33
50 30 232 239.2348 14818.47
50 31 87 98.40791 13895.17
50 32 252 258.4097 13278.43
50 33 95 104.7154 12840.13
50 34 148 157.2145 13375.42
50 35 122 133.6672 14624.43
50 36 194 202.116 15172.31
