N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp Zeta_1_hat_vmp Zeta_2_hat_vmp
10 1 0.4676518 0.04808668 0.03370815 0.2610874 1.714772 1.770792 1.983367 0.8947027 1.02477
10 2 0.1027786 0.1986243 1.013191 0.8288 0.01629545 0.1097787 1.951754 0.8827065 0.6703037
10 3 0.1731358 0.1072539 0.2086395 0.1108176 0.01246982 0.02837162 1.983393 0.669299 0.6499058
10 4 0.2027593 0.08133325 0.3614242 0.37579 0.007143705 1.424981 1.9972 0.7696376 0.9827248
10 5 0.2266631 0.0198423 0.07356684 0.3816587 0.01433291 1.454869 1.846131 0.7447303 1.004956
10 6 0.117432 0.05432579 0.177715 0.1670875 0.01463551 0.01584646 1.957698 0.7218721 0.6327293
10 7 0.0944133 0.1768795 0.6078267 0.6870517 0.01073936 0.08259837 1.987767 0.6107242 0.6483172
10 8 0.2739118 0.05037881 0.04953784 0.1043699 0.01628541 0.03516152 1.949776 0.7324516 0.662713
10 9 0.0759491 0.03786298 0.07837521 1.526586 0.007581826 1.417776 1.920538 0.7006853 1.01331
10 10 0.05163266 0.04961047 0.07459022 0.05377901 0.02558415 0.07532445 1.962208 0.5731689 0.663423
10 11 0.07101433 0.03208424 0.7257814 0.8434262 0.01535872 0.03520414 1.983183 0.6389597 0.6914349
10 12 0.1145591 0.05424637 0.03480351 0.140035 0.009036389 0.1201595 1.882501 0.6461425 0.8017145
10 13 0.07126426 0.01477284 0.2530925 0.5313803 0.01928482 0.1511513 1.89581 0.6039199 0.7908695
10 14 0.03150325 0.1605241 0.1565845 0.5042513 0.007838646 0.02624506 1.99654 0.6511204 0.6567152
10 15 0.1671477 0.001782874 0.6341114 0.5878059 0.009489205 1.468427 1.772268 0.7356838 1.022266
10 16 0.08972815 0.06929107 1.016975 1.211185 0.003900728 1.777481 1.990072 0.6598143 1.027148
10 17 0.02711666 0.04990433 0.9549461 1.036096 0.003357009 0.02859918 1.978105 0.6786372 0.6737038
10 18 0.009890499 0.05151835 0.1472782 0.2988527 0.01040841 1.458132 1.808214 0.5498113 0.7694366
10 19 0.0794853 0.03356083 0.04345205 0.0903662 0.004381217 0.02866559 1.910351 0.5513589 0.6311878
10 20 0.1415308 0.02643723 0.1615622 0.1418958 1.959926 1.96119 1.866665 0.6743491 1.027759
50 21 0.02471027 0.008741932 0.05425309 0.04486976 0.003212647 0.005438432 0.01114823 0.4743643 0.6400123
50 22 0.08607437 0.01736754 0.2009027 0.2119458 0.002540213 1.512959 0.8168999 0.6508418 0.7721612
50 23 0.01223013 0.007539466 0.02047118 0.02327459 0.003044814 0.03121204 0.03740396 0.4117124 0.7291981
50 24 0.03947492 0.008465474 0.06183088 0.04418867 0.0665366 0.06479458 0.0159822 0.4722356 0.807683
50 25 0.01315628 0.01495336 0.2175961 0.2804962 0.003899857 0.01088401 0.0114555 0.4944522 0.57911
50 26 0.03862499 0.04868016 0.05451556 0.04306383 0.001739003 0.006539404 1.914236 0.520706 0.6428848
50 27 0.02957644 0.002501259 0.05726025 0.06655201 0.001062793 0.0250216 0.02958356 0.4457923 0.6264628
50 28 0.007322996 0.04116932 0.1205029 0.1063661 0.002060709 0.005798601 1.974669 0.5671689 0.6375728
50 29 0.003937094 0.008207958 0.02506717 0.02939829 0.002299991 0.009514423 0.02057951 0.4096304 0.6519333
