N sim mu psi_11 psi_12 psi_13 psi_21 psi_22 psi_23
10 1 -3.458048 -2.503109 -2.267512 -1.46184 -5.582661 0.3386544 0.6763029
10 2 -1.457165 -2.89221 -5.074913 -2.105913 -5.886944 -3.370301 0.6639461
10 3 -1.116153 -4.118755 -3.84447 -1.874491 -4.084302 0.4127945 0.6884254
10 4 -3.021482 -1.644713 -1.43845 -1.03064 -5.365403 0.3879589 0.6788381
10 5 -0.3767247 -2.821606 0.3038053 0.6405367 -3.992567 0.3794621 0.6895136
10 6 -1.930759 -4.105971 -1.43216 -1.189174 -4.223944 0.3088063 0.5935174
10 7 -2.438521 -4.100191 -1.24951 -0.7091955 -5.613481 -3.403651 0.6652031
10 8 -2.612519 -3.296831 -0.9403021 -0.7881002 -4.736678 -3.654455 0.6926319
10 9 -2.862659 -3.391635 -1.572378 -1.093525 0.6721445 0.6144045 0.6587976
10 10 -3.577066 -0.8663385 0.4083047 0.1267037 0.662483 0.5988811 0.6409446
10 11 -3.037267 -2.557117 0.1099927 0.1516604 -4.649737 -3.371826 0.6869287
10 12 -2.416197 -1.432343 -0.7937314 -1.087472 -4.342242 -3.773135 0.6705696
10 13 -2.481092 -2.408081 -2.173281 -1.225598 -4.808716 0.3198548 0.6840383
10 14 -2.770752 -2.858847 -2.196548 -2.764218 -5.949756 -3.372491 0.6392169
10 15 -1.102962 -2.906121 -1.351049 -1.153265 -4.907446 -3.473825 0.6248288
10 16 -2.219163 -3.65546 -2.302996 -2.15282 -4.695194 0.3553215 0.6383099
10 17 -1.261194 -4.112221 -3.268917 -1.383187 -4.565093 0.3653885 0.6460361
10 18 -0.2078171 -3.792766 -0.001759823 0.2569884 -3.737294 -3.705322 0.6555378
10 19 -3.159785 -4.071279 -0.6366645 -0.542848 -4.317375 0.385779 0.3229084
10 20 -3.339239 -2.567427 -3.453203 -2.154268 -4.521904 0.2912754 0.6760395
50 1 -2.497554 -4.839205 -2.25081 -2.081833 -5.074141 -4.274863 -4.222368
50 2 -3.233267 -4.523288 -2.768902 -2.719395 -5.939376 -5.285178 0.6864976
50 3 -3.979643 -3.384487 -3.162525 -3.554617 -5.736365 -4.855239 -4.876017
50 4 -2.364218 -4.8392 -4.518688 -3.740775 -6.331941 -5.561109 -4.298954
50 5 -4.657594 -4.277942 -3.87957 -4.193503 -5.841937 -4.802291 -3.646183
50 6 -4.717982 -4.62995 -2.668986 -2.355811 -7.624597 -4.899659 0.6829799
50 7 -5.140423 -4.973829 -2.366236 -1.901768 -5.420311 -4.843918 0.6766103
50 8 -3.13638 -5.510028 -3.569137 -2.893879 -5.925472 -4.324062 -3.90935
50 9 -3.841838 -5.116337 -3.040221 -2.929455 -5.897105 -3.350666 -3.177255
50 10 -3.654275 -2.862109 -2.947078 -3.137596 -5.067674 -4.567019 -5.074053
50 11 -5.113427 -5.872567 -4.55414 -3.509991 -7.098097 -4.889828 0.6754565
50 12 -4.028019 -4.450072 -3.564279 -2.214211 -7.290772 -4.922589 0.6724869
50 13 -5.515996 -5.506113 -2.999184 -2.703282 -5.92393 -5.171196 0.6886942
50 14 -3.043102 -6.190708 -5.925555 -3.814735 -7.049943 -4.91195 -4.091669
50 15 -2.957013 -4.384385 -3.325502 -3.067854 -6.246608 -4.71861 0.6635151
50 16 -3.285966 -4.062282 -3.233406 -3.437567 -6.108063 -4.913106 -4.2918
