N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp zeta_1_vmp zeta_2_vmp
10 1 0.1725903 0.07936127 0.1962127 0.2640789 0.004716717 0.06803467 1.830158 0.6726208 0.6806881
10 2 0.09389301 1.32364 1.420708 0.5144898 0.008290828 0.05007259 1.856974 1.030462 0.6486733
10 3 0.05504088 0.01575184 0.02016379 0.5692571 1.670547 1.659574 1.981097 0.5393682 0.9164321
10 4 0.09284951 0.3921743 0.6510053 0.2419385 0.006536289 0.02149383 1.990577 0.8009747 0.6585144
10 5 0.1672496 0.07146457 1.692159 1.415723 0.007433015 1.399911 1.939739 0.8275563 1.031977
10 6 0.07179307 0.08820742 0.1512607 0.1763305 0.01716663 1.443853 1.975931 0.7048669 0.7602975
10 7 0.1098768 0.01992995 0.5990402 0.7032615 0.0178943 1.435059 1.929611 0.6569317 1.031521
10 8 0.08488664 0.05352525 0.07662411 0.0803535 0.003379897 0.04374505 1.880028 0.6971032 0.6812354
10 9 0.1564806 0.06063082 0.07967869 0.1317676 0.3066046 0.3073989 1.962769 0.6126339 0.8288187
10 10 0.2322377 0.02911463 0.04825975 0.1820484 1.902578 1.780991 1.820081 0.6254802 1.016198
10 11 0.1139374 0.1993371 0.2211083 0.7555164 1.939381 1.970114 1.88706 0.77291 1.06187
10 12 0.0678527 0.04149518 0.1101365 0.1419737 0.006969155 0.01862812 1.967398 0.5473722 0.6362297
10 13 0.04777597 0.03640572 1.29752 1.282099 0.009653589 1.41863 1.907597 0.7045036 1.061182
10 14 0.05550959 0.6298027 0.4972462 0.4475398 0.00184074 0.08595705 1.966691 0.7775191 0.7717147
10 15 0.2241394 0.03274498 0.9278329 1.043665 0.008509783 0.03125049 1.910345 0.7874443 0.7993746
10 16 0.3993638 0.03563479 0.1850868 0.4110353 0.3319627 0.3473033 1.905211 0.7732326 0.8634884
10 17 0.05579648 0.08131889 0.0497594 0.1644001 0.01105503 0.6187904 1.885551 0.5166803 0.695941
10 18 0.1848448 0.7501638 0.7157914 0.10728 0.403886 0.4239685 1.926705 0.9230749 0.8833885
10 19 0.05284266 0.08502878 0.3542043 0.3916307 0.008790783 1.525188 1.850212 0.6798038 0.7439703
10 20 0.0962237 0.01463979 1.431594 1.361164 0.01149494 1.435946 1.894578 0.8279947 1.025979
10 21 0.3645901 0.1382167 0.6008503 0.716301 0.01275088 0.04907183 1.906296 0.8640579 0.6675254
10 22 0.05622113 0.531053 0.8028438 0.8259921 1.983655 1.943317 1.999114 0.8840446 1.027332
10 23 0.06386026 0.1144235 0.241521 0.8962335 0.005276818 1.469503 1.91244 0.7424566 1.003783
10 24 0.1747684 0.2098964 1.485248 1.410973 0.02883141 1.887872 1.982351 0.8307184 0.8052078
10 25 0.2219946 0.1676426 0.208153 0.1807359 0.009651301 0.0395037 1.943285 0.7879057 0.6804613
10 26 0.03029356 0.1471992 0.3535677 0.458108 0.002284016 0.07677852 1.934089 0.5946918 0.6736226
10 27 0.2682714 0.1197942 0.3029171 0.392189 1.949654 1.77002 1.875102 0.8063714 1.03659
10 28 0.01170613 0.04875906 0.08138059 0.1565995 1.960759 1.909709 1.834491 0.5540565 0.9868953
10 29 0.2647834 0.1407511 0.1745234 0.1282991 0.01437658 1.158797 1.954926 0.8229894 0.7494113
10 30 0.2017824 0.08251143 0.1285531 0.06894389 0.007686076 0.04656065 1.961009 0.6719968 0.744269
10 31 0.02117285 0.01120925 0.7723032 0.9263479 0.02044376 0.323513 1.68191 0.6538309 0.7120182
10 32 0.1793905 0.05143389 0.8907075 1.083987 0.00750724 1.655814 1.952191 0.7710948 0.7596215
10 33 0.1257198 0.1518251 0.1484749 0.1878621 0.005333272 0.02708126 1.969526 0.6452861 0.654438
10 34 0.1692727 0.1236611 0.08678021 0.2636646 0.003504304 0.0378586 1.952433 0.7193096 0.6565701
10 35 0.09364258 0.01157075 0.06424714 0.06615512 0.01170336 1.474951 1.843147 0.7418408 0.7778895
10 36 0.1356187 0.159478 0.1805967 0.07855105 0.02931943 0.04288616 1.914748 0.6440893 0.6484404
10 37 0.09348971 0.1749549 0.2355542 0.2350548 0.007674546 1.418654 1.884909 0.65687 0.9936196
10 38 0.1569746 0.1515742 0.1591126 0.241564 0.0101466 0.01633401 1.977709 0.7756713 0.6404567
10 39 0.09020831 0.2655053 0.2748974 0.1705138 0.004839465 0.0140813 1.992743 0.679287 0.6585872
10 40 0.1188698 0.1175217 0.1386984 0.100653 0.008420289 0.06028666 1.922282 0.6814777 0.6454556
10 41 0.04278193 0.02286593 0.4001265 0.3721934 0.01704195 1.446393 1.907416 0.5805726 1.019854
10 42 0.3096687 0.2441324 0.3630871 0.366831 0.01026261 1.471129 1.957913 0.8303088 1.05416
10 43 0.124739 0.0177204 0.04296792 0.1963217 0.01210959 0.07536596 1.912756 0.6256149 0.6619754
10 44 0.09103353 0.1914032 0.3319725 0.1827778 0.003344505 0.3307897 0.3734131 0.6838622 0.6404211
10 45 0.1517433 0.01203217 0.6352111 0.6431702 0.007159305 1.444696 1.699365 0.8054853 0.9800005
10 46 0.03143182 0.01144765 0.07395855 0.1437805 0.004789699 0.02559571 1.966541 0.7115754 0.7734284
10 47 0.07921009 0.03274839 1.239346 0.9969849 0.1817913 0.1902152 1.987945 0.8181177 0.7826564
10 48 0.1375404 0.01059052 0.6336145 0.7706575 0.004395873 0.01555486 1.935809 0.6616928 0.6582119
10 49 0.06648483 0.01332826 0.05322826 0.08829837 0.03328933 0.03493683 1.985373 0.5146874 0.6318056
10 50 0.0465102 1.232383 1.242579 0.09001354 1.19512 1.202468 1.980969 0.8917731 0.8296368
10 51 0.02001778 0.09207729 0.5817111 0.508993 0.01305901 1.479004 1.877215 0.7289592 0.8100887
10 52 0.08711065 0.1035182 0.1729084 0.09571784 0.0114563 1.415849 1.881857 0.7586226 0.9349099
10 53 0.02482081 0.1770856 0.3715244 0.2967412 0.006035164 0.05927054 1.936547 0.5253448 0.6759335
10 54 0.1849337 0.05476646 0.0594125 0.04421015 0.004365506 1.428507 1.872255 0.6697768 1.028403
