N sim iter vmp
10 1 103 24.92863
10 2 80 18.62651
10 3 72 17.24085
10 4 160 38.20801
10 5 56 14.18248
10 6 36 9.936915
10 7 158 36.74101
10 8 86 20.26068
10 9 298 67.4872
10 10 166 35.27052
10 11 11 4.08373
10 12 99 23.13958
10 13 136 31.31624
10 14 168 39.03302
10 15 71 16.09362
10 16 50 11.73809
10 17 46 11.52063
10 18 78 19.90969
10 19 81 19.50728
10 20 146 33.86156
10 21 202 43.24303
10 22 134 29.35477
10 23 136 31.83882
10 24 35 9.480915
10 25 188 40.39794
10 26 320 73.97278
10 27 116 26.39708
10 28 171 39.21378
10 29 55 13.65913
10 30 143 31.07379
10 31 163 35.40241
10 32 77 18.30457
10 33 91 20.85624
10 34 76 17.54061
10 35 106 24.32085
10 36 205 45.25878
10 37 39 9.837826
10 38 89 19.69882
10 39 347 75.59852
10 40 62 14.23744
10 41 208 44.58589
10 42 37 8.987844
10 43 291 64.16016
10 44 178 38.00162
10 45 61 14.36638
10 46 500 110.263
10 47 180 39.15737
10 48 244 52.54275
10 49 329 67.75992
10 50 500 109.4501
10 51 113 25.31789
10 52 45 10.63401
10 53 146 31.25359
10 54 121 26.53978
10 55 106 24.76038
10 56 118 26.35215
10 57 143 32.19833
10 58 127 27.78189
10 59 297 65.78348
10 60 294 61.14794
10 61 189 39.16261
10 62 239 51.27396
10 63 89 19.69828
10 64 143 30.03465
10 65 395 86.47096
10 66 132 29.54498
10 67 28 7.599598
10 68 53 13.17309
10 69 49 12.28702
10 70 27 7.246019
10 71 160 34.98153
10 72 36 9.084112
10 73 142 31.88769
10 74 500 100.1721
10 75 149 31.31239
10 76 51 12.7436
10 77 500 105.2125
10 78 459 102.5387
10 79 189 41.20636
10 80 92 20.09717
10 81 120 26.03588
10 82 109 24.21053
10 83 59 13.52337
10 84 172 38.63663
10 85 247 53.37779
10 86 59 13.33864
10 87 57 13.53701
10 88 172 38.38069
10 89 315 67.90022
10 90 59 13.93575
10 91 76 16.7053
10 92 179 38.11575
10 93 500 112.5876
10 94 39 9.911884
10 95 72 17.31274
10 96 99 21.81272
10 97 144 31.80835
10 98 38 9.383447
10 99 61 14.35839
10 100 93 21.55192
50 1 123 131.319
50 2 151 159.063
50 3 28 34.77221
50 4 85 95.32025
50 5 165 168.4
50 6 102 109.3146
50 7 35 42.59132
50 8 169 172.0753
50 9 209 224.8372
50 10 10 18.19839
50 11 273 278.4023
50 12 30 38.03079
50 13 105 112.4818
50 14 163 171.133
50 15 158 164.293
50 16 287 295.4994
50 17 253 260.9078
50 18 82 92.32274
50 19 343 364.0313
50 20 189 198.1344
50 21 185 190.1957
50 22 500 495.6554
50 23 127 138.7946
50 24 26 34.6173
50 25 34 40.95363
50 26 241 253.1617
50 27 109 117.6003
50 28 89 99.21771
50 29 231 237.6677
50 30 287 290.8939
50 31 137 145.52
50 32 500 510.0961
50 33 279 278.6075
50 34 24 31.89363
50 35 315 322.6152
50 36 219 224.3373
50 37 117 125.0944
50 38 500 499.782
50 39 242 256.9544
50 40 48 55.25108
50 41 194 201.1448
50 42 281 289.009
50 43 153 165.7401
50 44 211 221.3593
50 45 500 508.5337
50 46 125 134.9078
50 47 230 243.3479
50 48 69 77.01498
50 49 141 145.8798
50 50 207 215.3076
50 51 55 62.99913
50 52 133 139.8817
50 53 107 113.7436
50 54 313 325.9316
50 55 173 184.8417
50 56 257 267.0392
50 57 84 95.49452
50 58 206 216.6693
50 59 88 97.23062
50 60 66 73.82639
50 61 54 61.89746
50 62 52 58.74333
50 63 30 37.47207
50 64 30 37.87669
