Georgia Illinois Kentucky Oklahoma
10.27197 10.24541 10.22027 10.19653
10.17418 10.15321 10.1336 10.11534
10.09842 10.08281 10.06851 10.05551
10.04378 10.03331 10.0241 10.01612
10.00936 10.00381 9.999455 9.996278
9.994266 9.993406 9.993682 9.995082
9.99759 10.00119 10.00588 10.01163
10.01843 10.02627 10.03514 10.04502
10.05589 10.06774 10.08057 10.09434
10.10906 10.1247 10.14126 10.15871
10.17705 10.19625 10.21631 10.23721
10.25894 10.28148 10.30482 10.32895
10.35384 10.3795 10.40589 10.43302
10.46085 10.48939 10.51862 10.54851
10.57907 10.61027 10.6421 10.67454
10.70759 10.74122 10.77543 10.8102
10.84551 10.88135 10.91771 10.95457
10.99193 11.02975 11.06804 11.10678
11.14594 11.18553 11.22552 11.2659
11.30666 11.34778 11.38924 11.43105
11.47317 11.51559 11.55831 11.60131
11.64457 11.68808 11.73182 11.77579
11.81996 11.86432 11.90887 11.95358
11.99844 12.04344 12.08858 12.13386
12.17928 12.22485 12.27056 12.31641
12.36242 12.40857 12.45488 12.50134
12.54795 12.59472 12.64164 12.68873
12.73597 12.78337 12.83094 12.87867
12.92657 12.97463 13.02287 13.07127
13.11984 13.16859 13.21752 13.26661
13.31589 13.36535 13.41498 13.4648
13.5148 13.56499 13.61536 13.66592
13.71668 13.76762 13.81875 13.87008
13.9216 13.97332 14.02524 14.07736
14.12968 14.1822 14.23493 14.28786
14.341 14.39435 14.44791 14.50168
14.55566 14.60986 14.66428 14.71891
14.77376 14.82883 14.88412 14.93964
14.99538 15.05135 15.10755 15.16397
15.22063 15.27752 15.33464 15.392
15.44959 15.50743 15.5655 15.62381
15.68237 15.74117 15.80022 15.85951
15.91906 15.97885 16.03889 16.09919
16.15974 16.22055 16.28162 16.34294
16.40453 16.46637 16.52849 16.59086
16.6535 16.71641 16.77959 16.84304
16.90676 16.97074 17.03497 17.09945
17.16417 17.22911 17.29429 17.35968
17.42527 17.49108 17.55707 17.62326
17.68962 17.75616 17.82286 17.88972
17.95673 18.02389 18.09118 18.15861
18.22615 18.29381 18.36158 18.42944
18.4974 18.56545 18.63357 18.70176
18.77002 18.83833 18.9067 18.9751
19.04354 19.112 19.18049 19.24898
19.31749 19.38599 19.45448 19.52295
19.5914 19.65982 19.7282 19.79653
19.86481 19.93303 20.00119 20.06926
20.13726 20.20516 20.27297 20.34067
20.40826 20.47573 20.54308 20.61029
20.67736 20.74428 20.81105 20.87766
20.94409 21.01035 21.07642 21.1423
21.20798 21.27345 21.33871 21.40375
21.46856 21.53313 21.59747 21.66155
21.72537 21.78893 21.85221 21.91522
21.97794 22.04036 22.10248 22.1643
22.22579 22.28697 22.34781 22.40832
22.46847 22.52828 22.58773 22.64681
22.70551 22.76384 22.82177 22.87932
22.93649 22.99329 23.04971 23.10577
23.16147 23.21681 23.27181 23.32646
23.38077 23.43474 23.48838 23.5417
23.5947 23.64738 23.69976 23.75182
23.80359 23.85507 23.90625 23.95715
24.00777 24.05811 24.10818 24.15799
24.20754 24.25683 24.30587 24.35467
24.40323 24.45155 24.49965 24.54752
24.59516 24.6426 24.68982 24.73684
24.78366 24.83028 24.87672 24.92297
24.96904 25.01493 25.06065 25.10621
25.15161 25.19686 25.24195 25.2869
25.33172 25.37639 25.42094 25.46536
25.50966 25.55385 25.59792 25.6419
25.68577 25.72955 25.77323 25.81684
25.86036 25.90381 25.94719 25.9905
26.03376 26.07696 26.12011 26.16321
26.20628 26.24931 26.29231 26.33529
26.37824 26.42119 26.46412 26.50705
26.54998 26.59291 26.63586 26.67882
26.7218 26.7648 26.80784 26.85091
26.89402 26.93718 26.98039 27.02365
27.06698 27.11036 27.1538 27.1973
27.24084 27.28442 27.32803 27.37168
27.41534 27.45903 27.50274 27.54645
27.59017 27.63388 27.67759 27.72128
27.76496 27.80861 27.85224 27.89583
27.93938 27.98289 28.02635 28.06975
28.1131 28.15638 28.19958 28.24272
28.28577 28.32873 28.3716 28.41438
28.45705 28.49961 28.54207 28.5844
28.62661 28.66869 28.71063 28.75244
28.7941 28.83561 28.87697 28.91816
28.95919 29.00005 29.04073 29.08123
29.12154 29.16165 29.20157 29.24129
29.2808 29.32009 29.35917 29.39802
29.43664 29.47502 29.51317 29.55107
29.58872 29.62611 29.66324 29.7001
29.7367 29.77301 29.80904 29.84478
29.88023 29.91539 29.95023 29.98477
30.01899 30.0529 30.08647 30.11972
30.15263 30.1852 30.21743 30.2493
30.28081 30.31197 30.34275 30.37316
30.4032 30.43285 30.46211 30.49097
30.51944 30.54751 30.57516 30.6024
30.62922 30.65564 30.68164 30.70725
30.73245 30.75726 30.78168 30.80571
30.82935 30.85262 30.8755 30.89801
30.92015 30.94192 30.96333 30.98438
31.00507 31.02541 31.0454 31.06505
31.08435 31.10332 31.12195 31.14024
31.15822 31.17586 31.19319 31.2102
31.22689 31.24328 31.25936 31.27514
31.29062 31.3058 31.32069 31.33529
31.34961 31.36365 31.37741 31.3909
31.40411 31.41706 31.42975 31.44217
31.45434 31.46626 31.47793 31.48935
31.50054 31.51148 31.52219 31.53267
31.54292 31.55295 31.56276 31.57235
31.58172 31.59089 31.59986 31.60862
31.61718 31.62555 31.63372 31.64171
31.64951 31.65714 31.66458 31.67185
31.67896 31.68589 31.69267 31.69928
31.70574 31.71204 31.7182 31.72422
31.73009 31.73582 31.74142 31.74689
31.75223 31.75745 31.76255 31.76754
31.77241 31.77717 31.78182 31.78638
31.79083 31.7952 31.79946 31.80364
31.80771 31.81167 31.81552 31.81926
31.82289 31.82639 31.82976 31.833
31.83611 31.83908 31.8419 31.84457
31.8471 31.84946 31.85167 31.85371
31.85558 31.85728 31.8588 31.86014
31.86129 31.86225 31.86302 31.86359
31.86395 31.86411 31.86406 31.86379
31.86329 31.86258 31.86164 31.86046
31.85904 31.85739 31.85549 31.85333
31.85093 31.84826 31.84534 31.84214
31.83868 31.83494 31.83092 31.82661
31.82202 31.81713 31.81195 31.80647
31.80068 31.79458 31.78817 31.78144
31.77439 31.76701 31.7593 31.75126
31.74287 31.73415 31.72507 31.71565
31.70586 31.69572 31.68521 31.67433
31.66308 31.65146 31.63945 31.62705
31.61427 31.60109 31.58751 31.57352
31.55914 31.54433 31.52912 31.51348
31.49742 31.48093 31.46401 31.44665
31.42885 31.41061 31.39191 31.37276
31.35315 31.33308 31.31255 31.29154
31.27006 31.2481 31.22567 31.20276
31.17939 31.15555 31.13124 31.10648
31.08124 31.05555 31.0294 31.0028
30.97574 30.94823 30.92027 30.89187
30.86301 30.83372 30.80398 30.7738
30.74318 30.71213 30.68064 30.64872
30.61637 30.58359 30.55039 30.51676
30.48271 30.44824 30.41336 30.37805
30.34233 30.3062 30.26966 30.23271
30.19536 30.1576 30.11943 30.08087
30.04191 30.00255 29.9628 29.92265
29.88211 29.84119 29.79988 29.75818
29.7161 29.67364 29.63081 29.58759
29.544 29.50004 29.4557 29.411
29.36593 29.3205 29.2747 29.22854
29.18203 29.13515 29.08792 29.04034
28.99241 28.94412 28.89549 28.84652
28.7972 28.74754 28.69754 28.6472
28.59653 28.54553 28.49419 28.44253
28.39053 28.33821 28.28557 28.23261
28.17932 28.12572 28.07181 28.01758
27.96303 27.90818 27.85302 27.79756
27.74179 27.68572 27.62935 27.57268
27.51572 27.45847 27.40093 27.3431
27.285 27.22662 27.16796 27.10904
27.04985 26.9904 26.93069 26.87072
26.8105 26.75003 26.68932 26.62837
26.56717 26.50575 26.44409 26.3822
26.32009 26.25776 26.19521 26.13245
26.06948 26.0063 25.94292 25.87934
25.81556 25.75159 25.68743 25.62309
25.55856 25.49385 25.42897 25.36392
25.2987 25.23332 25.16777 25.10207
25.03621 24.97021 24.90405 24.83775
24.77131 24.70474 24.63803 24.5712
24.50423 24.43715 24.36994 24.30262
24.23519 24.16765 24.10001 24.03226
23.96441 23.89648 23.82845 23.76033
23.69213 23.62385 23.55549 23.48705
23.41855 23.34998 23.28135 23.21266
23.14392 23.07512 23.00627 22.93738
22.86844 22.79947 22.73046 22.66142
22.59235 22.52326 22.45415 22.38502
22.31587 22.24672 22.17756 22.10839
22.03923 21.97007 21.90092 21.83177
21.76264 21.69353 21.62444 21.55537
21.4863 21.41726 21.34822 21.27919
21.21017 21.14115 21.07214 21.00313
20.93411 20.8651 20.79608 20.72705
20.65802 20.58898 20.51992 20.45085
20.38177 20.31266 20.24354 20.17439
20.10523 20.03603 19.96681 19.89756
19.82828 19.75897 19.68962 19.62023
19.55081 19.48135 19.41184 19.34229
19.27269 19.20304 19.13335 19.0636
18.9938 18.92394 18.85402 18.78405
18.71401 18.64391 18.57374 18.50351
