N sim VMP MCMC
250 1 30.72673 1363.151
250 2 43.42375 1999.486
250 3 14.28373 1849.136
250 4 45.29583 1887.572
250 5 50.97391 1589.231
250 6 23.68099 1511.475
250 7 48.30447 1940.045
250 8 18.11597 1718.435
250 9 77.41629 1418.013
250 10 42.24352 1937.552
250 11 40.22045 1065.952
250 12 42.96884 1056.102
250 13 49.42364 1765.418
250 14 47.5503 950.4313
250 15 30.67794 1504.029
250 16 10.46087 1899.622
250 17 36.76325 1383.255
250 18 57.03849 1951.507
250 19 10.95996 1774.869
250 20 18.00739 1215.503
250 21 10.61797 1689.93
250 22 48.18919 1649.84
250 23 10.14237 1837.785
250 24 20.95536 1739.927
250 25 8.774698 1527.819
250 26 34.03598 2130.022
250 27 41.31972 1384.547
250 28 38.46099 1822.473
250 29 30.58631 1461.749
250 30 30.2194 2013.17
250 31 14.95179 1657.533
250 32 28.94035 1915.262
250 33 25.71204 1316.449
250 34 19.19026 1997.394
250 35 16.29994 1860.098
250 36 63.28954 1506.29
250 37 46.79612 1940.613
250 38 12.89743 2121.516
250 39 47.76601 2588.329
250 40 15.56242 1452.251
250 41 28.19164 1850.28
250 42 24.21778 1463.666
250 43 23.62962 1863.535
250 44 59.17783 1157.572
250 45 16.4103 1395.558
250 46 54.87835 1622.432
250 47 35.77591 1949.178
250 48 9.024453 1439.253
250 49 24.03212 1773.551
250 50 57.25563 1115.156
250 51 21.44955 1345.521
250 52 29.09086 1979.885
250 53 69.89692 1446.862
250 54 65.60571 1816.571
250 55 61.6265 1563.918
250 56 19.38832 1284.127
250 57 29.79656 1471.798
250 58 67.54673 1445.892
250 59 54.18809 1620.899
250 60 40.6103 1733.355
250 61 26.34529 1139.575
250 62 70.11653 1428.619
250 63 17.13182 1558.74
250 64 31.76748 1684.784
250 65 62.5901 1589.713
250 66 57.72548 1734.661
250 67 26.71029 1092.627
250 68 32.08961 1328.227
250 69 13.68226 1840.443
250 70 40.13445 1516.588
250 71 19.41423 1981.934
250 72 17.23488 1620.718
250 73 14.35914 1190.853
250 74 59.99032 1586.717
250 75 28.43478 1620.06
250 76 8.643069 1570.938
250 77 36.51209 2470.478
250 78 17.6674 1840.399
250 79 17.54403 1868.037
250 80 36.1112 1521.413
250 81 34.74367 2056.265
250 82 10.95733 1901.635
250 83 62.89553 1426.065
250 84 61.95395 1580.391
250 85 47.99446 1470.654
250 86 85.98415 1655.994
250 87 37.85129 2134.695
250 88 56.21749 1884.275
250 89 13.69948 1388.767
250 90 38.43656 1507.385
250 91 57.69269 2041.244
250 92 17.73072 1752.282
250 93 58.88291 1512.683
250 94 73.60528 1369.714
250 95 9.456658 1765.244
250 96 38.9373 1596.582
250 97 21.91493 1441.656
250 98 14.63514 1617.27
250 99 80.9532 2282.301
250 100 44.89872 1989.381
