N sim mu psi_1 psi_2
250 1 0.0004642496 0.004757383 0.008998562
250 2 0.0009541641 0.006412649 0.00987936
250 3 0.00288692 0.005196042 0.007473326
250 4 0.002728431 0.006093832 0.005259379
250 5 0.003668439 0.001839288 0.00668655
250 6 0.002362544 0.007260428 0.008549318
250 7 0.001812298 0.004772209 0.006414458
250 8 0.000992768 0.001595463 0.004567044
250 9 0.004397855 0.01500444 0.02192034
250 10 0.003209037 0.002138921 0.00604903
250 11 0.003231017 0.002051793 0.0102534
250 12 0.002406705 0.002516548 0.006893625
250 13 0.005660381 0.01888336 0.0228915
250 14 0.002969364 0.002847235 0.004922213
250 15 0.005871836 0.001910238 0.003577567
250 16 0.004608649 0.003356767 0.0068512
250 17 0.007089434 0.00132045 0.003852023
250 18 0.002913487 0.003802882 0.006231958
250 19 0.007488842 0.002332183 0.006055845
250 20 0.02187175 0.0009053297 0.001677922
250 21 0.009763653 0.003441607 0.004998494
250 22 0.003820082 0.002780191 0.007627896
250 23 0.001328425 0.00251888 0.006447134
250 24 0.00986381 0.00182565 0.002870158
250 25 0.01128616 0.001438827 0.006294637
250 26 0.004621437 0.004340444 0.007099462
250 27 0.00512163 0.002405032 0.006366382
250 28 0.01462457 0.003349751 0.004713604
250 29 0.003609435 0.006521253 0.01148778
250 30 0.001747136 0.002213067 0.00464229
250 31 0.01422592 0.0003469338 0.005323898
250 32 0.001758935 0.002601519 0.004363054
250 33 0.00442548 0.001020105 0.003504093
250 34 0.001056617 0.006156368 0.00906389
250 35 0.002650591 0.0008813141 0.001816568
250 36 0.004199467 0.001451341 0.001772493
250 37 0.004278685 0.002255384 0.007634647
250 38 0.004575203 0.001655522 0.004226733
250 39 0.01011863 0.002482438 0.002849546
250 40 0.008548485 0.0009400162 0.005345145
250 41 0.006574464 0.001744187 0.001457915
250 42 0.000491741 0.00153744 0.005699828
250 43 0.002867364 0.004443097 0.004691492
250 44 0.003739545 0.001520708 0.002768084
250 45 0.01723428 0.0005699753 0.003678447
250 46 0.02061135 0.001799239 0.005544619
250 47 0.008720897 0.003056091 0.005993803
250 48 0.002832398 0.003109913 0.005785278
250 49 0.002612539 0.005408794 0.007418822
250 50 0.002116668 0.01053321 0.01363642
250 51 0.01414022 0.006097142 0.01499757
250 52 0.01165164 0.000774512 0.003189272
250 53 0.01579171 0.001497425 0.004226903
250 54 0.005244971 0.002782423 0.008029641
250 55 0.01708302 0.001751494 0.004275171
250 56 0.003038332 0.001861885 0.003951724
250 57 0.003386573 0.0008549787 0.007013522
250 58 0.005251354 0.001409259 0.002178582
250 59 0.006306856 0.005161251 0.006897064
250 60 0.001824139 0.001530022 0.005321685
250 61 0.00279678 0.01224024 0.01531732
250 62 0.00788157 0.0008755123 0.002052251
250 63 0.003673049 0.001265599 0.005525003
250 64 0.003604154 0.002574136 0.004803579
250 65 0.009945227 0.001047994 0.004070887
250 66 0.001345939 0.002543819 0.003248078
250 67 0.001245816 0.004405668 0.006308655
250 68 0.002065339 0.0009021977 0.003551513
250 69 0.0008623068 0.005143929 0.005421398
250 70 0.003553894 0.001428885 0.003292917
250 71 0.00207421 0.001832473 0.006416641
250 72 0.002419813 0.002119641 0.007350683
250 73 0.003490734 0.001701375 0.004840545
250 74 0.00167709 0.00166434 0.006208017
250 75 0.004350391 0.005363986 0.009399332
250 76 0.0008653119 0.0008086582 0.01176298
250 77 0.0006004361 0.003635376 0.007587163
250 78 0.004871925 0.001598587 0.003882609
250 79 0.009948008 0.002674387 0.004374053
250 80 0.0007466727 0.002471506 0.004230001
250 81 0.006752486 0.002263844 0.008263973
250 82 0.001890547 0.01883011 0.01962133
250 83 0.001638512 0.002068246 0.003642617
250 84 0.01091649 0.007877045 0.01079471
250 85 0.01815414 0.004171655 0.008783285
250 86 0.01386113 0.001358202 0.00490591
250 87 0.004947758 0.001101305 0.01061171
250 88 0.007568413 0.00104855 0.005656358
250 89 0.006209844 0.001583419 0.005441358
250 90 0.003810242 0.001561185 0.01098165
250 91 0.005756569 0.01351652 0.0145939
250 92 0.001612047 0.001965953 0.006663763
250 93 0.002177543 0.007219677 0.0078743
250 94 0.0009888343 0.003000459 0.004196922
250 95 0.001338286 0.006278604 0.009966916
250 96 0.008286342 0.0007996744 0.002128155
250 97 0.02292919 0.005122921 0.00768096
250 98 0.004441265 0.00804896 0.01518792
250 99 0.001848291 0.002176836 0.002125824
250 100 0.001190835 0.001782326 0.006987559
