time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 10 18.3 18.9 16.7 22.8 13.9 15 16.7 15.6 20 15 18.3 16.1 13.3 17.2 13.9 11.1 14.4 18.9 11.7 18.3 26.7 18.3 13.9 20 15.6 22.2 17.8 13.3 15.6 18.3 15.6 16.1 15 19.4
0.004109589 10.6 16.7 19.4 16.7 22.2 15.6 12.8 15.6 16.1 18.3 12.2 16.7 17.8 14.4 12.8 12.2 10.6 15.6 18.9 8.9 20.6 26.1 16.1 14.4 20 15 21.1 20 12.8 16.1 16.1 15.6 15.6 17.2 20.6
0.006849315 10 17.8 20 14.4 19.4 16.7 13.3 13.9 16.1 22.8 12.2 8.9 17.2 16.1 11.7 12.8 11.7 15 17.8 10.6 17.2 26.7 12.2 15.6 21.1 15.6 20.6 22.2 11.7 18.3 16.1 15.6 12.8 13.9 21.1
0.009589041 10 17.2 19.4 17.2 19.4 17.8 15 16.7 16.1 22.2 14.4 6.1 8.9 13.9 13.3 15 15.6 13.3 18.3 16.7 18.9 25 15.6 16.7 22.8 17.2 20.6 18.9 15.6 14.4 11.7 12.2 11.7 11.1 22.2
0.01232877 12.8 20 19.4 18.9 17.2 17.8 17.2 16.7 15 22.2 12.2 6.1 11.7 11.7 13.3 15.6 18.3 13.9 20.6 13.3 18.9 22.8 17.2 18.9 19.4 18.9 21.7 16.1 13.3 16.1 16.1 13.3 16.1 14.4 23.9
0.01506849 14.4 19.4 22.2 18.9 16.7 15.6 18.3 15 15.6 23.9 12.8 7.2 16.1 11.7 12.2 18.3 16.7 16.7 20.6 14.4 16.7 21.7 16.7 20.6 22.2 17.2 22.2 16.1 13.9 12.2 17.2 15 13.9 13.3 21.1
0.01780822 17.2 21.7 26.1 20.6 16.7 17.8 21.1 13.9 17.2 25.6 12.8 7.2 15 12.8 13.9 19.4 16.7 12.8 20 15.6 21.1 20.6 12.8 21.1 22.8 12.8 21.1 15.6 15.6 11.1 16.1 16.1 13.9 16.7 15.6
0.02054795 20 23.3 25.6 18.9 16.1 17.8 22.8 14.4 17.2 23.3 16.1 10 16.7 12.8 13.3 18.9 18.3 12.8 20.6 15.6 19.4 21.7 15 22.2 22.2 15.6 24.4 12.8 15.6 11.7 17.8 14.4 13.9 16.1 16.1
0.02328767 20 23.3 24.4 20.6 13.9 14.4 21.1 17.2 18.3 18.9 18.3 14.4 16.7 16.7 15 16.1 21.1 11.7 15.6 13.3 16.7 21.7 17.8 21.1 21.1 15.6 19.4 13.3 17.8 12.2 22.8 14.4 15.6 15 16.1
0.0260274 16.7 21.7 20 19.4 13.9 17.8 21.7 20 18.9 18.3 20 17.2 17.8 16.1 15.6 13.9 18.3 12.8 16.1 15 18.9 24.4 13.9 21.7 23.3 16.7 22.2 14.4 18.3 17.2 24.4 15 18.3 13.3 18.3
0.02876712 16.1 23.3 10.6 16.7 13.3 20.6 21.7 22.2 19.4 20.6 18.3 20 19.4 17.2 15.6 15 18.9 15 14.4 18.9 18.9 21.7 17.8 23.9 20.6 15.6 25.6 16.7 20 12.8 25 15.6 17.8 13.9 18.3
0.03150685 15 21.7 12.8 8.3 13.9 20 20 20.6 17.2 23.3 15.6 18.9 19.4 17.2 17.8 15 18.3 17.8 14.4 20 20 17.2 17.8 24.4 17.8 15.6 25.6 19.4 20 12.2 25 17.8 14.4 14.4 19.4
0.03424658 15 20.6 13.3 6.7 13.9 21.7 20 21.1 19.4 20.6 17.8 16.7 20 20.6 17.8 17.8 20 15.6 16.1 20 23.3 21.1 17.2 23.9 18.3 15.6 24.4 17.8 16.1 13.9 21.7 20 13.3 16.1 20.6
0.0369863 12.2 22.8 12.8 10.6 13.3 22.2 20 23.9 20.6 17.2 19.4 16.7 21.1 23.3 18.3 20 21.7 17.2 17.2 17.2 22.2 22.2 17.2 23.3 18.3 17.2 19.4 11.1 19.4 15.6 18.9 21.7 14.4 18.9 21.7
0.03972603 10 23.9 13.3 13.9 16.1 21.7 18.9 24.4 20.6 18.3 19.4 20 21.1 23.3 20 21.7 22.2 16.7 18.9 15.6 19.4 23.3 18.3 25.6 18.3 18.9 21.7 8.9 19.4 14.4 16.1 21.1 17.8 16.1 21.7
0.04246575 10 25 16.1 15.6 17.2 26.1 18.3 23.3 20.6 18.9 18.9 20.6 21.1 21.1 22.2 20.6 26.7 19.4 15.6 15.6 21.7 22.2 20 23.3 16.1 17.2 22.2 7.2 19.4 16.1 17.2 20 15.6 16.7 21.7
0.04520548 11.7 25.6 17.2 16.7 18.3 25.6 15 21.7 19.4 19.4 21.1 22.8 20.6 18.3 22.2 23.9 26.7 21.7 17.2 15.6 20 22.8 22.2 19.4 16.1 18.3 21.1 10 18.3 16.7 13.3 19.4 16.7 20 21.7
0.04794521 12.8 23.3 18.3 18.9 17.8 23.9 12.2 19.4 18.3 19.4 20.6 28.3 22.2 19.4 20.6 23.3 26.7 23.3 17.2 15.6 19.4 21.1 19.4 20 13.9 20 25 12.2 12.2 21.7 7.8 18.9 16.7 18.9 23.3
0.05068493 14.4 22.2 20 16.7 18.9 24.4 13.3 21.7 18.9 23.9 21.7 29.4 22.2 18.3 21.7 25.6 21.7 24.4 15 15.6 13.3 21.7 17.8 20.6 13.9 20.6 27.8 12.2 11.1 21.7 12.2 19.4 18.3 16.1 24.4
0.05342466 16.1 19.4 20.6 13.9 20.6 22.2 12.2 22.8 20.6 21.7 20.6 30.6 21.1 13.3 21.7 22.8 24.4 23.3 16.1 15.6 17.8 22.2 18.3 15 17.2 21.1 24.4 12.8 11.7 23.3 13.3 17.2 16.1 17.8 23.9
0.05616438 17.8 22.2 17.8 16.7 19.4 20 11.7 22.8 22.2 22.2 22.2 28.9 20 12.8 18.9 23.3 22.8 21.1 16.7 13.9 18.3 25 16.7 15.6 15.6 21.1 22.2 13.9 13.3 22.2 17.2 15.6 17.8 17.2 23.9
0.05890411 19.4 20.6 16.1 18.9 16.7 21.7 13.3 20.6 23.9 20.6 23.3 22.2 18.3 14.4 16.7 20 22.2 21.1 17.8 12.8 18.3 23.9 12.2 17.2 17.2 16.7 23.9 17.8 14.4 23.3 16.1 14.4 18.3 20 23.3
0.06164384 19.4 22.8 15 20 15 23.3 13.9 16.7 24.4 18.9 23.3 20.6 23.3 16.1 16.7 18.3 22.2 19.4 14.4 14.4 17.8 22.8 14.4 18.3 19.4 16.1 23.9 20 16.1 22.2 17.8 16.7 19.4 20 23.3
0.06438356 21.1 21.1 12.2 22.2 14.4 21.7 13.9 15 22.2 16.1 23.3 21.1 21.7 17.2 18.3 20.6 21.1 20 12.8 10 20 21.1 18.3 18.3 21.1 17.2 22.8 18.9 19.4 17.8 19.4 19.4 21.1 16.1 23.3
0.06712329 22.2 21.7 13.9 21.7 16.1 16.7 16.1 17.8 22.8 15.6 19.4 21.7 21.1 18.9 20.6 25 20 17.2 15 11.7 21.7 20 23.9 19.4 23.9 18.3 22.8 20.6 17.2 15 19.4 19.4 21.1 18.3 18.3
