time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 15.6 21.1 18.3 18.3 20.6 25.6 25.6 27.2 27.2 23.3 21.1 13.9 26.7 27.2 26.7 27.2 20 20 18.3 26.1 21.1 16.1 27.2 18.3 9.4 25.6 22.8 16.7 20 27.2 26.7 28.9 17.2 23.3 17.2
0.004109589 21.1 18.3 12.8 17.2 15.6 26.1 25.6 27.8 27.2 14.4 12.2 18.9 26.1 28.3 27.8 25.6 22.8 12.2 17.8 24.4 13.9 18.9 23.9 18.9 13.9 26.7 23.3 15.6 23.3 25.6 18.9 27.8 16.7 23.3 18.3
0.006849315 25 16.7 16.1 17.8 18.9 24.4 25.6 28.3 25 17.8 10 23.3 27.2 28.3 26.7 25.6 25.6 23.3 15 11.1 16.7 14.4 24.4 26.1 17.2 26.1 23.3 12.8 23.3 26.1 20.6 23.3 22.8 24.4 21.1
0.009589041 23.3 14.4 19.4 18.3 22.2 21.1 22.8 21.7 26.7 15.6 10.6 27.8 26.7 28.3 26.7 26.7 22.2 16.7 21.1 14.4 18.3 17.8 26.1 18.3 16.7 21.7 24.4 15 16.1 24.4 23.9 23.9 19.4 23.9 21.1
0.01232877 26.1 17.2 24.4 22.2 21.1 21.7 26.1 17.2 24.4 10 17.2 26.1 28.3 26.1 26.1 23.3 18.3 21.1 23.3 21.1 19.4 18.9 25 16.7 16.1 14.4 26.7 17.2 12.8 17.8 25.6 21.1 15.6 25 15.6
0.01506849 28.9 19.4 26.1 19.4 23.3 20 23.3 20 26.7 16.1 19.4 25 25.6 26.7 27.2 22.8 15.6 21.1 25 23.9 10 12.2 18.3 12.8 18.3 12.2 17.2 15 12.2 21.1 24.4 26.1 18.3 26.1 11.1
0.01780822 26.1 24.4 17.8 15 23.9 22.8 19.4 23.9 23.9 18.9 19.4 17.2 17.8 23.9 27.2 21.1 25.6 20 23.9 26.1 11.1 19.4 25 17.2 19.4 16.1 17.8 20 17.8 24.4 26.1 26.7 21.1 22.2 20
0.02054795 20 18.9 18.9 13.9 26.7 24.4 17.8 21.1 20 20 7.2 26.7 23.3 27.2 27.2 26.1 21.1 18.3 22.2 22.2 18.9 21.1 26.7 20 19.4 20 16.7 21.1 21.1 26.1 27.2 27.8 20.6 25 21.7
0.02328767 23.9 16.1 21.7 17.2 27.8 25 20 26.7 24.4 24.4 5 25 26.1 22.2 27.8 27.2 12.2 22.8 NA 17.8 23.3 14.4 21.1 19.4 17.2 18.3 15.6 20.6 15.6 26.7 21.1 22.2 22.8 27.2 15.6
0.0260274 25.6 20.6 17.2 21.7 23.3 26.7 22.2 25.6 25 21.7 7.2 18.9 28.3 8.9 27.8 27.8 19.4 21.1 13.3 20 23.9 15.6 18.3 25.6 20.6 19.4 20 19.4 10 27.2 20 20.6 26.1 22.2 15
0.02876712 23.3 22.8 11.7 24.4 17.2 23.3 21.1 15.6 23.9 17.8 15.6 19.4 28.3 11.1 27.8 26.7 20 12.8 13.3 22.2 22.8 16.1 12.2 18.9 20.6 22.8 18.9 25.6 10.6 20.6 20 26.1 22.8 21.7 21.1
0.03150685 25 21.7 7.2 28.3 21.7 18.9 22.2 20.6 17.2 15.6 21.7 25.6 27.8 10.6 27.2 27.2 25 13.3 21.1 20.6 26.1 12.8 4.4 18.9 12.2 23.3 17.2 23.9 14.4 25 21.7 27.8 15.6 25.6 22.2
0.03424658 26.7 22.2 15 28.3 19.4 21.1 22.8 22.2 16.7 17.8 15 25 28.3 13.3 21.7 25 25 18.9 20.6 25 18.9 7.2 12.2 16.7 11.1 8.3 20 14.4 19.4 27.8 22.2 24.4 23.9 26.7 24.4
0.0369863 24.4 22.8 23.9 20.6 7.2 20 23.3 26.1 10.6 17.2 17.2 26.7 26.1 16.1 26.1 12.2 25 25 18.3 24.4 16.7 10.6 21.1 12.2 12.8 13.9 17.8 18.3 21.1 27.2 12.2 13.9 27.8 26.7 16.7
0.03972603 27.2 21.7 26.7 15.6 13.9 18.3 23.9 25 12.2 20 16.7 26.1 18.3 20.6 26.7 16.7 23.3 22.8 9.4 16.1 18.3 16.7 18.3 17.2 9.4 14.4 16.1 22.2 16.1 27.2 20 19.4 20.6 16.7 15
0.04246575 24.4 18.9 24.4 13.9 17.8 18.9 18.9 15.6 14.4 21.1 18.9 22.2 10.6 17.8 27.2 22.8 21.1 18.3 16.7 22.8 18.3 19.4 12.8 21.1 13.9 15 19.4 25 12.2 27.8 23.9 21.1 12.2 18.3 17.8
0.04520548 23.9 18.3 21.7 26.1 16.7 10.6 16.7 21.1 19.4 21.1 23.9 17.2 16.7 23.9 25.6 22.2 17.8 15.6 22.8 24.4 22.8 20 18.3 15 15 18.9 21.1 25.6 18.3 25.6 23.3 25 11.7 14.4 15.6
0.04794521 25 19.4 25 28.3 13.3 12.8 16.1 18.3 22.8 22.2 23.9 21.1 21.1 26.7 26.1 25 9.4 10 20.6 25 22.8 10 17.8 16.1 22.8 25.6 22.2 25.6 21.1 23.3 25.6 18.3 15.6 16.7 21.7
0.05068493 20 21.1 25 26.1 17.2 16.7 13.9 23.9 23.3 21.1 21.1 18.3 23.3 25.6 25.6 26.1 15.6 8.9 23.9 21.1 22.8 13.9 22.8 16.7 24.4 13.9 22.8 27.2 24.4 22.8 26.7 20.6 19.4 18.9 16.1
0.05342466 12.8 17.8 22.8 29.4 22.8 21.1 10.6 21.1 23.3 22.2 18.3 9.4 25.6 22.2 26.7 25 20.6 10.6 17.8 23.9 23.3 17.8 25.6 17.8 17.8 18.9 21.1 27.8 26.1 23.9 26.1 26.1 12.8 22.8 9.4
0.05616438 12.2 14.4 17.8 27.2 18.9 22.8 17.8 24.4 22.8 20 15.6 17.8 25.6 23.3 27.8 22.2 19.4 12.8 12.2 22.8 22.2 17.2 25.6 18.9 10 21.1 17.8 18.3 26.1 26.1 27.8 21.7 15 22.2 11.7
0.05890411 12.8 12.2 27.2 17.8 23.3 25 21.1 25 25 21.1 14.4 22.8 24.4 22.8 28.3 23.3 16.1 14.4 18.3 15 22.8 17.2 26.1 22.8 8.3 1.7 20 20 21.1 16.7 27.8 20 20 24.4 16.1
0.06164384 10.6 20 28.3 17.8 20.6 27.2 18.3 25 25 25.6 19.4 26.7 25 19.4 27.8 26.7 19.4 17.2 19.4 20 23.9 14.4 25.6 21.7 17.8 8.9 21.1 18.3 12.8 15.6 23.3 14.4 23.9 25.6 17.2
0.06438356 14.4 21.1 28.3 18.9 26.1 25.6 16.7 25.6 18.3 25.6 17.8 27.2 26.7 20 28.3 27.2 22.8 21.1 23.9 18.3 22.8 15.6 27.2 15 22.2 13.9 23.3 11.7 10.6 20 23.3 18.3 22.2 23.9 18.9
0.06712329 17.2 18.9 25.6 19.4 26.1 21.1 18.9 26.7 12.8 23.3 21.7 27.2 28.3 19.4 27.8 25.6 25 16.7 27.2 11.7 13.9 16.7 17.8 16.1 26.1 19.4 19.4 16.1 15.6 22.2 27.8 27.2 16.1 24.4 21.7
0.06986301 21.1 26.7 27.8 17.8 18.9 28.9 20 27.8 11.7 20.6 23.3 25.6 25.6 25 27.8 23.9 27.8 13.9 25 15.6 20.6 20 21.1 16.7 23.3 19.4 21.1 22.2 18.3 23.3 29.4 14.4 17.2 24.4 23.3
0.07260274 23.9 21.7 29.4 22.8 18.9 25.6 11.7 26.1 21.1 23.9 22.2 22.8 26.7 25 28.3 26.7 27.2 11.7 15 23.3 20 21.7 15 16.1 24.4 11.1 15 14.4 12.2 24.4 15 17.2 26.7 13.9 22.2
0.07534247 26.7 11.7 27.2 16.1 19.4 17.8 16.7 17.2 23.3 24.4 25.6 16.1 27.8 23.3 27.8 28.3 18.9 24.4 12.8 22.2 21.7 22.2 17.2 21.7 25.6 18.9 10.6 10 11.1 25 21.7 21.1 26.7 16.1 23.3
0.07808219 25 11.1 17.2 22.8 17.8 19.4 15.6 18.9 25 23.3 26.7 20.6 27.8 17.2 27.2 28.3 16.7 22.2 12.8 14.4 17.8 20.6 21.1 13.9 20 23.9 7.2 18.3 12.8 25 25.6 22.8 20 19.4 24.4
0.08082192 21.7 16.7 21.1 25.6 19.4 24.4 13.3 21.1 24.4 23.3 24.4 25 27.8 14.4 26.1 28.3 19.4 14.4 13.9 20.6 19.4 19.4 21.7 20 21.1 16.7 17.8 20 18.9 26.7 27.2 26.1 20.6 21.1 23.3
