time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 2.8 3.3 3.9 0 0.6 6.7 18.3 10.6 0 -2.8 2.2 2.2 8.3 13.9 1.7 17.8 9.4 -7.8 6.1 13.9 3.9 3.3 7.8 5.6 1.1 21.7 9.4 4.4 7.8 7.8 11.1 -2.2 6.7 16.7 5
0.004109589 11.1 1.1 -1.1 2.8 7.2 16.7 16.7 8.3 0.6 1.1 5 9.4 7.8 4.4 -1.1 3.9 3.3 -6.7 6.1 15.6 0 1.1 3.9 5 5 22.2 6.7 3.9 0.6 5.6 1.1 8.9 10.6 -0.6 7.2
0.006849315 12.2 1.1 14.4 7.2 13.3 6.1 14.4 7.8 2.8 1.1 2.8 9.4 11.7 8.9 1.7 4.4 8.9 0 -3.9 -3.3 1.1 2.2 8.9 7.8 2.8 3.9 11.7 1.7 1.1 2.2 8.3 12.2 8.9 6.1 3.9
0.009589041 1.7 5 13.9 8.9 13.3 8.3 10.6 5.6 0 1.7 1.1 15 10.6 13.9 1.1 7.8 5.6 -1.1 0 -7.8 1.7 5 16.7 3.3 8.3 3.3 7.8 2.8 4.4 5 10 0.6 10 15.6 3.3
0.01232877 1.1 11.1 13.9 8.3 12.8 11.7 9.4 0.6 -1.7 -1.1 8.3 7.2 8.3 5 0 8.9 0 1.7 7.8 -4.4 1.1 -8.9 15 8.3 6.7 1.1 11.1 3.9 1.1 1.1 15.6 3.3 8.9 20.6 -2.2
0.01506849 4.4 13.9 12.8 6.1 11.7 13.3 9.4 10 0.6 2.2 5.6 -1.7 2.8 0 3.3 8.3 -5.6 1.1 5.6 -2.2 -1.7 -3.9 9.4 11.7 7.2 0.6 1.1 9.4 -9.4 10.6 5.6 8.9 3.9 5 1.7
0.01780822 7.8 14.4 11.1 4.4 6.1 15 5.6 11.7 0.6 1.1 -5.6 -4.4 5.6 -3.9 1.7 13.9 7.2 1.1 7.2 0.6 4.4 5 13.9 12.2 4.4 4.4 4.4 16.7 -9.4 11.7 8.9 7.8 4.4 5 8.3
0.02054795 7.2 11.7 2.8 1.7 10 20.6 3.9 9.4 -5.6 1.1 -10 -3.9 8.9 -3.9 1.7 14.4 5.6 -4.4 13.3 0.6 5.6 -2.2 2.2 10 2.8 1.7 -2.2 8.9 -8.3 19.4 6.1 0 5 8.3 5.6
0.02328767 15.6 2.8 -1.7 17.2 14.4 18.9 8.3 3.3 -0.6 1.1 -13.3 1.1 10.6 -1.7 8.9 14.4 -6.7 1.7 10 -7.8 0 -3.9 -1.1 3.3 8.9 1.1 -0.6 3.9 -1.7 8.9 10 5 11.1 5 -5.6
0.0260274 13.9 10.6 -8.9 16.7 6.1 2.8 7.8 3.3 0 -2.8 -4.4 7.8 10.6 -2.2 5.6 20 -6.1 1.1 -12.2 -2.8 5 -0.6 -3.3 7.8 12.8 -2.2 8.9 8.9 -3.3 0 16.1 6.1 14.4 3.9 -1.1
0.02876712 12.8 12.8 -8.3 18.9 7.2 3.9 5 0.6 2.2 0 -1.1 10 12.2 -1.1 5 18.9 5.6 -7.8 -12.2 -5 13.9 -3.9 -18.9 10.6 2.8 1.7 8.3 5 -1.1 8.9 7.8 7.2 3.9 3.3 3.3
0.03150685 20.6 13.9 -2.2 15.6 7.2 7.8 3.3 10 1.7 0.6 0.6 7.8 15 -0.6 0 7.8 5 -9.4 -6.7 -6.1 13.9 -6.7 -11.7 5.6 -2.8 -3.9 10 2.2 6.1 13.3 15 11.7 7.8 7.2 6.1
0.03424658 20.6 15.6 6.1 4.4 -1.7 5.6 7.8 11.1 3.9 1.7 0.6 11.7 20 5.6 1.7 -3.3 5.6 -7.2 -3.3 1.7 -0.6 -5 -4.4 2.2 2.8 -2.8 13.9 7.8 8.3 14.4 2.2 3.9 7.8 14.4 4.4
0.0369863 17.2 14.4 12.8 1.1 -3.9 3.9 5 11.1 1.1 0.6 6.1 16.1 2.2 7.2 7.8 2.8 12.8 1.7 -1.1 6.1 6.1 3.9 -0.6 7.8 2.8 3.3 -2.8 13.9 -3.9 3.9 3.9 1.7 13.9 8.3 3.3
0.03972603 16.1 8.9 12.8 2.8 2.8 8.3 3.3 7.2 1.1 6.1 11.1 10 0 7.2 13.9 3.3 3.9 2.2 -3.3 -3.3 8.9 6.1 -6.1 15 -0.6 2.2 4.4 11.7 -3.3 5.6 11.1 12.2 3.3 1.1 -4.4
0.04246575 8.3 8.3 3.9 7.2 5 6.7 2.2 2.8 0.6 13.9 12.2 -0.6 -9.4 12.8 18.9 3.3 5 2.2 -4.4 0.6 7.8 0 3.3 0.6 -2.2 -4.4 6.7 9.4 7.2 3.9 17.2 12.2 0.6 3.9 -14.4
0.04520548 3.3 6.7 3.9 11.7 8.9 -6.7 0 4.4 5.6 12.2 8.9 0 1.1 18.3 19.4 9.4 3.9 -14.4 -1.7 7.2 12.8 -3.3 1.7 -1.1 -1.7 2.2 15.6 3.3 11.7 7.2 20 9.4 -3.3 5.6 -1.1
0.04794521 10 6.1 1.1 12.8 15 -2.8 -1.7 0.6 10 13.9 6.7 -1.1 14.4 18.3 18.3 9.4 -5.6 -12.2 1.1 8.9 16.1 -2.2 -12.8 -1.7 0 1.1 16.1 5 9.4 12.8 16.7 3.3 3.3 8.9 0.6
0.05068493 4.4 7.2 0.6 12.8 12.2 3.9 -1.7 2.8 7.8 11.7 -1.7 -5 14.4 16.7 15.6 6.1 -3.9 -11.7 -2.2 -1.7 7.8 5 2.8 -5.6 -1.7 1.7 17.8 9.4 10 13.9 15 5 -3.3 1.7 -17.2
