time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 10 13.3 11.1 17.8 13.9 24.4 22.8 12.2 5.6 7.2 12.2 13.9 15.6 13.9 6.1 22.8 18.9 3.9 10 21.7 12.2 19.4 20 6.1 5.6 22.8 20.6 8.9 14.4 13.9 8.3 0.6 15 18.9 13.3
0.004109589 12.8 14.4 16.7 16.1 21.7 27.8 21.7 20 8.9 5.6 8.9 17.8 15.6 6.1 3.9 15.6 18.9 4.4 11.1 0.6 16.7 19.4 10 6.7 11.1 11.1 11.1 12.8 8.9 11.7 11.1 5.6 15 4.4 12.2
0.006849315 11.1 12.8 19.4 17.8 22.2 24.4 15 16.1 11.7 8.9 8.3 22.8 16.7 16.1 2.8 15.6 21.1 0 7.8 -1.1 16.1 13.9 20.6 8.3 11.1 3.3 20 12.8 5.6 20.6 13.3 6.1 13.9 10 9.4
0.009589041 9.4 15.6 16.7 15.6 19.4 15.6 10 15.6 10.6 7.8 12.2 22.2 18.3 16.7 3.3 12.2 7.8 3.3 10.6 3.9 10.6 18.3 25 9.4 12.8 4.4 17.8 10 5 24.4 16.1 8.3 15.6 21.7 7.2
0.01232877 8.3 14.4 20.6 15.6 13.3 20 9.4 18.3 5.6 10 10 3.9 2.2 13.9 6.7 14.4 5.6 14.4 14.4 6.7 10 10 15.6 11.7 19.4 8.3 17.2 6.7 7.8 15.6 16.1 8.9 17.8 20.6 8.9
0.01506849 5 13.3 6.7 14.4 20.6 19.4 18.9 20.6 7.8 15 8.3 2.8 6.1 8.3 11.1 17.8 5 12.8 22.8 6.7 10.6 14.4 19.4 14.4 18.9 11.1 8.9 14.4 7.2 20 8.9 17.2 15.6 8.3 13.9
0.01780822 15 13.3 15 15 15 25 21.1 19.4 7.2 15.6 4.4 2.8 15.6 4.4 13.3 16.7 18.9 6.7 26.7 2.8 19.4 8.9 25.6 18.3 21.7 15.6 10 18.9 0 26.1 6.7 17.8 17.2 8.3 23.9
0.02054795 18.3 12.2 15.6 20 16.7 23.3 17.2 7.2 -1.7 25 4.4 1.1 18.9 2.2 17.2 22.2 13.3 11.7 25 3.3 16.1 10.6 12.8 16.7 18.3 16.7 10.6 20.6 -1.1 26.1 6.7 6.1 20.6 7.8 8.3
0.02328767 16.1 12.8 12.8 21.1 13.9 25 17.2 6.7 3.3 22.2 3.3 5.6 23.9 1.1 25.6 23.3 2.2 13.9 9.4 1.7 6.1 11.1 8.9 19.4 20 16.1 10.6 11.1 -2.8 9.4 17.2 6.1 17.2 9.4 7.8
0.0260274 23.3 15 -5.6 27.2 11.1 7.2 22.8 11.7 4.4 10 6.1 22.8 25 1.1 25 22.2 7.2 10 4.4 6.7 10.6 13.9 15 12.2 14.4 15 6.1 15.6 0 4.4 20.6 11.1 13.3 10.6 12.8
0.02876712 26.1 18.3 -2.8 24.4 11.1 11.7 21.1 10.6 10 10 12.2 24.4 20.6 0.6 17.8 14.4 17.8 2.8 3.3 10 19.4 8.3 2.2 16.1 10 12.8 14.4 9.4 2.8 13.3 21.1 14.4 13.9 7.8 15.6
0.03150685 23.9 17.2 3.3 11.7 11.1 15 20.6 17.8 8.3 13.3 10 22.8 25 5.6 7.2 11.7 17.8 6.7 6.7 7.8 23.3 5 -1.1 3.9 7.2 5 15 8.9 9.4 18.9 21.1 7.8 8.9 6.7 12.8
0.03424658 23.9 14.4 8.9 0.6 1.7 17.2 17.8 13.9 6.1 16.1 7.8 25 26.7 11.1 8.3 4.4 17.8 10 2.2 15.6 7.8 3.9 1.1 11.1 8.9 1.1 21.1 16.1 19.4 20 14.4 7.8 13.3 13.3 9.4
0.0369863 22.8 19.4 18.9 6.1 5 15 12.8 15.6 7.2 17.8 14.4 26.7 19.4 18.9 19.4 17.8 26.1 11.1 2.8 15.6 20 13.9 -2.8 22.8 10 2.8 15 8.9 7.8 4.4 11.7 12.8 15.6 11.1 13.9
0.03972603 20 15.6 18.3 10 6.1 19.4 11.1 13.9 12.8 18.9 16.7 23.9 9.4 22.8 22.2 18.3 14.4 7.8 2.8 2.2 20.6 16.7 2.8 22.8 3.3 12.8 21.1 11.1 8.3 5 16.7 16.1 7.2 5 18.3
0.04246575 11.7 18.3 13.3 12.2 6.1 15.6 15.6 14.4 13.3 18.3 15 17.8 6.1 21.1 25.6 17.2 19.4 12.2 10 7.2 17.2 13.3 16.7 11.1 1.1 11.1 21.1 16.1 15.6 8.9 21.7 16.1 10.6 12.8 7.2
0.04520548 13.3 24.4 12.2 14.4 13.3 8.9 12.8 13.3 16.7 21.7 13.9 17.8 15.6 23.3 26.7 14.4 15.6 6.1 12.2 15.6 21.1 10 8.3 12.8 3.9 8.3 17.2 11.7 12.2 12.2 20.6 15.6 5.6 15 16.7
0.04794521 12.8 22.8 12.2 13.3 22.2 16.1 9.4 3.9 18.9 21.7 12.8 16.7 19.4 23.3 27.8 22.2 12.8 6.1 3.3 21.7 18.3 6.1 3.9 16.7 5.6 10 15 10.6 20.6 15 22.8 17.8 6.7 17.8 7.8
0.05068493 5.6 20 9.4 14.4 22.8 18.9 7.8 0.6 21.1 18.3 5.6 10.6 25 21.7 26.7 22.8 14.4 7.2 0 18.3 15.6 8.9 20 7.2 1.1 18.3 18.9 8.3 21.1 12.2 16.7 9.4 3.9 17.2 3.3
0.05342466 7.2 14.4 8.3 1.1 25 21.1 2.2 6.1 19.4 16.7 5.6 11.7 24.4 20 20.6 11.1 20.6 6.1 0 19.4 22.2 5 26.1 5 2.8 13.9 19.4 8.3 21.7 14.4 21.7 10 7.8 9.4 5.6
