time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 4.4 17.2 5 10.6 5 13.3 23.9 11.1 10 8.3 7.2 11.1 13.3 21.7 19.4 23.9 17.8 6.7 10.6 23.3 8.3 16.7 12.8 7.8 10.6 26.7 15 6.7 21.1 15.6 17.2 8.9 12.2 23.3 6.1
0.004109589 4.4 16.1 8.9 12.2 12.2 22.8 25 11.7 7.2 6.7 8.9 15.6 16.1 16.7 15 12.8 17.2 5 7.8 19.4 12.8 11.1 13.3 8.9 11.7 24.4 15 10.6 10 16.7 13.3 12.2 14.4 12.8 15.6
0.006849315 17.2 11.1 17.2 12.2 18.3 16.7 18.9 13.9 15.6 15 9.4 13.9 14.4 11.1 11.7 20 18.3 2.8 9.4 2.2 12.2 16.1 7.8 8.9 12.2 17.8 19.4 11.1 4.4 15.6 19.4 10.6 13.3 13.3 13.3
0.009589041 14.4 12.8 18.3 13.9 15 14.4 12.8 13.3 17.2 8.3 7.2 23.9 19.4 18.9 20 16.1 10 7.2 10.6 7.8 6.1 10.6 19.4 10 15.6 8.3 13.3 7.8 8.9 11.7 22.2 12.2 15.6 21.7 10.6
0.01232877 12.8 15.6 17.8 10 16.7 15.6 10.6 10.6 6.7 0 7.8 22.8 20.6 18.9 13.3 12.8 5 13.9 16.7 8.9 5.6 4.4 14.4 6.7 13.9 10.6 10.6 13.3 7.2 14.4 17.2 11.7 18.9 22.8 11.7
0.01506849 7.8 17.8 20 11.7 19.4 17.2 16.7 12.8 5.6 6.7 5 12.8 8.3 13.3 21.7 7.2 3.9 7.8 12.8 17.8 7.2 10.6 18.9 13.9 18.9 11.7 15.6 13.3 0.6 20 16.7 21.1 16.1 15.6 15.6
0.01780822 13.9 16.7 9.4 15.6 18.9 16.1 17.8 20.6 8.9 11.7 4.4 12.8 15 6.1 22.8 13.9 11.7 12.2 11.1 18.3 11.1 11.7 20 18.9 13.9 14.4 11.1 16.7 -0.6 18.3 12.2 20 16.1 13.3 22.8
0.02054795 16.1 13.3 10.6 12.8 12.2 21.1 8.9 17.2 5.6 14.4 -1.1 6.1 13.9 1.1 17.8 11.7 10 10 21.1 17.2 11.1 7.8 16.1 15.6 16.7 13.9 3.9 13.9 0 21.7 13.3 6.7 16.7 13.9 16.1
0.02328767 18.9 10.6 11.7 16.7 11.7 23.3 10.6 13.9 0.6 21.7 -1.1 5.6 21.1 1.1 26.7 17.2 4.4 6.7 14.4 8.3 10 7.2 12.2 7.2 19.4 8.3 10 16.1 3.3 14.4 16.7 7.2 15 10.6 7.2
0.0260274 21.1 10.6 5 20 8.9 22.2 17.2 9.4 3.9 10 2.8 8.9 21.7 1.7 26.7 20.6 11.1 10.6 1.1 12.8 11.1 7.2 0.6 9.4 14.4 3.3 9.4 14.4 6.1 6.1 18.3 8.3 11.7 6.1 8.3
0.02876712 22.8 17.8 -2.8 24.4 7.2 9.4 15.6 8.3 1.7 8.9 6.1 20 16.7 6.7 23.3 21.7 17.2 3.3 3.9 14.4 16.7 5.6 -0.6 14.4 8.9 12.2 13.9 10 6.7 10 23.3 11.7 14.4 7.8 15.6
0.03150685 12.2 20 -0.6 20.6 8.3 13.9 9.4 10.6 0.6 9.4 6.1 16.7 18.3 4.4 18.9 18.9 15.6 8.9 8.3 6.1 12.8 1.7 0 8.9 4.4 5.6 18.3 16.1 10 15.6 16.7 15.6 17.2 9.4 13.9
0.03424658 24.4 14.4 8.3 16.7 3.3 17.2 10 17.8 1.7 9.4 10.6 16.1 20.6 8.3 10.6 18.9 21.1 7.8 2.2 6.7 5.6 8.3 0 8.9 1.7 11.1 10.6 19.4 11.1 16.1 10.6 10.6 17.2 18.9 12.2
0.0369863 21.7 15 9.4 3.9 4.4 13.3 7.8 13.9 0 10 15 22.8 20.6 12.8 5 7.2 17.2 5 2.2 13.3 8.3 12.2 1.1 13.3 12.8 11.7 14.4 19.4 3.9 5 14.4 15 18.3 13.9 11.7
0.03972603 23.9 17.8 17.2 6.7 8.3 6.1 5.6 15.6 4.4 11.1 13.3 18.3 9.4 16.7 18.3 13.3 13.3 9.4 5 9.4 17.8 15.6 3.9 10 6.1 10 10.6 16.1 5.6 12.2 20.6 17.8 7.2 10.6 2.8
0.04246575 16.7 10 13.9 10.6 10 1.7 7.2 10.6 10.6 13.3 15.6 8.9 -0.6 14.4 25.6 18.3 13.3 10 6.1 16.1 17.8 10.6 10 9.4 8.9 8.3 17.2 13.9 10.6 15 24.4 21.7 5 8.9 -1.1
0.04520548 12.2 14.4 14.4 11.1 5 3.3 8.3 15 11.7 17.8 12.8 9.4 7.2 20.6 26.1 12.2 6.7 -1.1 12.8 20 12.8 5 4.4 11.1 11.7 11.1 21.1 10.6 10.6 16.1 25 15.6 13.3 15.6 17.2
0.04794521 17.2 17.2 7.2 10 10.6 7.8 9.4 14.4 15 22.2 15.6 7.8 17.8 21.7 16.1 16.1 3.9 0 12.8 20.6 18.3 12.8 10.6 6.7 8.9 11.1 20.6 6.7 13.9 17.8 23.3 16.1 12.8 17.2 9.4
0.05068493 9.4 14.4 3.3 15 11.7 8.3 7.2 8.3 19.4 15.6 10 3.9 21.1 20 21.1 21.7 5 3.3 6.1 8.9 18.3 16.1 16.1 6.1 6.7 12.8 16.1 15.6 12.8 20.6 19.4 9.4 5.6 10 -1.7
0.05342466 9.4 6.1 4.4 19.4 14.4 16.1 5.6 8.9 18.3 14.4 7.8 5.6 22.2 21.7 17.2 17.8 12.8 5 5.6 19.4 18.9 8.3 12.2 0 2.8 7.8 13.9 9.4 20.6 16.7 17.8 13.3 12.8 9.4 6.1
0.05616438 6.1 5.6 11.1 10.6 18.9 20 10 17.2 21.1 14.4 1.7 12.8 19.4 13.3 24.4 11.7 15 7.8 7.8 18.9 13.3 10 12.2 4.4 4.4 -3.9 19.4 7.8 15.6 8.9 20 9.4 17.8 9.4 7.8
0.05890411 3.9 4.4 22.8 12.8 21.7 22.2 5.6 22.8 17.8 10 1.1 18.3 15.6 21.1 25.6 13.9 13.9 7.8 4.4 12.2 14.4 11.1 7.2 6.7 5 6.1 23.3 5.6 11.7 11.7 18.9 6.1 18.9 17.8 15
