time psi_1 psi_2 psi_3 psi_4
0.01501502 0.04904905 0.08208208 0.1151151 0.1491491
0.1821822 0.2152152 0.2492492 0.2822823 0.3153153
0.3493493 0.3823824 0.4154154 0.4494494 0.4824825
0.5155155 0.5495495 0.5825826 0.6156156 0.6496496
0.6826827 0.7157157 0.7497497 0.7827828 0.8158158
0.8498498 0.8828829 0.9159159 0.9499499 0.982983
-0.1626544 0.0006153909 0.8482837 2.201293 4.051038
6.279476 8.892842 11.7959 14.59491 17.22167
19.7153 21.91067 23.86639 25.61188 27.01739
28.05484 28.62678 28.6068 27.97321 26.64067
24.76056 22.51489 20.03243 17.47125 14.65307
11.42662 8.187224 5.115677 2.492806 0.9783599
2.219483 2.613539 3.712348 5.288991 7.335091
9.744992 12.53987 15.57304 18.37193 20.86986
23.2206 25.39405 27.43537 29.2518 30.60208
31.5014 31.94756 31.8881 31.26834 29.95937
28.07993 25.79989 23.235 20.56055 17.6222
14.28538 10.94355 7.758494 5.037906 3.566353
3.949628 2.029713 2.693435 4.074722 5.802707
8.138427 11.33808 15.08676 18.55864 21.4995
24.03798 26.12284 27.75597 28.72278 28.80114
28.36337 27.92997 27.84251 27.77003 27.27356
26.19036 24.62324 22.6466 20.61325 18.75891
17.14506 15.13111 11.7308 7.355325 5.778698
5.209491 5.199848 5.291922 5.70626 6.60688
8.019274 9.988026 12.40114 14.87025 17.34045
19.98882 22.76903 25.62247 28.27724 30.24925
31.49841 31.98027 31.67017 30.73912 29.30727
27.58061 25.57807 23.2794 20.86176 18.29577
15.54216 12.8424 10.20477 7.754862 6.040446
