time psi_1 psi_2 psi_3 psi_4
0.01501502 0.04904905 0.08208208 0.1151151 0.1491491
0.1821822 0.2152152 0.2492492 0.2822823 0.3153153
0.3493493 0.3823824 0.4154154 0.4494494 0.4824825
0.5155155 0.5495495 0.5825826 0.6156156 0.6496496
0.6826827 0.7157157 0.7497497 0.7827828 0.8158158
0.8498498 0.8828829 0.9159159 0.9499499 0.982983
7.775743 8.265829 9.256926 10.56159 12.18208
14.0585 16.22495 18.55098 20.64784 22.47908
24.25092 26.03389 27.84456 29.51233 30.73678
31.52748 31.90697 31.85984 31.37929 30.40098
28.99477 27.2037 25.02825 22.67349 20.1592
17.48481 14.88438 12.35521 10.10145 8.898798
5.393605 5.652905 6.392862 7.47389 8.89803
10.59298 12.57793 14.77384 16.87083 18.83089
20.74562 22.55051 24.27558 25.87241 27.15209
28.08092 28.58619 28.57853 28.08416 27.08227
25.6754 23.9187 21.82568 19.58419 17.19007
14.62606 12.12805 9.712396 7.556354 6.310805
3.66346 6.236731 7.411775 8.688159 10.43041
12.19955 13.77972 15.26013 16.68412 18.20125
19.92824 21.82172 23.95498 26.40143 28.95303
31.21895 32.60378 32.62412 31.58246 29.76808
27.56497 25.09535 22.41407 19.53149 16.05335
11.76637 7.940497 5.740087 5.238934 4.09846
2.403597 3.066596 4.813288 7.05662 9.626241
12.3187 15.12977 17.94574 20.37251 22.3603
23.9774 25.17553 26.08848 26.84697 27.50492
28.08391 28.55348 28.79646 28.61338 27.73437
26.17472 24.14052 21.78127 19.28298 16.51649
13.36928 10.22921 7.266118 4.839398 3.836713
