time temperature
0.001369863 7.615152
0.004109589 6.752941
0.006849315 6.941176
0.009589041 6.670588
0.01232877 6.188235
0.01506849 6.508824
0.01780822 7.6
0.02054795 5.791176
0.02328767 5.347059
0.0260274 5.573529
0.02876712 5.561765
0.03150685 5.876471
0.03424658 6.473529
0.0369863 6.582353
0.03972603 6.611765
0.04246575 6.070588
0.04520548 6.744118
0.04794521 7.635294
0.05068493 6.697059
0.05342466 6.297059
0.05616438 6.45
0.05890411 7.520588
0.06164384 8.579412
0.06438356 8.461765
0.06712329 9.035294
0.06986301 8.905882
0.07260274 7.45
0.07534247 7.585294
0.07808219 8.282353
0.08082192 8.570588
0.08356164 8.855882
0.08630137 9.211429
0.0890411 9.957143
0.09178082 7.355882
0.09452055 7.988571
0.09726027 9.168571
0.1 8.494286
0.1027397 6.457143
0.1054795 5.885294
0.1082192 8.1
0.1109589 6.88
0.1136986 9.342857
0.1164384 8.777143
0.1191781 8.885714
0.1219178 9.847059
0.1246575 11.16
0.1273973 10.34286
0.130137 9.465714
0.1328767 10.38857
0.1356164 10.90857
0.1383562 10.61714
0.1410959 12.13429
0.1438356 12.45429
0.1465753 11.82571
0.1493151 11.68
0.1520548 10.00571
0.1547945 10.93235
0.1575342 11.23529
0.160274 11.82353
0.1630137 11.55143
0.1657534 12.63429
0.1684932 13.4
0.1712329 13.70857
0.1739726 13.39429
0.1767123 12.32286
0.1794521 13.14
0.1821918 14.09429
0.1849315 13.43429
0.1876712 13.29714
0.190411 14.58571
0.1931507 15.54857
0.1958904 15.13143
0.1986301 14.86
0.2013699 15.61143
0.2041096 15.96571
0.2068493 14.94286
0.209589 16.53714
0.2123288 16.10571
0.2150685 16.78
0.2178082 16.25429
0.2205479 15.46857
0.2232877 16.51143
0.2260274 17.10857
0.2287671 15.63714
0.2315068 14.72571
0.2342466 16.88286
0.2369863 17.79143
0.239726 19.81429
0.2424658 18.38
0.2452055 17.28286
0.2479452 18.95588
0.2506849 19.66765
0.2534247 19.73235
0.2561644 20.2
0.2589041 18.68824
0.2616438 18.55
0.2643836 18.60882
0.2671233 20.36471
0.269863 19.16471
0.2726027 19.25
0.2753425 20.97941
0.2780822 21.74706
0.2808219 21.99706
0.2835616 21.45588
0.2863014 21.74706
0.2890411 22.09706
0.2917808 22.94118
0.2945205 23.39706
0.2972603 23.70882
0.3 23.62941
0.3027397 23.69412
0.3054795 23.42647
0.3082192 23.85588
0.3109589 23.54412
0.3136986 23.37647
0.3164384 21.34412
0.3191781 23.39706
0.3219178 23.96765
0.3246575 24.14118
0.3273973 23.51765
0.330137 24.44571
0.3328767 22.94
0.3356164 23.49714
0.3383562 23.42571
0.3410959 24.65429
0.3438356 25.76571
0.3465753 25.77429
0.3493151 26.11714
0.3520548 24.94118
0.3547945 25.08286
0.3575342 25.95714
0.360274 26.37714
0.3630137 26.32857
0.3657534 26.39429
0.3684932 27.37429
0.3712329 26.80857
0.3739726 27.52857
0.3767123 27.26286
0.3794521 27.82857
0.3821918 27.85714
0.3849315 28.11429
0.3876712 28.16857
0.390411 27.82857
0.3931507 28.63143
0.3958904 28.37714
0.3986301 28.61429
0.4013699 27.71143
0.4041096 27.66286
0.4068493 28.60571
0.409589 29.05143
0.4123288 28.94
0.4150685 28.91714
0.4178082 29.09429
0.4205479 29.56857
0.4232877 29.95714
0.4260274 30.28571
0.4287671 30.58286
0.4315068 31.08286
0.4342466 31.01714
0.4369863 31.86857
0.439726 31.92
0.4424658 31.05429
0.4452055 31.63143
0.4479452 31.77429
0.4506849 31.63714
0.4534247 31.82
0.4561644 30.95143
0.4589041 30.72
0.4616438 31.39429
0.4643836 32.00286
0.4671233 32.30286
0.469863 32.22286
0.4726027 32.77143
0.4753425 32.26857
0.4780822 32.01143
0.4808219 31.91143
0.4835616 31.99714
0.4863014 31.99714
0.4890411 32.06
0.4917808 32.33143
0.4945205 33.44571
0.4972603 32.74
0.5 32.71143
0.5027397 33.03143
0.5054795 33.17429
0.5082192 32.92571
0.5109589 32.72857
0.5136986 32.64571
0.5164384 33.06286
0.5191781 33.19714
0.5219178 33.66286
0.5246575 33.91143
0.5273973 33.36
0.530137 33.16
0.5328767 33.23429
0.5356164 33
0.5383562 33.28286
0.5410959 32.84286
0.5438356 33.14571
0.5465753 33.29143
0.5493151 33.52286
0.5520548 33.06
0.5547945 33.19714
0.5575342 32.86
0.560274 32.17143
0.5630137 32.49429
0.5657534 32.68857
0.5684932 32.82571
0.5712329 32.25714
0.5739726 32.17714
0.5767123 31.98
0.5794521 32.07059
0.5821918 32.65143
0.5849315 32.12286
0.5876712 31.98286
0.590411 32.21714
0.5931507 32.18857
0.5958904 31.92286
0.5986301 31.92286
0.6013699 31.68286
0.6041096 32.23429
0.6068493 31.98286
0.609589 31.60857
0.6123288 31.30857
0.6150685 30.82571
0.6178082 30.37714
0.6205479 31.15143
0.6232877 31.11714
0.6260274 31.51429
0.6287671 31.49143
0.6315068 31.64286
0.6342466 31.59143
0.6369863 31.93714
0.639726 31.94857
0.6424658 31.63429
0.6452055 31.46571
0.6479452 31.77429
0.6506849 31.89143
0.6534247 32.42571
0.6561644 31.71429
0.6589041 31.07714
0.6616438 30.88857
0.6643836 31.30286
0.6671233 30.55143
0.669863 30.36286
0.6726027 30.94
0.6753425 29.92
0.6780822 29.76857
0.6808219 29.79143
0.6835616 30.30286
0.6863014 30.84857
0.6890411 30.27143
0.6917808 30.39143
0.6945205 29.05714
0.6972603 28.86286
0.7 29.31714
0.7027397 28.96286
0.7054795 28.69429
0.7082192 27.71714
0.7109589 27.98286
0.7136986 28.14857
0.7164384 27.79429
0.7191781 28.06571
0.7219178 27.67714
0.7246575 27.19714
0.7273973 27.09714
0.730137 25.51429
0.7328767 24.83714
0.7356164 25.77714
0.7383562 25.66286
0.7410959 24.85714
0.7438356 25.59143
0.7465753 26.08286
0.7493151 26.16571
0.7520548 25.80571
0.7547945 25.12571
0.7575342 25.86286
0.760274 25.33143
0.7630137 24.64286
0.7657534 23.82857
0.7684932 23.53429
0.7712329 24.50857
0.7739726 24.52286
0.7767123 23.65429
0.7794521 24.65429
0.7821918 24.69714
0.7849315 23.60286
0.7876712 24.13714
0.790411 24.29714
0.7931507 22.84
0.7958904 22.35143
0.7986301 21.62571
0.8013699 20.19429
0.8041096 21.51143
0.8068493 22.19429
0.809589 21.82286
0.8123288 21.08857
0.8150685 20.85714
0.8178082 20.12857
0.8205479 21.40286
0.8232877 21.17714
0.8260274 20.34857
0.8287671 20.49412
0.8315068 20.55714
0.8342466 21.06364
0.8369863 19.87273
0.839726 18.51212
0.8424658 17.64545
0.8452055 16.49091
0.8479452 16.29394
0.8506849 16.12424
0.8534247 16.14848
0.8561644 17.15758
0.8589041 17.01212
0.8616438 15.48788
0.8643836 15.90606
0.8671233 16.2625
0.869863 16.6697
0.8726027 16.54545
0.8753425 16.83636
0.8780822 16.3375
0.8808219 15.44545
0.8835616 16.18437
0.8863014 16.0303
0.8890411 15.09394
0.8917808 13.89394
0.8945205 14.12424
0.8972603 12.86667
0.9 13
0.9027397 14.79091
0.9054795 15.33333
0.9082192 13.64545
0.9109589 9.409091
0.9136986 10.49394
0.9164384 10.98571
0.9191781 12.06286
0.9219178 12.04571
0.9246575 12.37714
0.9273973 11.17143
0.930137 11.87143
0.9328767 9.86
0.9356164 10.4
0.9383562 10.31714
0.9410959 9.994286
0.9438356 10.30571
0.9465753 9.26
0.9493151 9.08
0.9520548 8.737143
0.9547945 9.24
0.9575342 8.757143
0.960274 8.054286
0.9630137 8.374286
0.9657534 8.751429
0.9684932 9.557143
0.9712329 8.682857
0.9739726 7.98
0.9767123 8.854286
0.9794521 8.369697
0.9821918 8.091176
0.9849315 6.277143
0.9876712 6.752941
0.990411 8.441176
0.9931507 8.39697
0.9958904 8.669697
0.9986301 8.448485
