time temperature
0.001369863 16.68286
0.004109589 16.32571
0.006849315 15.97429
0.009589041 16.03143
0.01232877 16.6
0.01506849 16.76286
0.01780822 17.06
0.02054795 17.52571
0.02328767 17.47429
0.0260274 18.04286
0.02876712 18.32571
0.03150685 17.94857
0.03424658 18.22857
0.0369863 18.54857
0.03972603 18.88571
0.04246575 19.12857
0.04520548 19.33429
0.04794521 19.2
0.05068493 19.46
0.05342466 19.19143
0.05616438 19.11429
0.05890411 18.78857
0.06164384 19.03714
0.06438356 18.86286
0.06712329 19.27143
0.06986301 19.95143
0.07260274 19.73714
0.07534247 19.80571
0.07808219 19.96286
0.08082192 19.68571
0.08356164 19.76
0.08630137 20.11176
0.0890411 19.88824
0.09178082 20.32353
0.09452055 20.57059
0.09726027 20.68529
0.1 20.47353
0.1027397 20.62941
0.1054795 20.52941
0.1082192 20.95588
0.1109589 21.00588
0.1136986 21.13235
0.1164384 21.62647
0.1191781 21.59118
0.1219178 21.76471
0.1246575 21.27647
0.1273973 21.31176
0.130137 21.87353
0.1328767 21.98824
0.1356164 22.24412
0.1383562 22.50882
0.1410959 22.22059
0.1438356 22.57353
0.1465753 22.61471
0.1493151 23.10588
0.1520548 23.81471
0.1547945 23.70882
0.1575342 23.86765
0.160274 24.15294
0.1630137 23.32647
0.1657534 22.41765
0.1684932 21.93824
0.1712329 22.48529
0.1739726 23.02353
0.1767123 23.26765
0.1794521 23.87353
0.1821918 24.13235
0.1849315 24.78824
0.1876712 23.82059
0.190411 23.39118
0.1931507 23.95882
0.1958904 23.96176
0.1986301 23.92941
0.2013699 24.79706
0.2041096 24.95882
0.2068493 24.73235
0.209589 25.65
0.2123288 25.29706
0.2150685 25.52353
0.2178082 26.30588
0.2205479 26.53235
0.2232877 26.39412
0.2260274 26.99706
0.2287671 26.45588
0.2315068 25.78235
0.2342466 25.71471
0.2369863 25.10294
0.239726 25.37941
0.2424658 26.68529
0.2452055 27.42647
0.2479452 26.99429
0.2506849 26.18
0.2534247 27.24571
0.2561644 27.72286
0.2589041 28.93714
0.2616438 29.50857
0.2643836 29.13143
0.2671233 28.99714
0.269863 29.51714
0.2726027 29.84286
0.2753425 30.14
0.2780822 29.30857
0.2808219 29.75429
0.2835616 30.47143
0.2863014 30.33429
0.2890411 30.66857
0.2917808 30.44
0.2945205 29.53714
0.2972603 29.09714
0.3 29.35714
0.3027397 30.44286
0.3054795 29.95714
0.3082192 30.22857
0.3109589 30.54571
0.3136986 30.33429
0.3164384 30.12571
0.3191781 30.77714
0.3219178 30.97143
0.3246575 31.75714
0.3273973 32.03714
0.330137 32.00882
0.3328767 32.63714
0.3356164 33.22857
0.3383562 32.77143
0.3410959 31.87143
0.3438356 31.58
0.3465753 32.12
0.3493151 33.09143
0.3520548 33.39429
0.3547945 33.25143
0.3575342 33.53714
0.360274 33.94571
0.3630137 34.56857
0.3657534 34.84286
0.3684932 34.61143
0.3712329 34.70286
0.3739726 34.92
0.3767123 35.29714
0.3794521 35.32286
0.3821918 35.27429
0.3849315 35.41143
0.3876712 35.47714
0.390411 35.73714
0.3931507 35.30571
0.3958904 35.88
0.3986301 36.08
0.4013699 36.54571
0.4041096 36.26857
0.4068493 35.87714
0.409589 36.30571
0.4123288 36.65429
0.4150685 36.61143
0.4178082 37.45143
0.4205479 37.83429
0.4232877 38.17714
0.4260274 38.08571
0.4287671 37.6
0.4315068 37.69429
0.4342466 37.50286
0.4369863 37.98286
0.439726 38.10571
0.4424658 38.47143
0.4452055 39.02
0.4479452 39.48857
0.4506849 39.80571
0.4534247 39.63143
0.4561644 40.09714
0.4589041 40.84
0.4616438 40.94286
0.4643836 41.01714
0.4671233 41.36857
0.469863 41.64571
0.4726027 41.86857
0.4753425 41.86571
0.4780822 41.84
0.4808219 41.91429
0.4835616 42.38
0.4863014 42.73429
0.4890411 42.87143
0.4917808 42.21429
0.4945205 42.16
0.4972603 42.20857
0.5 42.18
0.5027397 42.14286
0.5054795 42.54857
0.5082192 42.58286
0.5109589 42.31714
0.5136986 41.75143
0.5164384 41.88286
0.5191781 41.89143
0.5219178 42.31143
0.5246575 42.41143
0.5273973 42.83429
0.530137 42.60571
0.5328767 42.39714
0.5356164 42.35143
0.5383562 42.21429
0.5410959 41.72286
0.5438356 41.76
0.5465753 41.93429
0.5493151 41.55143
0.5520548 41.08286
0.5547945 40.92286
0.5575342 41.35429
0.560274 41.96571
0.5630137 42.40286
0.5657534 41.89714
0.5684932 41.98571
0.5712329 42.43714
0.5739726 42.09429
0.5767123 41.49714
0.5794521 42.03429
0.5821918 42.22857
0.5849315 42.11429
0.5876712 42.20286
0.590411 41.76286
0.5931507 41.84286
0.5958904 42.07714
0.5986301 42.38286
0.6013699 42.02286
0.6041096 41.47429
0.6068493 41.5
0.609589 41.24286
0.6123288 40.78
0.6150685 40.95714
0.6178082 40.63429
0.6205479 40.13429
0.6232877 39.98571
0.6260274 39.79143
0.6287671 40.00286
0.6315068 40.38286
0.6342466 40.22286
0.6369863 39.92
0.639726 39.71429
0.6424658 39.84
0.6452055 39.93143
0.6479452 40.10571
0.6506849 39.76857
0.6534247 39.98571
0.6561644 40.72
0.6589041 40.85714
0.6616438 40.62
0.6643836 40.22857
0.6671233 39.63143
0.669863 39.51143
0.6726027 39.67429
0.6753425 39.03143
0.6780822 39.14857
0.6808219 39.00286
0.6835616 38.94
0.6863014 39.20571
0.6890411 39.70286
0.6917808 39.3
0.6945205 38.8
0.6972603 38.38857
0.7 37.78286
0.7027397 37.31429
0.7054795 37.49714
0.7082192 37.40857
0.7109589 37.04571
0.7136986 36.58
0.7164384 35.63143
0.7191781 35.6
0.7219178 35.71714
0.7246575 35.74857
0.7273973 36.15429
0.730137 36.38571
0.7328767 36.57714
0.7356164 36.35143
0.7383562 36.21143
0.7410959 36.26857
0.7438356 36.06286
0.7465753 35.97714
0.7493151 35.45143
0.7520548 35.19143
0.7547945 34.86857
0.7575342 34.17429
0.760274 34.20286
0.7630137 34.27143
0.7657534 33.55714
0.7684932 33.32
0.7712329 33.20571
0.7739726 32.74286
0.7767123 32.41143
0.7794521 32.08571
0.7821918 32.65714
0.7849315 31.85143
0.7876712 30.59143
0.790411 30.29143
0.7931507 30.27429
0.7958904 30.51429
0.7986301 30.37429
0.8013699 30.33714
0.8041096 29.99429
0.8068493 29.64286
0.809589 29.93143
0.8123288 29.18
0.8150685 29.60286
0.8178082 29.74286
0.8205479 29.03143
0.8232877 28.85143
0.8260274 27.85143
0.8287671 26.89714
0.8315068 26.46857
0.8342466 26.94
0.8369863 26.66857
0.839726 27.16
0.8424658 27.47143
0.8452055 27.32286
0.8479452 27
0.8506849 26.27143
0.8534247 25.68286
0.8561644 25.92
0.8589041 25.71143
0.8616438 25.38857
0.8643836 24.98857
0.8671233 24.38857
0.869863 23
0.8726027 22.28
0.8753425 22.55143
0.8780822 22.42571
0.8808219 21.86857
0.8835616 21.34286
0.8863014 21.53429
0.8890411 21.25714
0.8917808 20.87429
0.8945205 21.51429
0.8972603 21.72857
0.9 20.98
0.9027397 20.64857
0.9054795 19.99714
0.9082192 19.64286
0.9109589 19.64857
0.9136986 19.79143
0.9164384 20.12286
0.9191781 20.74286
0.9219178 20.25714
0.9246575 19.90286
0.9273973 19.96286
0.930137 20.07143
0.9328767 19.50286
0.9356164 18.88286
0.9383562 19.08286
0.9410959 18.70571
0.9438356 18.75429
0.9465753 17.54
0.9493151 17.97143
0.9520548 17.68286
0.9547945 17.72571
0.9575342 18.22286
0.960274 18.52286
0.9630137 18.27143
0.9657534 18.25429
0.9684932 18.13429
0.9712329 17.56857
0.9739726 17.96571
0.9767123 17.50571
0.9794521 17.92857
0.9821918 17.74571
0.9849315 17.22571
0.9876712 17.05714
0.990411 16.85429
0.9931507 16.92857
0.9958904 16.61143
0.9986301 16.62
