time temperature
0.001369863 11.03429
0.004109589 10.53714
0.006849315 10.5
0.009589041 10.46
0.01232877 11.08
0.01506849 11.09714
0.01780822 11.79714
0.02054795 12.31714
0.02328767 12.57714
0.0260274 12.73429
0.02876712 11.74857
0.03150685 12.47429
0.03424658 12.65429
0.0369863 13.33714
0.03972603 13.10857
0.04246575 13.01714
0.04520548 13.03429
0.04794521 13.13429
0.05068493 13.59429
0.05342466 13.56286
0.05616438 14.07714
0.05890411 14.33429
0.06164384 14.55429
0.06438356 14.48571
0.06712329 14.14857
0.06986301 14.91143
0.07260274 13.98
0.07534247 13.79429
0.07808219 14.50286
0.08082192 14.51429
0.08356164 14.44286
0.08630137 14.97714
0.0890411 14.7
0.09178082 14.62286
0.09452055 15.54857
0.09726027 15.57429
0.1 15.87143
0.1027397 15.84571
0.1054795 16.59714
0.1082192 17.05143
0.1109589 16.89143
0.1136986 15.98
0.1164384 16.72286
0.1191781 18.06
0.1219178 17.29714
0.1246575 17.73143
0.1273973 17.99143
0.130137 17.36286
0.1328767 17.90571
0.1356164 17.81429
0.1383562 18.58857
0.1410959 18.67714
0.1438356 19.57714
0.1465753 18.84286
0.1493151 19.25714
0.1520548 19.59429
0.1547945 19.46286
0.1575342 19.68571
0.160274 19.79143
0.1630137 18.89143
0.1657534 18.90571
0.1684932 18.36857
0.1712329 18.47714
0.1739726 19.17429
0.1767123 18.98571
0.1794521 19.88286
0.1821918 19.93143
0.1849315 20.35143
0.1876712 19.97429
0.190411 19.48857
0.1931507 19.44571
0.1958904 20
0.1986301 19.34286
0.2013699 19.41429
0.2041096 19.89714
0.2068493 20.55714
0.209589 20.3
0.2123288 20.17714
0.2150685 20.9
0.2178082 22.03143
0.2205479 21.32857
0.2232877 21.63143
0.2260274 21.01714
0.2287671 21.6
0.2315068 20.50857
0.2342466 20.64
0.2369863 22.07429
0.239726 21.81143
0.2424658 22.83714
0.2452055 23.17429
0.2479452 22.41765
0.2506849 21.35
0.2534247 22.25882
0.2561644 22.94706
0.2589041 23.96471
0.2616438 24.31176
0.2643836 23.8
0.2671233 23.19118
0.269863 23.64118
0.2726027 23.85
0.2753425 24.05294
0.2780822 24.12059
0.2808219 25.04706
0.2835616 25.04118
0.2863014 24.91765
0.2890411 25.05588
0.2917808 25.25294
0.2945205 24.78529
0.2972603 22.88235
0.3 23.7
0.3027397 24.57647
0.3054795 25.05588
0.3082192 24.94706
0.3109589 25.08529
0.3136986 24.35294
0.3164384 24.41471
0.3191781 24.88235
0.3219178 26.45882
0.3246575 26.37059
0.3273973 27.02647
0.330137 27.43143
0.3328767 27.13429
0.3356164 27.53429
0.3383562 28.24
0.3410959 27.39714
0.3438356 27.00857
0.3465753 26.64857
0.3493151 27.3
0.3520548 28.39429
0.3547945 27.91714
0.3575342 27.59714
0.360274 28.52571
0.3630137 29.26
0.3657534 29.7
0.3684932 29.73714
0.3712329 29.64857
0.3739726 29.50857
0.3767123 30.40857
0.3794521 30.35143
0.3821918 29.85714
0.3849315 30.25429
0.3876712 29.42571
0.390411 30.28
