time temperature
0.001369863 0.7114286
0.004109589 -0.4514286
0.006849315 -0.7771429
0.009589041 -0.6942857
0.01232877 0.1771429
0.01506849 0.3657143
0.01780822 0.56
0.02054795 0.3142857
0.02328767 0.3942857
0.0260274 1.525714
0.02876712 1.802857
0.03150685 1.585714
0.03424658 1.16
0.0369863 2.151429
0.03972603 1.657143
0.04246575 2.14
0.04520548 1.945714
0.04794521 3.177143
0.05068493 2.862857
0.05342466 3.768571
0.05616438 3.174286
0.05890411 2.868571
0.06164384 2.502857
0.06438356 2.542857
0.06712329 2.568571
0.06986301 3.64
0.07260274 3.74
0.07534247 3.662857
0.07808219 3.551429
0.08082192 3.577143
0.08356164 3.971429
0.08630137 3.905714
0.0890411 3.751429
0.09178082 3.402857
0.09452055 4.468571
0.09726027 3.62
0.1 4.048571
0.1027397 3.857143
0.1054795 4.411429
0.1082192 4.86
0.1109589 5.917143
0.1136986 5.691429
0.1164384 5.602857
0.1191781 6.22
0.1219178 5.325714
0.1246575 5.685714
0.1273973 5.588571
0.130137 6.225714
0.1328767 6.377143
0.1356164 6.76
0.1383562 6.662857
0.1410959 6.168571
0.1438356 7.162857
0.1465753 6.522857
0.1493151 7.5
0.1520548 8.214286
0.1547945 7.497143
0.1575342 7.674286
0.160274 8.391429
0.1630137 9.322857
0.1657534 8.831429
0.1684932 7.631429
0.1712329 6.84
0.1739726 8.16
0.1767123 9.171429
0.1794521 9.451429
0.1821918 10.63143
0.1849315 11.18286
0.1876712 10.80857
0.190411 10.09143
0.1931507 9.191429
0.1958904 10.09429
0.1986301 10.32
0.2013699 10.64857
0.2041096 11.77714
0.2068493 11.52286
0.209589 11.08286
0.2123288 11.02857
0.2150685 11.20571
0.2178082 12.91429
0.2205479 13.10857
0.2232877 13.44286
0.2260274 12.84
0.2287671 13.22571
0.2315068 13.38
0.2342466 12.89429
0.2369863 12.06571
0.239726 11.31765
0.2424658 12.66176
0.2452055 13.59118
0.2479452 13.77143
0.2506849 13.06857
0.2534247 13.65429
0.2561644 13.84
0.2589041 15.22571
0.2616438 15.76286
0.2643836 16.06571
0.2671233 15.16286
0.269863 16.21429
0.2726027 16.73429
0.2753425 15.61143
0.2780822 15.49429
0.2808219 15.76857
