time temperature
0.001369863 2.031429
0.004109589 1.688571
0.006849315 0.8285714
0.009589041 1.365714
0.01232877 1.074286
0.01506849 0.5142857
0.01780822 1.242857
0.02054795 0.2371429
0.02328767 -0.6628571
0.0260274 -0.96
0.02876712 -0.42
0.03150685 -0.5771429
0.03424658 0.09714286
0.0369863 0.5685714
0.03972603 0.1142857
0.04246575 -1.525714
0.04520548 0.56
0.04794521 0.8314286
0.05068493 0.02857143
0.05342466 0.1428571
0.05616438 0.1914286
0.05890411 1.585714
0.06164384 2.742857
0.06438356 2.528571
0.06712329 2.091429
0.06986301 2.368571
0.07260274 1.637143
0.07534247 0.9085714
0.07808219 0.6942857
0.08082192 1.637143
0.08356164 0.9
0.08630137 0.6942857
0.0890411 2.06
0.09178082 1.745714
0.09452055 0.84
0.09726027 0.1742857
0.1 1.308571
0.1027397 0.1314286
0.1054795 0.6371429
0.1082192 0.9657143
0.1109589 1.145714
0.1136986 2.011429
0.1164384 1.251429
0.1191781 1.722857
0.1219178 2.725714
0.1246575 2.997143
0.1273973 2.497143
0.130137 2.605714
0.1328767 3.354286
0.1356164 4.34
0.1383562 4.26
0.1410959 4.785714
0.1438356 5.442857
0.1465753 4.082857
0.1493151 4.222857
0.1520548 3.868571
0.1547945 2.811429
0.1575342 3.745714
0.160274 4.888571
0.1630137 4.994286
0.1657534 5.3
0.1684932 5.208571
0.1712329 4.868571
0.1739726 6.477143
0.1767123 5.8
0.1794521 6.417143
0.1821918 5.52
0.1849315 5.737143
0.1876712 6.462857
0.190411 7.154286
0.1931507 5.654286
0.1958904 6.665714
0.1986301 6.934286
0.2013699 7.471429
0.2041096 8.365714
0.2068493 7.442857
0.209589 6.811429
0.2123288 8.222857
0.2150685 8.971429
0.2178082 7.717143
0.2205479 7.791429
0.2232877 10.24571
0.2260274 9.731429
0.2287671 10.88
0.2315068 11.21143
0.2342466 10.84571
0.2369863 12.85714
0.239726 13.24571
0.2424658 11.6
0.2452055 11.47429
0.2479452 12.75143
0.2506849 11.92353
0.2534247 12.87941
0.2561644 12.17941
0.2589041 13.52941
0.2616438 12.40588
0.2643836 12.78529
0.2671233 12.74412
0.269863 13.56471
0.2726027 13.91471
0.2753425 13.64118
0.2780822 15.06471
0.2808219 14.29706
0.2835616 14.85
0.2863014 15.39118
0.2890411 15
0.2917808 16.97059
0.2945205 17.77941
0.2972603 17.70571
0.3 17.27714
0.3027397 18.14857
0.3054795 17.98571
0.3082192 17.19143
0.3109589 15.92571
0.3136986 17.46
0.3164384 18.09429
0.3191781 19.02286
0.3219178 19.57714
0.3246575 19.06571
