time temperature
0.001369863 21.93429
0.004109589 20.89143
0.006849315 21.55143
0.009589041 21.07714
0.01232877 20.83429
0.01506849 20.30857
0.01780822 21.21714
0.02054795 21.61714
0.02328767 21.01176
0.0260274 20.74857
0.02876712 19.97429
0.03150685 20.27429
0.03424658 20.21714
0.0369863 19.49143
0.03972603 19.10857
0.04246575 18.99714
0.04520548 19.89429
0.04794521 20.49429
0.05068493 20.89143
0.05342466 20.60857
0.05616438 19.98571
0.05890411 19.86571
0.06164384 20.68286
0.06438356 21.22286
0.06712329 21.17429
0.06986301 21.98571
0.07260274 20.66571
0.07534247 20.58857
0.07808219 20.08
0.08082192 21.29429
0.08356164 21.97714
0.08630137 21.42571
0.0890411 21.92571
0.09178082 22.14
0.09452055 20.42857
0.09726027 20.94
0.1 21.69429
0.1027397 21.41143
0.1054795 20.76286
0.1082192 18.58286
0.1109589 19.87429
0.1136986 21.31714
0.1164384 22.35714
0.1191781 21.47143
0.1219178 21.16
0.1246575 22.35429
0.1273973 22.86
0.130137 22.29429
0.1328767 22.34706
0.1356164 22.14706
0.1383562 22.63235
0.1410959 23.45
0.1438356 23.01765
0.1465753 23.07714
0.1493151 22.34286
0.1520548 22.44
0.1547945 21.66571
0.1575342 21.95143
0.160274 22.89143
0.1630137 23.65714
0.1657534 24.02571
0.1684932 23.71143
0.1712329 23.38
0.1739726 23.79429
0.1767123 23.86
0.1794521 24.58857
0.1821918 23.25429
0.1849315 23.9
0.1876712 24.03714
0.190411 24.98
0.1931507 24.39143
0.1958904 25.19714
0.1986301 25.07714
0.2013699 25.04
0.2041096 24.34412
0.2068493 24.83529
0.209589 24.65143
0.2123288 25.65429
0.2150685 26.02571
0.2178082 25.7
0.2205479 25.13143
0.2232877 25.05714
0.2260274 24.94286
0.2287671 25.62571
0.2315068 25.51143
0.2342466 25.63714
0.2369863 25.82857
0.239726 27.02571
0.2424658 26.58857
0.2452055 26.96286
0.2479452 26.74857
0.2506849 26.32286
0.2534247 26.78
0.2561644 26.96857
0.2589041 26.20571
0.2616438 26.33714
0.2643836 26.59143
0.2671233 26.80857
0.269863 27.28857
0.2726027 26.87143
0.2753425 26.92286
0.2780822 27.28857
0.2808219 27.38286
0.2835616 27.63429
0.2863014 28.2
0.2890411 27.89143
0.2917808 27.53714
0.2945205 27.87353
0.2972603 28.86765
0.3 28.50857
0.3027397 28.60857
0.3054795 28.54
0.3082192 29.44571
0.3109589 28.45143
0.3136986 28.70286
0.3164384 28.75143
0.3191781 29.10286
0.3219178 29.20857
0.3246575 28.85143
0.3273973 29.38286
0.330137 29.02571
0.3328767 29.49429
0.3356164 29.59143
0.3383562 29.39714
0.3410959 29.41429
0.3438356 29.69143
0.3465753 29.86286
0.3493151 29.74
0.3520548 29.54857
0.3547945 29.77143
0.3575342 29.95429
0.360274 29.80571
0.3630137 30.33143
0.3657534 30.43429
0.3684932 30.60857
0.3712329 31.03429
0.3739726 31.12571
0.3767123 31.16571
0.3794521 30.94
0.3821918 31.01714
0.3849315 31.37429
0.3876712 31.17429
0.390411 30.72286
0.3931507 30.85714
0.3958904 31.42286
0.3986301 31.46
0.4013699 31.09714
0.4041096 31.00286
0.4068493 31.10571
0.409589 31.55429
0.4123288 31.45714
0.4150685 31.73143
0.4178082 31.74286
0.4205479 31.87714
0.4232877 31.96571
0.4260274 32.05143
0.4287671 31.85143
0.4315068 31.85143
0.4342466 31.98286
0.4369863 31.85714
0.439726 32.56
0.4424658 32.41143
0.4452055 32.49429
0.4479452 32.35143
0.4506849 32.20286
0.4534247 32.29429
0.4561644 32.64857
0.4589041 32.73714
0.4616438 32.17714
0.4643836 32.43429
0.4671233 32.62857
0.469863 32.42
0.4726027 32.49143
0.4753425 32.34571
0.4780822 31.84
0.4808219 32.42286
0.4835616 32.61143
0.4863014 32.27714
0.4890411 32.32571
0.4917808 32.68
0.4945205 32.61515
0.4972603 32.69118
0.5 32.79706
0.5027397 32.80294
0.5054795 33.03235
0.5082192 32.98235
0.5109589 33.10882
0.5136986 33.18824
0.5164384 33
0.5191781 32.95
0.5219178 33.43235
0.5246575 33.43235
0.5273973 33.32941
0.530137 33.27647
0.5328767 33.12353
0.5356164 32.75882
0.5383562 33.16471
0.5410959 32.85588
0.5438356 32.88824
0.5465753 32.93824
0.5493151 32.98571
0.5520548 32.58571
0.5547945 32.66
0.5575342 32.65429
0.560274 32.60286
0.5630137 33.20286
0.5657534 33.04286
0.5684932 32.85429
0.5712329 33.02857
0.5739726 33.08
0.5767123 33.40857
0.5794521 32.44286
0.5821918 32.67429
0.5849315 33.06857
0.5876712 33.07714
0.590411 33.32857
0.5931507 33.13429
0.5958904 33.16
0.5986301 33.52571
0.6013699 33.51429
0.6041096 33.02286
0.6068493 33.52857
0.609589 33.3
0.6123288 32.69714
0.6150685 32.46286
0.6178082 32.44
0.6205479 32.61714
0.6232877 32.68571
0.6260274 33.07143
0.6287671 32.9
0.6315068 33.04286
0.6342466 33.07714
0.6369863 32.83143
0.639726 32.94286
0.6424658 32.63429
0.6452055 32.55143
0.6479452 32.74571
0.6506849 32.76286
0.6534247 32.9
0.6561644 32.82
0.6589041 32.47143
0.6616438 32.39714
0.6643836 32.64571
0.6671233 32.81429
0.669863 32.62286
0.6726027 32.25714
0.6753425 32.57143
0.6780822 32.39429
0.6808219 32.21429
0.6835616 32.36
0.6863014 32.2
0.6890411 31.78571
0.6917808 32
0.6945205 32.09143
0.6972603 31.85714
0.7 31.80286
0.7027397 31.68235
0.7054795 31.71429
0.7082192 32.22
0.7109589 32.09714
0.7136986 32.06857
0.7164384 31.76857
0.7191781 31.46571
0.7219178 31.48
0.7246575 31.52
0.7273973 31.1
0.730137 30.72571
0.7328767 31.13143
0.7356164 31.10857
0.7383562 30.97143
0.7410959 30.84857
0.7438356 30.02
0.7465753 30.60588
0.7493151 30.18571
0.7520548 30.46571
0.7547945 30.34
0.7575342 30.51143
0.760274 30.34857
0.7630137 29.80571
0.7657534 29.28571
0.7684932 29.56
0.7712329 29.54286
0.7739726 29.47429
0.7767123 29.30857
0.7794521 28.98
0.7821918 28.90286
0.7849315 28.71714
0.7876712 28.71429
0.790411 28.44857
0.7931507 28.36286
0.7958904 28.32
0.7986301 28.43143
0.8013699 27.92857
0.8041096 27.73143
0.8068493 27.86
0.809589 27.74571
0.8123288 27.52571
0.8150685 27.31714
0.8178082 26.92
0.8205479 27.02
0.8232877 26.71714
0.8260274 26.81143
0.8287671 26.68
0.8315068 26.98571
0.8342466 26.31143
0.8369863 26.29429
0.839726 25.83143
0.8424658 25.86857
0.8452055 25.54571
0.8479452 25.13429
0.8506849 25.06286
0.8534247 24.32
0.8561644 25.08857
0.8589041 25.11143
0.8616438 25.30571
0.8643836 24.57143
0.8671233 24.74286
0.869863 24.06765
0.8726027 24.82059
0.8753425 25.10294
0.8780822 25.70294
0.8808219 25.57647
0.8835616 25.71176
0.8863014 25.3697
0.8890411 24.71212
0.8917808 23.40588
0.8945205 23.90588
0.8972603 24.05294
0.9 24.13235
0.9027397 23.93235
0.9054795 24.87353
0.9082192 25.04857
0.9109589 23.62
0.9136986 22.35429
0.9164384 21.4
0.9191781 22.27429
0.9219178 23
0.9246575 22.57714
0.9273973 22.70571
0.930137 22.6
0.9328767 22.54857
0.9356164 22.08286
0.9383562 21.84571
0.9410959 22.38571
0.9438356 21.44
0.9465753 22.05143
0.9493151 21.82
0.9520548 20.93429
0.9547945 21.91714
0.9575342 21.32286
0.960274 19.76286
0.9630137 20.36571
0.9657534 20.90286
0.9684932 21.23429
0.9712329 21.20857
0.9739726 20.26
0.9767123 21.10286
0.9794521 20.72857
0.9821918 20.87143
0.9849315 20.44571
0.9876712 19.57429
0.990411 20.84286
0.9931507 22.26
0.9958904 21.86571
0.9986301 21.69714
