time temperature
0.001369863 10.42571
0.004109589 9.791429
0.006849315 10.24
0.009589041 10.57429
0.01232877 9.717143
0.01506849 8.74
0.01780822 10.19143
0.02054795 10.60571
0.02328767 8.385714
0.0260274 9.222857
0.02876712 7.782857
0.03150685 8.651429
0.03424658 8.871429
0.0369863 9.022857
0.03972603 9.031429
0.04246575 8.625714
0.04520548 9.302857
0.04794521 9.78
0.05068493 9.762857
0.05342466 9.22
0.05616438 9.457143
0.05890411 9.965714
0.06164384 11.32857
0.06438356 10.79714
0.06712329 11.30571
0.06986301 12.61714
0.07260274 10.96857
0.07534247 10.12286
0.07808219 11.60286
0.08082192 12.44
0.08356164 11.72
0.08630137 12.00286
0.0890411 11.98857
0.09178082 11.53143
0.09452055 11.42857
0.09726027 12.47429
0.1 10.87429
0.1027397 9.951429
0.1054795 10.44571
0.1082192 11.57714
0.1109589 11.82857
0.1136986 12.63429
0.1164384 12.80857
0.1191781 12.03143
0.1219178 12.54857
0.1246575 14.54571
0.1273973 13.71143
0.130137 13.58286
0.1328767 12.85429
0.1356164 12.87714
0.1383562 13.51143
0.1410959 13.93429
0.1438356 14.92
0.1465753 14.13429
0.1493151 15.70286
0.1520548 14.87714
0.1547945 13.37429
0.1575342 13.77429
0.160274 13.45714
0.1630137 14.34
0.1657534 14.26857
0.1684932 15.82571
0.1712329 16.44286
0.1739726 16.91143
0.1767123 15.78857
0.1794521 16.03714
0.1821918 16.30286
0.1849315 15.60286
0.1876712 16.47143
0.190411 16.36857
0.1931507 17.26857
0.1958904 18.17429
0.1986301 17.64857
0.2013699 17.5
0.2041096 17.62857
0.2068493 16.61714
0.209589 17.56857
0.2123288 18.74286
0.2150685 18.88571
0.2178082 18.14857
0.2205479 17.06571
0.2232877 18.13714
0.2260274 19.28286
0.2287671 18.61143
0.2315068 18.06
0.2342466 18.42
0.2369863 20.58
0.239726 20.6
0.2424658 20.17429
0.2452055 20.60571
0.2479452 20.98235
0.2506849 21.05143
0.2534247 21.11714
0.2561644 20.85143
0.2589041 20.87143
0.2616438 19.77714
0.2643836 21.00857
0.2671233 21.20571
0.269863 20.96286
0.2726027 20.96286
0.2753425 22.46
0.2780822 22.81143
0.2808219 22.86286
0.2835616 23.32857
0.2863014 23.10571
0.2890411 23.00857
0.2917808 22.90286
0.2945205 24.04857
0.2972603 24.89143
0.3 23.7
0.3027397 24.4
0.3054795 24.94571
0.3082192 24.97429
0.3109589 24.63714
0.3136986 24.22
0.3164384 24.09714
0.3191781 24.80286
0.3219178 24.50857
0.3246575 24.04
0.3273973 25.00857
0.330137 25.30571
0.3328767 25.33143
0.3356164 24.14857
0.3383562 24.30571
0.3410959 24.96857
0.3438356 25.79143
0.3465753 26.17143
0.3493151 25.57429
0.3520548 25.36857
0.3547945 24.83143
0.3575342 25.80571
0.360274 25.83714
0.3630137 26.18
0.3657534 26.31429
0.3684932 27.31714
0.3712329 26.84286
0.3739726 26.90286
0.3767123 27.15429
0.3794521 28.25143
0.3821918 27.82571
0.3849315 27.42571
0.3876712 27.51429
0.390411 27.90571
0.3931507 27.97429
0.3958904 28.30286
0.3986301 27.51429
0.4013699 27.54
0.4041096 27.96
0.4068493 27.96857
0.409589 28.46571
0.4123288 28.85714
0.4150685 29.34286
0.4178082 28.79143
0.4205479 29.36571
0.4232877 29.53714
0.4260274 29.33429
0.4287671 29.93143
0.4315068 30.38571
0.4342466 30.34857
0.4369863 30.72571
0.439726 30.65714
0.4424658 30.44286
0.4452055 30.39714
0.4479452 30.53714
0.4506849 30.51429
0.4534247 30.88857
0.4561644 30.64571
0.4589041 30.58571
0.4616438 30.84286
0.4643836 31.32286
0.4671233 30.60571
0.469863 31.20571
0.4726027 30.88286
0.4753425 30.56
0.4780822 31.17714
0.4808219 31.35714
0.4835616 30.92286
0.4863014 31.2
0.4890411 31.31714
0.4917808 31.46
0.4945205 31.64571
0.4972603 32.01714
0.5 31.66286
0.5027397 30.82
0.5054795 31.63429
0.5082192 30.80588
0.5109589 31.10286
0.5136986 31.20857
0.5164384 31.68
0.5191781 32.24571
0.5219178 32.48
0.5246575 32.59429
0.5273973 32.36857
0.530137 32.72059
0.5328767 32.62941
0.5356164 32.53429
0.5383562 32.33143
0.5410959 31.89143
0.5438356 32.67714
0.5465753 32.48857
0.5493151 32.41714
0.5520548 32.63143
0.5547945 32.66286
0.5575342 32.46
0.560274 32.58571
0.5630137 32.27429
0.5657534 32.14
0.5684932 32.3
0.5712329 31.84571
0.5739726 31.99706
0.5767123 32
0.5794521 31.93143
0.5821918 31.85714
0.5849315 31.84
0.5876712 31.81714
0.590411 31.93429
0.5931507 31.96571
0.5958904 32.23714
0.5986301 31.72571
0.6013699 31.36571
0.6041096 31.70286
0.6068493 31.79714
0.609589 31.35429
0.6123288 30.83429
0.6150685 30.80857
0.6178082 30.70857
0.6205479 30.96857
0.6232877 31.24
0.6260274 31.88571
0.6287671 31.48857
0.6315068 32.01143
0.6342466 32.33429
0.6369863 32.19429
0.639726 31.54
0.6424658 31.48
0.6452055 31.13714
0.6479452 31.49714
0.6506849 31.63429
0.6534247 31.46571
0.6561644 31.32571
0.6589041 31.58857
0.6616438 31.50571
0.6643836 30.88571
0.6671233 30.68
0.669863 30.49429
0.6726027 30.04571
0.6753425 30.33429
0.6780822 29.63714
0.6808219 29.97429
0.6835616 29.56286
0.6863014 30.34857
0.6890411 30.61429
0.6917808 30.60571
0.6945205 29.89143
0.6972603 29.78
0.7 29.32286
0.7027397 28.97143
0.7054795 29.02857
0.7082192 28.67143
0.7109589 28.40571
0.7136986 27.35294
0.7164384 27.90294
0.7191781 28.33529
0.7219178 28.58529
0.7246575 28.22857
0.7273973 27.54
0.730137 26.88
0.7328767 25.82571
0.7356164 26.32647
0.7383562 26.71429
0.7410959 25.78
0.7438356 25.63429
0.7465753 25.43714
0.7493151 25.15429
0.7520548 25.21143
0.7547945 25.70857
0.7575342 25.16471
0.760274 24.25429
0.7630137 24.97429
0.7657534 24.34857
0.7684932 23.66571
0.7712329 23.68857
0.7739726 23.63143
0.7767123 24.03143
0.7794521 24.03143
0.7821918 24.20286
0.7849315 23.80857
0.7876712 24.2
0.790411 23.64286
0.7931507 23.30571
0.7958904 22.99143
0.7986301 22.19429
0.8013699 22.08857
0.8041096 22.07143
0.8068493 22.03714
0.809589 22.08
0.8123288 21.63143
0.8150685 20.68571
0.8178082 20.59143
0.8205479 21.33429
0.8232877 21.33429
0.8260274 21.35429
0.8287671 20.80571
0.8315068 21.02941
0.8342466 20.82941
0.8369863 21.46286
0.839726 20.81714
0.8424658 19.96286
0.8452055 18.70857
0.8479452 18.58857
0.8506849 17.73714
0.8534247 17.56
0.8561644 18.14571
0.8589041 18.36
0.8616438 18.44
0.8643836 17.14
0.8671233 17.53714
