time temperature
0.001369863 26.55714
0.004109589 27.08286
0.006849315 26.95143
0.009589041 26.98
0.01232877 26.87429
0.01506849 26.28571
0.01780822 26.33143
0.02054795 26.63143
0.02328767 26.46
0.0260274 26.62571
0.02876712 26.74857
0.03150685 26.64571
0.03424658 26.71143
0.0369863 26.88857
0.03972603 26.45714
0.04246575 26.54857
0.04520548 26.50857
0.04794521 26.6
0.05068493 26.83143
0.05342466 26.54571
0.05616438 26.94
0.05890411 26.48286
0.06164384 26.74857
0.06438356 26.84857
0.06712329 26.29714
0.06986301 26.34571
0.07260274 26.25714
0.07534247 26.53143
0.07808219 26.73429
0.08082192 26.24857
0.08356164 26.3
0.08630137 26.44857
0.0890411 26.83143
0.09178082 26.33429
0.09452055 26.62571
0.09726027 26.77714
0.1 26.62286
0.1027397 26.76857
0.1054795 26.4
0.1082192 26.56857
0.1109589 26.65429
0.1136986 26.52286
0.1164384 27.03714
0.1191781 26.74
0.1219178 26.73143
0.1246575 26.97714
0.1273973 26.89143
0.130137 26.98857
0.1328767 26.92
0.1356164 26.90286
0.1383562 26.97714
0.1410959 27.09143
0.1438356 27.01714
0.1465753 26.95143
0.1493151 26.64
0.1520548 26.49714
0.1547945 26.46857
0.1575342 26.89429
0.160274 26.69429
0.1630137 26.74571
0.1657534 27.12857
0.1684932 26.75714
0.1712329 26.92857
0.1739726 27.14286
0.1767123 27.34571
0.1794521 27.17429
0.1821918 26.99143
0.1849315 27.48
0.1876712 27.44
0.190411 27.15429
0.1931507 27.13143
0.1958904 27.60286
0.1986301 27.08
0.2013699 26.98857
0.2041096 27.4
0.2068493 27.27714
0.209589 27.14857
0.2123288 27.28857
0.2150685 27.31714
0.2178082 27.94286
0.2205479 27.38857
0.2232877 27.22571
0.2260274 27.38286
0.2287671 27.46
0.2315068 27.63143
0.2342466 27.55143
0.2369863 27.3
0.239726 27.27143
0.2424658 27.67714
0.2452055 27.58857
0.2479452 27.55429
0.2506849 27.50571
0.2534247 27.33429
0.2561644 27.43714
0.2589041 27.23429
0.2616438 27.22857
0.2643836 27.41143
0.2671233 27.45714
0.269863 27.58286
0.2726027 27.90857
0.2753425 27.77143
0.2780822 27.96
0.2808219 27.96
0.2835616 28.10571
0.2863014 28.06571
0.2890411 28.04286
0.2917808 28.42
0.2945205 28.43429
0.2972603 28.11714
0.3 28.15429
0.3027397 28.16286
0.3054795 27.97143
0.3082192 28.18571
0.3109589 28.44286
0.3136986 28.38
0.3164384 28.32
0.3191781 28.17143
0.3219178 28.04857
0.3246575 28.26286
0.3273973 28
0.330137 28.22
0.3328767 28.81143
0.3356164 28.62857
0.3383562 28.55143
0.3410959 28.31714
0.3438356 28.67143
0.3465753 28.58857
0.3493151 28.88571
0.3520548 29.11143
0.3547945 28.88571
0.3575342 28.98571
0.360274 29.00571
0.3630137 28.64286
0.3657534 29.27429
0.3684932 29.18286
0.3712329 29.22
0.3739726 29.18571
0.3767123 29.17429
0.3794521 28.91429
0.3821918 28.89714
0.3849315 28.98
0.3876712 29.31143
0.390411 29.25714
0.3931507 29.02857
0.3958904 28.97714
0.3986301 29.44
0.4013699 29.35714
0.4041096 29.44
0.4068493 29.87143
0.409589 29.72857
0.4123288 29.62286
0.4150685 29.92
0.4178082 29.58857
0.4205479 29.56857
0.4232877 29.53714
0.4260274 29.58286
0.4287671 29.83143
0.4315068 29.93143
0.4342466 29.92
0.4369863 29.96571
0.439726 29.96857
0.4424658 30.13143
0.4452055 29.93143
0.4479452 30.02286
0.4506849 30.10857
0.4534247 30
0.4561644 30.08286
0.4589041 30.13143
0.4616438 29.97143
0.4643836 30.04857
0.4671233 30.06571
0.469863 29.96571
0.4726027 30.04571
0.4753425 29.91714
0.4780822 29.78857
0.4808219 30.07714
0.4835616 29.99429
0.4863014 30.09429
0.4890411 30.26857
0.4917808 30.09429
0.4945205 29.95714
0.4972603 30.34857
0.5 30.11714
0.5027397 30.03429
0.5054795 29.98
0.5082192 30.17429
0.5109589 30.20857
0.5136986 30.1
0.5164384 30.29714
0.5191781 30.33714
0.5219178 30.36286
0.5246575 30.17714
0.5273973 30.38
0.530137 30.54286
0.5328767 30.22
0.5356164 30.24857
0.5383562 30.52
0.5410959 30.43429
0.5438356 30.28286
0.5465753 30.19143
0.5493151 30.22286
0.5520548 30.72286
0.5547945 30.51714
0.5575342 30.63429
0.560274 30.57143
0.5630137 31.04
0.5657534 30.67143
0.5684932 30.47143
0.5712329 30.56286
0.5739726 30.78
0.5767123 30.86286
0.5794521 30.80857
0.5821918 30.76
0.5849315 30.75714
0.5876712 30.62857
0.590411 30.72857
0.5931507 30.94286
0.5958904 30.91429
0.5986301 30.82
0.6013699 31.00571
0.6041096 30.76857
0.6068493 30.95714
0.609589 30.99429
0.6123288 30.84857
0.6150685 31.08
0.6178082 30.89429
0.6205479 30.80857
0.6232877 30.79429
0.6260274 30.98857
0.6287671 31.08857
0.6315068 31.12857
0.6342466 30.8
0.6369863 31.25143
0.639726 31.00286
0.6424658 31.37429
0.6452055 31.19714
0.6479452 30.92
0.6506849 30.68571
0.6534247 30.67714
0.6561644 30.76
0.6589041 30.88
0.6616438 30.89429
0.6643836 30.94
0.6671233 30.89143
0.669863 30.95429
0.6726027 30.97143
0.6753425 31.1
0.6780822 30.73714
0.6808219 31.09429
0.6835616 30.97429
0.6863014 30.97143
0.6890411 31.06571
0.6917808 31.08571
0.6945205 31.22286
0.6972603 31.13429
0.7 31.11429
0.7027397 31.22571
0.7054795 30.98571
0.7082192 31.06857
0.7109589 30.98857
0.7136986 30.69714
0.7164384 30.99429
0.7191781 30.80286
0.7219178 30.98286
0.7246575 30.76857
0.7273973 30.89429
0.730137 31.25143
0.7328767 30.78286
0.7356164 30.82857
0.7383562 31.32286
0.7410959 30.83143
0.7438356 31.1
0.7465753 30.92286
0.7493151 31.05143
0.7520548 31.24286
0.7547945 30.76286
0.7575342 30.55429
0.760274 30.93714
0.7630137 30.47714
0.7657534 30.41714
0.7684932 30.68286
0.7712329 30.98286
0.7739726 30.48
0.7767123 30.38571
0.7794521 30.30286
0.7821918 30.57429
0.7849315 30.68286
0.7876712 30.41143
0.790411 30.31714
0.7931507 30.08
0.7958904 29.97714
0.7986301 29.93143
0.8013699 29.98857
0.8041096 30.33714
0.8068493 30.05714
0.809589 29.91714
0.8123288 29.8
0.8150685 29.76857
0.8178082 29.61429
0.8205479 29.32857
0.8232877 29.97143
0.8260274 29.80571
0.8287671 30.16857
0.8315068 29.63429
0.8342466 29.52571
0.8369863 29.42857
0.839726 29.60571
0.8424658 29.29429
0.8452055 29.26286
0.8479452 29.58571
0.8506849 29.47143
0.8534247 29.04286
0.8561644 29.02571
0.8589041 28.89714
0.8616438 28.8
0.8643836 28.80286
0.8671233 29.15429
0.869863 28.72286
0.8726027 28.72
0.8753425 28.71143
0.8780822 28.67143
0.8808219 28.58
0.8835616 28.68286
0.8863014 28.50857
0.8890411 28.32571
0.8917808 28.51143
0.8945205 28.27143
0.8972603 28.04
0.9 28.22286
0.9027397 28.00571
0.9054795 28.00857
0.9082192 28.17143
0.9109589 28.33143
0.9136986 28.21429
0.9164384 28.18857
0.9191781 27.93714
0.9219178 27.92571
0.9246575 27.58571
0.9273973 27.59714
0.930137 27.42286
0.9328767 27.62
0.9356164 27.59429
0.9383562 27.33429
0.9410959 27.16286
0.9438356 27.33143
0.9465753 27.54857
0.9493151 27.31429
0.9520548 27.36571
0.9547945 27.60286
0.9575342 27.50571
0.960274 27.35714
0.9630137 26.96571
0.9657534 26.88571
0.9684932 26.79714
0.9712329 27.20286
0.9739726 27.42
0.9767123 27.68571
0.9794521 27.61143
0.9821918 26.95714
0.9849315 26.74
0.9876712 26.97143
0.990411 26.96286
0.9931507 26.76857
0.9958904 26.95429
0.9986301 27.03429
