time temperature
0.001369863 -2.08
0.004109589 -0.8942857
0.006849315 -1.445714
0.009589041 -2.56
0.01232877 -2.114286
0.01506849 -1.845714
0.01780822 -2.605714
0.02054795 -3.66
0.02328767 -3.634286
0.0260274 -3.665714
0.02876712 -2.4
0.03150685 -1.717143
0.03424658 -0.78
0.0369863 -2.191429
0.03972603 -3.037143
0.04246575 -2.277143
0.04520548 -1.534286
0.04794521 -2.791429
0.05068493 -1.734286
0.05342466 -2.734286
0.05616438 -0.8714286
0.05890411 0.2171429
0.06164384 0.4142857
0.06438356 -0.06571429
0.06712329 -0.3371429
0.06986301 -2.014286
0.07260274 -2.811429
0.07534247 -2.082857
0.07808219 -1.891429
0.08082192 -1.565714
0.08356164 -0.6828571
0.08630137 -0.4114286
0.0890411 -1.542857
0.09178082 -1.62
0.09452055 -0.8942857
0.09726027 -0.6
0.1 -1.468571
0.1027397 -1.242857
0.1054795 -0.98
0.1082192 -1.334286
0.1109589 -0.5971429
0.1136986 -0.2228571
0.1164384 0.3771429
0.1191781 0.9857143
0.1219178 1.702857
0.1246575 0.9742857
0.1273973 1.748571
0.130137 2.237143
0.1328767 2.645714
0.1356164 2.805714
0.1383562 4.222857
0.1410959 3.442857
0.1438356 3.254286
0.1465753 2.125714
0.1493151 1.78
0.1520548 1.442857
0.1547945 2.6
0.1575342 3.46
0.160274 4.662857
0.1630137 5.594286
0.1657534 6.105714
0.1684932 5.794286
0.1712329 5.808571
0.1739726 4.557143
0.1767123 5.517143
0.1794521 5.771429
0.1821918 5.522857
0.1849315 6.325714
0.1876712 6.48
0.190411 6.645714
0.1931507 7.194286
0.1958904 6.24
0.1986301 7.528571
0.2013699 8.06
0.2041096 8.46
0.2068493 7.451429
0.209589 7.725714
0.2123288 8.394286
0.2150685 8.08
0.2178082 7.925714
0.2205479 9.714286
0.2232877 10.66857
0.2260274 10.10286
0.2287671 9.531429
0.2315068 10.63143
0.2342466 11.68
0.2369863 12.58
0.239726 11.47429
0.2424658 11.62571
0.2452055 12.91429
0.2479452 12.71143
0.2506849 11.72857
0.2534247 12.11429
0.2561644 11.93143
0.2589041 12.27714
0.2616438 14.12571
0.2643836 15.38571
0.2671233 13.94286
0.269863 13.74571
0.2726027 14.99143
0.2753425 15.79714
0.2780822 15.82
0.2808219 16.11429
0.2835616 15.76571
0.2863014 16.81143
0.2890411 17.72
0.2917808 18.39429
0.2945205 18.56857
0.2972603 17.91714
0.3 18.30286
0.3027397 19.38
0.3054795 18.57143
0.3082192 17.98
0.3109589 18.49429
0.3136986 19.72571
0.3164384 21.39429
0.3191781 20.6
0.3219178 19.38286
0.3246575 19.46286
0.3273973 19.79429
0.330137 19.13429
0.3328767 20.36286
0.3356164 20.6
0.3383562 20.77143
0.3410959 21.44571
0.3438356 21.32857
0.3465753 21.4
0.3493151 21.48
0.3520548 21.72286
0.3547945 22.47714
0.3575342 22.49143
0.360274 22.19143
0.3630137 22.51714
0.3657534 22.90571
0.3684932 22.9
0.3712329 23.81714
0.3739726 23.88857
0.3767123 23.84
0.3794521 24.35143
0.3821918 24.65143
0.3849315 24.69143
0.3876712 24.54286
0.390411 24.11143
0.3931507 23.99429
0.3958904 24
0.3986301 23.62286
0.4013699 24.30571
0.4041096 24.29143
0.4068493 24.49714
0.409589 25.50286
0.4123288 26.16286
0.4150685 25.80286
0.4178082 24.89714
0.4205479 25.42
0.4232877 26.57143
0.4260274 27.44286
0.4287671 27.68286
0.4315068 27.68286
0.4342466 27.55429
0.4369863 27.31714
0.439726 26.91143
0.4424658 27.81714
0.4452055 28.00857
0.4479452 28.52
0.4506849 28
0.4534247 26.83714
0.4561644 26.95143
0.4589041 28.32857
0.4616438 28.45429
0.4643836 28.70571
0.4671233 27.95429
0.469863 27.60571
0.4726027 28.12
0.4753425 27.84
0.4780822 27.93714
0.4808219 29.16
0.4835616 29.44286
0.4863014 29.35143
0.4890411 29.88286
0.4917808 29.67143
0.4945205 29.04571
0.4972603 29.23714
0.5 29.59143
0.5027397 28.85429
0.5054795 29.35429
0.5082192 29.12286
0.5109589 29.20286
0.5136986 29.34857
0.5164384 30.14
0.5191781 29.71143
0.5219178 30.12571
0.5246575 29.89714
0.5273973 29.93714
0.530137 29.61714
0.5328767 28.98857
0.5356164 29.34571
0.5383562 29.67143
0.5410959 30.24571
0.5438356 30.46286
0.5465753 30.45143
0.5493151 29.97143
0.5520548 29.86
0.5547945 29.79429
0.5575342 29.34
0.560274 29.98571
0.5630137 29.82286
0.5657534 29
0.5684932 28.88
0.5712329 28.84286
0.5739726 28.77714
0.5767123 28.72
0.5794521 28.66286
0.5821918 29.18
0.5849315 29.44571
0.5876712 29.20571
0.590411 28.41429
0.5931507 27.82286
0.5958904 28.25714
0.5986301 28.85714
0.6013699 28.91143
0.6041096 28.44286
0.6068493 28.11429
0.609589 27.64571
0.6123288 27.67429
0.6150685 28.27714
0.6178082 27.87714
0.6205479 28.46286
0.6232877 28.86857
0.6260274 28.80857
0.6287671 28.56286
0.6315068 28.32
0.6342466 27.88286
0.6369863 28.22
0.639726 28.16857
0.6424658 27.94
0.6452055 28.04
0.6479452 28.11714
0.6506849 28.10857
0.6534247 28.1
0.6561644 28.11714
0.6589041 28.17143
0.6616438 28.13143
0.6643836 27.27714
0.6671233 27.46571
0.669863 27.71143
0.6726027 27.00857
0.6753425 26.48857
0.6780822 26.39429
0.6808219 26.14857
0.6835616 27.82
0.6863014 27.09143
0.6890411 26.76857
0.6917808 25.85714
0.6945205 26.28857
0.6972603 26.09714
0.7 25.10571
0.7027397 24.41714
0.7054795 23.22571
0.7082192 22.75429
0.7109589 23.57429
0.7136986 24.26857
0.7164384 23.84
0.7191781 23.28286
0.7219178 22.26857
0.7246575 22.15143
0.7273973 20.86857
0.730137 20.72571
0.7328767 21.8
0.7356164 21.69429
0.7383562 21.39714
0.7410959 21.70286
0.7438356 21.54571
0.7465753 22.23143
0.7493151 22.10571
0.7520548 21.72571
0.7547945 20.99429
0.7575342 20.58857
0.760274 20.22286
0.7630137 19.24
0.7657534 20.06
0.7684932 19.56571
0.7712329 18.33714
0.7739726 17.98286
0.7767123 18.86
0.7794521 19.38
0.7821918 18.63429
0.7849315 19.63714
0.7876712 19.79714
0.790411 18.79143
0.7931507 18.86286
0.7958904 16.52286
0.7986301 15.5
0.8013699 16.25143
0.8041096 17.3
0.8068493 18.08286
0.809589 16.29143
0.8123288 15.65714
0.8150685 14.81143
0.8178082 14.58571
0.8205479 15.96857
0.8232877 15.17714
0.8260274 15.04
