time temperature
0.001369863 -1.685714
0.004109589 -1.637143
0.006849315 -1.202857
0.009589041 -1.111429
0.01232877 -0.6742857
0.01506849 -0.8828571
0.01780822 -1.331429
0.02054795 -0.7657143
0.02328767 -0.5314286
0.0260274 -0.8794118
0.02876712 -0.07428571
0.03150685 -0.7088235
0.03424658 0.2676471
0.0369863 1.014706
0.03972603 1.976471
0.04246575 1.885714
0.04520548 1.714286
0.04794521 1.3
0.05068493 0.2028571
0.05342466 0.4314286
0.05616438 0.7029412
0.05890411 0.3
0.06164384 1.02
0.06438356 0.8314286
0.06712329 1.314706
0.06986301 0.3911765
0.07260274 0.6764706
0.07534247 1.188235
0.07808219 1.214706
0.08082192 1.858824
0.08356164 1.258824
0.08630137 1.573529
0.0890411 1.182353
0.09178082 2.591176
0.09452055 2.744118
0.09726027 2.908571
0.1 2.234286
0.1027397 3.28
0.1054795 2.858824
0.1082192 2.451429
0.1109589 3.662857
0.1136986 3.72
0.1164384 3.977143
0.1191781 3.814286
0.1219178 3.485714
0.1246575 2.922857
0.1273973 3.722857
0.130137 3.434286
0.1328767 3.822857
0.1356164 4.84
0.1383562 5.117143
0.1410959 5.688571
0.1438356 5.417143
0.1465753 5.628571
0.1493151 6.102857
0.1520548 5.511429
0.1547945 5.862857
0.1575342 6.417143
0.160274 5.48
0.1630137 5.197143
0.1657534 5.005714
0.1684932 5.362857
0.1712329 5.737143
0.1739726 6.042857
0.1767123 7.854286
0.1794521 7.6
0.1821918 7.465714
0.1849315 8.148571
0.1876712 8.131429
0.190411 7.877143
0.1931507 7.88
0.1958904 8.154286
0.1986301 8
0.2013699 8.731429
0.2041096 9.117143
0.2068493 8.608571
0.209589 8.705714
0.2123288 9.565714
0.2150685 9.851429
0.2178082 10.08286
0.2205479 10.13143
0.2232877 9.094286
0.2260274 9.437143
0.2287671 10.05588
0.2315068 10.20286
0.2342466 9.534286
0.2369863 10.23429
0.239726 10.62857
0.2424658 11.36571
0.2452055 12.21429
0.2479452 12.34
0.2506849 11.58
0.2534247 12.68857
0.2561644 12.52571
0.2589041 12.63143
0.2616438 12.90286
0.2643836 13.28571
0.2671233 13.53714
0.269863 12.69714
0.2726027 13.19714
0.2753425 13.37714
0.2780822 12.83429
0.2808219 13.60286
0.2835616 14.54286
0.2863014 15.32571
0.2890411 13.98857
0.2917808 14.11143
0.2945205 13.41714
0.2972603 13.67353
0.3 13.75294
0.3027397 15.03529
