time temperature
0.001369863 -1.525714
0.004109589 -1.191429
0.006849315 -1.6
0.009589041 -2.125714
0.01232877 -1.568571
0.01506849 -1.642857
0.01780822 -3.402857
0.02054795 -3.54
0.02328767 -3.277143
0.0260274 -2.917143
0.02876712 -2.14
0.03150685 -1.777143
0.03424658 -0.7857143
0.0369863 -2.4
0.03972603 -2.9
0.04246575 -1.548571
0.04520548 -1.851429
0.04794521 -2.671429
0.05068493 -2.242857
0.05342466 -2.62
0.05616438 -0.68
0.05890411 0.7771429
0.06164384 0.48
0.06438356 -0.04571429
0.06712329 -1.314286
0.06986301 -2.654286
0.07260274 -2.397143
0.07534247 -2.182857
0.07808219 -1.474286
0.08082192 -1.725714
0.08356164 -0.9941176
0.08630137 -0.52
0.0890411 -1.845714
0.09178082 -1.9
0.09452055 -1.108571
0.09726027 -0.8942857
0.1 -2.254286
0.1027397 -1.982857
0.1054795 -1.648571
0.1082192 -1.505714
0.1109589 -0.4
0.1136986 -0.1714286
0.1164384 0.4085714
0.1191781 0.7314286
0.1219178 1.434286
0.1246575 0.9228571
0.1273973 1.191429
0.130137 2.082857
0.1328767 3.371429
0.1356164 2.78
0.1383562 3.7
0.1410959 3.522857
0.1438356 3.305714
0.1465753 1.802857
0.1493151 1.728571
0.1520548 1.065714
0.1547945 2.328571
0.1575342 3.16
0.160274 4.525714
0.1630137 5.297059
0.1657534 5.85
0.1684932 5.638235
0.1712329 5.885294
0.1739726 4.45
0.1767123 5.367647
0.1794521 5.061765
0.1821918 5.705882
0.1849315 5.841176
0.1876712 6.388235
0.190411 6.585294
0.1931507 6.823529
0.1958904 6.508824
0.1986301 7.835294
0.2013699 7.038235
0.2041096 8.6
0.2068493 7.329412
0.209589 7.935294
0.2123288 8.505882
0.2150685 7.855882
0.2178082 8.376471
0.2205479 9.708824
0.2232877 10.45882
0.2260274 9.276471
0.2287671 9.102941
0.2315068 10.54118
0.2342466 11.61471
0.2369863 12.61765
0.239726 10.46471
0.2424658 11.27941
0.2452055 12.35
0.2479452 11.91714
0.2506849 11.93143
0.2534247 12.39143
0.2561644 11.86286
0.2589041 11.45714
0.2616438 13.93714
0.2643836 15.62857
0.2671233 13.18857
0.269863 13.44857
0.2726027 14.14
0.2753425 15.01714
0.2780822 16.31143
0.2808219 15.82857
0.2835616 14.90571
0.2863014 17.22571
0.2890411 17.83714
0.2917808 19.03714
0.2945205 18.44571
0.2972603 17.12571
0.3 18.09429
0.3027397 18.16
0.3054795 18.14857
0.3082192 17.42857
0.3109589 18.00857
0.3136986 20.12571
0.3164384 21.38
0.3191781 20.09429
0.3219178 18.50571
0.3246575 20.06286
0.3273973 19.22857
0.330137 19.58
0.3328767 19.85143
0.3356164 19.98571
0.3383562 20.60286
0.3410959 21.81714
0.3438356 20.41429
0.3465753 20.86286
0.3493151 21.45714
0.3520548 21.45714
0.3547945 22.65143
0.3575342 21.88571
0.360274 22.16
0.3630137 22.20286
0.3657534 23.05429
0.3684932 23.26857
0.3712329 23.84571
0.3739726 24.09143
0.3767123 24.24571
0.3794521 24.5
0.3821918 24.97143
0.3849315 24.94
0.3876712 24.46286
0.390411 24.01714
0.3931507 23.93429
0.3958904 23.61714
0.3986301 23.93529
0.4013699 24.48286
0.4041096 24.21143
0.4068493 24.98571
0.409589 25.29429
0.4123288 25.73714
0.4150685 26.47429
0.4178082 24.60857
0.4205479 25.88571
0.4232877 26.69429
0.4260274 27.34286
0.4287671 27.76571
0.4315068 28.17143
0.4342466 27.57143
0.4369863 27.00286
0.439726 27.46286
0.4424658 28.36571
0.4452055 28.27143
0.4479452 29.13714
0.4506849 28.11429
0.4534247 26.71143
0.4561644 27.38286
0.4589041 28.70286
0.4616438 28.31429
0.4643836 28.87429
0.4671233 28.42857
0.469863 28.01714
0.4726027 28.43143
0.4753425 28.06571
0.4780822 28.60286
0.4808219 29.61143
0.4835616 29.47714
0.4863014 29.67143
0.4890411 29.88571
0.4917808 29.93429
0.4945205 29.33714
0.4972603 29.60857
0.5 29.94
0.5027397 29.72857
0.5054795 29.23714
0.5082192 29.23429
0.5109589 29.66571
0.5136986 29.91714
0.5164384 30.45143
0.5191781 29.98
0.5219178 30.36286
0.5246575 30.20571
0.5273973 30.03714
0.530137 30.17143
0.5328767 29.62
0.5356164 29.52857
0.5383562 29.69429
0.5410959 30.74571
0.5438356 30.79706
0.5465753 30.93143
0.5493151 30.27429
0.5520548 29.94571
0.5547945 29.95143
0.5575342 29.66571
0.560274 30.15714
0.5630137 30.03429
0.5657534 29.22
0.5684932 29.24571
0.5712329 29.36571
0.5739726 28.66857
0.5767123 29.00857
0.5794521 28.62941
0.5821918 29.18857
0.5849315 29.67714
0.5876712 29.39429
0.590411 28.66571
0.5931507 27.76286
0.5958904 28.17429
0.5986301 29.12571
0.6013699 29.30286
0.6041096 28.94571
0.6068493 28.02
0.609589 27.60571
0.6123288 27.80571
0.6150685 28.49429
0.6178082 27.50286
0.6205479 28.66857
0.6232877 29.08
0.6260274 29.49143
0.6287671 29.09714
0.6315068 28.43143
0.6342466 28.05429
0.6369863 28.71143
0.639726 27.86286
0.6424658 27.39714
0.6452055 28.19143
0.6479452 28.22857
0.6506849 28.26857
0.6534247 28.28571
0.6561644 28.27143
0.6589041 28.53714
0.6616438 28.03714
0.6643836 27.69714
0.6671233 27.44286
0.669863 27.64286
0.6726027 27.16857
0.6753425 26.74571
0.6780822 26.41143
0.6808219 26.38286
0.6835616 27.91143
0.6863014 26.96857
0.6890411 26.64571
0.6917808 26.09429
0.6945205 26.36857
0.6972603 26.33143
0.7 24.96
0.7027397 24.24857
0.7054795 23.34571
0.7082192 22.67143
0.7109589 23.68571
0.7136986 24.16857
0.7164384 24.11429
0.7191781 23.42571
0.7219178 22.87143
0.7246575 21.99714
0.7273973 20.46286
0.730137 21.15714
0.7328767 21.87429
0.7356164 21.38571
0.7383562 21.31429
0.7410959 21.87429
0.7438356 21.90571
0.7465753 22.08
0.7493151 21.75143
0.7520548 21.66571
0.7547945 21.04857
0.7575342 19.90571
0.760274 20.01429
0.7630137 19.00571
0.7657534 20.25429
0.7684932 19.40857
0.7712329 18.03429
0.7739726 17.92286
0.7767123 18.85429
0.7794521 18.74286
0.7821918 18.81143
0.7849315 19.59143
0.7876712 19.37429
0.790411 18.54571
0.7931507 18.41471
0.7958904 16.12857
0.7986301 15.55143
0.8013699 16.08
0.8041096 16.97429
0.8068493 17.68571
0.809589 16.05714
0.8123288 15.4
0.8150685 14.56286
0.8178082 14.9
0.8205479 15.51429
0.8232877 14.88
0.8260274 14.52
0.8287671 14.88286
0.8315068 14.66286
0.8342466 13.42286
0.8369863 12.58857
0.839726 12.42286
0.8424658 10.62571
0.8452055 10.23714
0.8479452 9.848571
0.8506849 11.13429
0.8534247 11.42286
0.8561644 11.03714
0.8589041 8.797143
0.8616438 9.157143
0.8643836 8.894286
0.8671233 9.34
0.869863 9.497143
0.8726027 9.997143
0.8753425 10.58286
0.8780822 10.38286
0.8808219 9.411429
0.8835616 8.145714
0.8863014 7.76
0.8890411 6.811429
0.8917808 7.834286
0.8945205 7.262857
0.8972603 6.791429
0.9 6.905714
0.9027397 7.711429
0.9054795 6.191429
0.9082192 3.262857
0.9109589 3.414286
0.9136986 4.331429
0.9164384 3.745714
0.9191781 4.645714
0.9219178 3.325714
0.9246575 3.16
0.9273973 4.78
0.930137 2.368571
0.9328767 2.345714
0.9356164 1.782857
0.9383562 1.385714
0.9410959 1.577143
0.9438356 0.8914286
0.9465753 1.542857
0.9493151 0.7142857
0.9520548 0.5057143
0.9547945 1
0.9575342 0.4914286
0.960274 -0.4942857
0.9630137 0.2142857
0.9657534 0.3657143
0.9684932 -0.5828571
0.9712329 -0.6
0.9739726 -0.06
0.9767123 -0.06285714
0.9794521 0.01142857
0.9821918 -1.32
0.9849315 -1.425714
0.9876712 0.03714286
0.990411 0.1742857
0.9931507 -0.4342857
0.9958904 -1.593467e-17
0.9986301 -1.431429
