time temperature
0.001369863 2.477143
0.004109589 3.082857
0.006849315 4.605714
0.009589041 3.585714
0.01232877 2.265714
0.01506849 3.462857
0.01780822 2.934286
0.02054795 1.394286
0.02328767 1.922857
0.0260274 1.082857
0.02876712 2.551429
0.03150685 2.82
0.03424658 3.731429
0.0369863 2.877143
0.03972603 2.574286
0.04246575 3.174286
0.04520548 2.945714
0.04794521 2.874286
0.05068493 3.054286
0.05342466 1.977143
0.05616438 2.591429
0.05890411 4.785714
0.06164384 5.877143
0.06438356 5.414286
0.06712329 5.885714
0.06986301 3.72
0.07260274 3.348571
0.07534247 3.474286
0.07808219 3.574286
0.08082192 3.74
0.08356164 3.797143
0.08630137 4.94
0.0890411 4.974286
0.09178082 3.762857
0.09452055 4.362857
0.09726027 5.517143
0.1 4.122857
0.1027397 3.094286
0.1054795 2.768571
0.1082192 3.305714
0.1109589 5.568571
0.1136986 5.714706
0.1164384 5.145714
0.1191781 5.665714
0.1219178 7.148571
0.1246575 6.405714
0.1273973 6.314286
0.130137 6.485714
0.1328767 8.794286
0.1356164 8.405714
0.1383562 8.071429
0.1410959 8.942857
0.1438356 8.828571
0.1465753 8.085714
0.1493151 7.217143
0.1520548 6.362857
0.1547945 6.897143
0.1575342 7.442857
0.160274 9.202857
0.1630137 9.142857
0.1657534 11.18857
0.1684932 10.74571
0.1712329 10.66857
0.1739726 10.15429
0.1767123 10.50857
0.1794521 9.845714
0.1821918 10.54571
0.1849315 11.00286
0.1876712 10.20857
0.190411 11.47429
0.1931507 11.99429
0.1958904 11.40857
0.1986301 11.30571
0.2013699 12.44571
0.2041096 12.20857
0.2068493 12.24286
0.209589 12.71714
0.2123288 12.76571
0.2150685 13.23714
0.2178082 11.79143
0.2205479 12.66857
0.2232877 14.13714
0.2260274 12.67143
0.2287671 12.74857
0.2315068 13.88286
0.2342466 14.67429
0.2369863 17.69429
0.239726 16.71143
0.2424658 14.88857
0.2452055 15.16176
0.2479452 17.22941
0.2506849 16.53529
0.2534247 16.32353
0.2561644 14.98485
0.2589041 14.48529
0.2616438 15.55294
0.2643836 18.06765
0.2671233 16.87647
0.269863 16.46765
0.2726027 16.78235
0.2753425 18.86176
0.2780822 19.72353
0.2808219 19.28235
0.2835616 19.02353
0.2863014 18.55588
0.2890411 19.20588
0.2917808 21.00588
0.2945205 21.76471
0.2972603 20.52353
0.3 21.75588
0.3027397 20.68235
0.3054795 21.7
0.3082192 20.96765
0.3109589 20.70294
0.3136986 21.15
0.3164384 22.4
0.3191781 22.12647
0.3219178 21.42059
0.3246575 20.91176
0.3273973 21.80882
0.330137 21.28286
0.3328767 21.74571
0.3356164 20.79143
0.3383562 21.83714
0.3410959 23.43714
0.3438356 23.12857
0.3465753 22.84
0.3493151 23.39429
0.3520548 22.98
0.3547945 23.12571
0.3575342 23.87714
0.360274 23.13143
0.3630137 24.26857
0.3657534 24.40286
0.3684932 24.46
0.3712329 24.64857
0.3739726 24.76857
0.3767123 25.22
0.3794521 25.38571
0.3821918 26.15429
0.3849315 26.28571
0.3876712 25.84
0.390411 25.40857
0.3931507 25.76571
0.3958904 26.00571
0.3986301 25.91429
0.4013699 25.54
0.4041096 26.56571
0.4068493 26.54286
0.409589 26.21429
0.4123288 26.44286
0.4150685 27.45714
0.4178082 27.06286
0.4205479 27.11471
0.4232877 27.12
0.4260274 28.13714
0.4287671 29.11429
0.4315068 29.23143
0.4342466 29.52857
0.4369863 29.22571
0.439726 28.92286
0.4424658 29.47429
0.4452055 29.7
0.4479452 29.94
0.4506849 30.24571
0.4534247 29.84286
0.4561644 28.65429
0.4589041 29.31765
0.4616438 30.12857
0.4643836 30.41429
0.4671233 30.16286
0.469863 29.71143
0.4726027 29.94857
0.4753425 29.98286
0.4780822 30.08
0.4808219 30.27714
0.4835616 30.53143
0.4863014 30.51714
0.4890411 30.95429
0.4917808 30.99714
0.4945205 31.56286
0.4972603 31.34571
0.5 31.39714
0.5027397 30.47143
0.5054795 31.2
0.5082192 30.54857
0.5109589 30.76857
0.5136986 31.11714
0.5164384 31.04286
0.5191781 31.86
0.5219178 31.22857
0.5246575 30.95714
0.5273973 31.27353
0.530137 31.17429
0.5328767 31.58571
0.5356164 31.34286
0.5383562 31.11714
0.5410959 31.56857
0.5438356 31.84571
0.5465753 31.74857
0.5493151 31.64857
0.5520548 31.01143
0.5547945 30.87143
0.5575342 31.39143
0.560274 31.02
0.5630137 31.38
0.5657534 31.34857
0.5684932 30.83714
0.5712329 30.66571
0.5739726 30.55429
0.5767123 30.47714
0.5794521 30.30882
0.5821918 30.22
0.5849315 30.82286
0.5876712 30.92857
0.590411 30.58571
0.5931507 29.91143
0.5958904 30.06286
0.5986301 30.34571
0.6013699 31.03714
0.6041096 30.87714
0.6068493 30.19143
0.609589 29.62
0.6123288 29.3
0.6150685 30.01429
0.6178082 30.22857
0.6205479 30.01143
0.6232877 30.04857
0.6260274 30.6
0.6287671 31.14571
0.6315068 30.87714
0.6342466 30.4
0.6369863 30.1
0.639726 30.07429
0.6424658 29.87429
0.6452055 29.93143
0.6479452 30.41714
0.6506849 30.6
0.6534247 30.44286
0.6561644 29.81143
0.6589041 29.56286
0.6616438 30.04286
0.6643836 29.88857
0.6671233 28.95143
0.669863 29.50571
0.6726027 28.83143
0.6753425 28.73429
0.6780822 28.34
0.6808219 29.26
0.6835616 29.59714
0.6863014 29.05714
0.6890411 29.51714
0.6917808 28.30286
0.6945205 27.90286
0.6972603 27.86
0.7 28.82571
0.7027397 27.68571
0.7054795 26.78
0.7082192 26.24
0.7109589 27.14286
0.7136986 26.34857
0.7164384 26.66
0.7191781 26.66
0.7219178 25.84286
0.7246575 25.10857
0.7273973 24.09429
0.730137 24.31143
0.7328767 24.44286
0.7356164 24.01143
0.7383562 23.59714
0.7410959 24.17143
0.7438356 24.51714
0.7465753 24.99143
0.7493151 24.50882
0.7520548 22.95294
0.7547945 23.62059
0.7575342 23.10882
0.760274 22.76471
0.7630137 21.76765
0.7657534 21.06176
0.7684932 22.92059
0.7712329 22.41765
0.7739726 21.10882
0.7767123 21.58529
0.7794521 22.50294
0.7821918 21.63824
0.7849315 22.10882
0.7876712 21.94412
0.790411 21.47059
0.7931507 20.83824
0.7958904 19.03529
0.7986301 17.85882
0.8013699 18.67941
0.8041096 19.66471
0.8068493 20.19706
0.809589 18.81471
0.8123288 18.03529
0.8150685 18.20588
0.8178082 17.84118
0.8205479 18.27647
0.8232877 18.40882
0.8260274 17.26765
0.8287671 17.79412
0.8315068 18.99412
0.8342466 18.97647
0.8369863 16.85882
0.839726 16.26765
0.8424658 14.36765
0.8452055 14.04118
0.8479452 12.89412
0.8506849 13.51765
0.8534247 14.45588
0.8561644 14.91471
0.8589041 13.00588
0.8616438 12.91176
0.8643836 12.94118
0.8671233 13.16765
0.869863 13.69706
0.8726027 13.13824
0.8753425 13.51176
0.8780822 13.67059
0.8808219 12.43529
0.8835616 12.67941
0.8863014 11.76176
0.8890411 11.20588
0.8917808 10.95294
0.8945205 10.86765
0.8972603 9.261765
0.9 11.28235
0.9027397 11.43529
0.9054795 11.92059
0.9082192 9.085294
0.9109589 8.791176
0.9136986 8.982353
0.9164384 8.257143
0.9191781 8.771429
0.9219178 9.125714
0.9246575 7.857143
0.9273973 9.288571
0.930137 8.045714
0.9328767 7.365714
0.9356164 6.825714
0.9383562 6.562857
0.9410959 6.408571
0.9438356 6.328571
0.9465753 6.56
0.9493151 6.077143
0.9520548 6.654286
0.9547945 5.805714
0.9575342 4.28
0.960274 4.528571
0.9630137 4.145714
0.9657534 5.751429
0.9684932 5.528571
0.9712329 3.554286
0.9739726 4.731429
0.9767123 4.76
0.9794521 4.074286
0.9821918 3.174286
0.9849315 4.1
0.9876712 4.22
0.990411 5.145714
0.9931507 4.202857
0.9958904 4.968571
0.9986301 4.28
