time temperature
0.001369863 2.373529
0.004109589 2.854286
0.006849315 2.168571
0.009589041 1.674286
0.01232877 2.325714
0.01506849 1.637143
0.01780822 1.317143
0.02054795 1.18
0.02328767 1.051429
0.0260274 1.685714
0.02876712 1.731429
0.03150685 2.92
0.03424658 4.108571
0.0369863 4.171429
0.03972603 3.297143
0.04246575 3.597143
0.04520548 4.031429
0.04794521 2.954286
0.05068493 3.088235
0.05342466 2.74
0.05616438 4.137143
0.05890411 5.288571
0.06164384 4.614286
0.06438356 5.648571
0.06712329 4.232353
0.06986301 4.520588
0.07260274 3.442857
0.07534247 4.908571
0.07808219 4.755882
0.08082192 5.068571
0.08356164 6.177143
0.08630137 5.334286
0.0890411 3.945714
0.09178082 4.38
0.09452055 4.302857
0.09726027 4.474286
0.1 4.297059
0.1027397 4.3
0.1054795 3.526471
0.1082192 4.591176
0.1109589 6.477143
0.1136986 6.191429
0.1164384 6.68
0.1191781 7.674286
0.1219178 5.565714
0.1246575 6.008571
0.1273973 6.997143
0.130137 8.577143
0.1328767 7.588571
0.1356164 8.905882
0.1383562 8.808571
0.1410959 7.474286
0.1438356 7.737143
0.1465753 7.062857
0.1493151 7.674286
0.1520548 8.234286
0.1547945 9.365714
0.1575342 10.63429
0.160274 9.98
0.1630137 11.11143
0.1657534 10.90286
0.1684932 9.651429
0.1712329 7.802857
0.1739726 9.077143
0.1767123 10.87429
0.1794521 10.30294
0.1821918 10.86857
0.1849315 12.82571
0.1876712 12.16
0.190411 12.83143
0.1931507 11.88286
0.1958904 11.89143
0.1986301 13.85143
0.2013699 12.60286
0.2041096 12.78857
0.2068493 13.74571
0.209589 13.24571
0.2123288 13.93714
0.2150685 14.05143
0.2178082 14.17143
0.2205479 15.07714
0.2232877 13.31143
0.2260274 12.82
0.2287671 13.91765
0.2315068 16.15429
0.2342466 17.41143
0.2369863 16.53429
0.239726 14.07143
0.2424658 15.18
0.2452055 17.28
0.2479452 16.30588
0.2506849 16.62571
0.2534247 16.46571
0.2561644 15.39714
0.2589041 17.01429
0.2616438 19.06286
0.2643836 19.96857
0.2671233 18.01429
0.269863 18.43235
0.2726027 19.16857
0.2753425 19.20286
0.2780822 18.68571
0.2808219 18.03429
0.2835616 19.31429
0.2863014 20.71429
0.2890411 21.69143
0.2917808 21.04
0.2945205 19.94857
0.2972603 20.13429
0.3 20.92286
0.3027397 20.67714
0.3054795 21.51143
0.3082192 22.78286
0.3109589 22.45429
0.3136986 21.90571
0.3164384 21.78286
0.3191781 19.66857
0.3219178 20.08857
0.3246575 21.19143
0.3273973 20.94
0.330137 21.03143
0.3328767 21.86
0.3356164 22.25429
0.3383562 22.87647
0.3410959 23.2
0.3438356 23.51471
0.3465753 23.81429
0.3493151 24.31429
0.3520548 23.79429
0.3547945 24.24
0.3575342 24.76571
0.360274 24.36857
0.3630137 23.91429
0.3657534 24.55429
0.3684932 25.80286
0.3712329 24.92
0.3739726 25.01765
0.3767123 25.63143
0.3794521 25.60857
0.3821918 25.07429
0.3849315 25.46
0.3876712 25.83429
0.390411 25.40857
0.3931507 26.45143
0.3958904 26.26
0.3986301 25.80857
0.4013699 25.84857
0.4041096 26.79143
0.4068493 26.41143
0.409589 26.72
0.4123288 26.05294
0.4150685 26.44857
0.4178082 26.07143
0.4205479 26.94857
0.4232877 28.47429
0.4260274 29.20571
0.4287671 29.36857
0.4315068 30.01143
0.4342466 29.16
0.4369863 28.36571
0.439726 28.11714
0.4424658 29.69714
0.4452055 30.58286
0.4479452 31.23429
0.4506849 30.94857
0.4534247 30.38286
0.4561644 30.51714
0.4589041 30.26571
0.4616438 31.15429
0.4643836 32.14571
0.4671233 31.89714
0.469863 31.28857
0.4726027 31.11714
0.4753425 31.30286
0.4780822 32.02571
0.4808219 33.06
0.4835616 32.54
0.4863014 32.79714
0.4890411 34.46
0.4917808 34.57714
0.4945205 33.67647
0.4972603 33.54
0.5 33.47143
0.5027397 34.30286
0.5054795 34.36286
0.5082192 34.08571
0.5109589 33.92286
0.5136986 33.93714
0.5164384 34.98286
0.5191781 34.03429
0.5219178 34.16286
0.5246575 33.73143
0.5273973 34.58
0.530137 33.96857
0.5328767 34.71143
0.5356164 33.53714
0.5383562 33.68571
0.5410959 34.27143
0.5438356 35.17714
0.5465753 34.68286
0.5493151 33.14571
0.5520548 33.07714
0.5547945 33.50857
0.5575342 34.22857
0.560274 33.93429
0.5630137 33.1
0.5657534 33.68286
0.5684932 33.34857
0.5712329 33.21143
0.5739726 33.42286
0.5767123 34.63714
0.5794521 33.61429
0.5821918 33.19429
0.5849315 34.09429
0.5876712 33.16286
0.590411 33.67714
0.5931507 32.99714
0.5958904 33.82
0.5986301 33.96571
0.6013699 33.95588
0.6041096 33.54857
0.6068493 32.35143
0.609589 32.15714
0.6123288 32.69429
0.6150685 31.99143
0.6178082 30.63429
0.6205479 31.63429
0.6232877 32.7
0.6260274 33.36571
0.6287671 32.68
0.6315068 32.25429
0.6342466 31.87143
0.6369863 32.06571
0.639726 32.07429
0.6424658 31.85714
0.6452055 31.34571
0.6479452 32.55429
0.6506849 32.33529
0.6534247 31.44
0.6561644 31.56
0.6589041 32.02571
0.6616438 31.69143
0.6643836 31.00294
0.6671233 30.38571
0.669863 30.71714
0.6726027 30.89714
0.6753425 30.05429
0.6780822 30.14857
0.6808219 31.22857
0.6835616 30.64
0.6863014 30.25143
0.6890411 29.87429
0.6917808 29.74
0.6945205 29.53429
0.6972603 28.23429
0.7 26.32857
0.7027397 25.82571
0.7054795 25.95714
0.7082192 25.43235
0.7109589 26.15714
0.7136986 27.20857
0.7164384 27.19429
0.7191781 25.76
0.7219178 25.74857
0.7246575 24.57143
0.7273973 23.7
0.730137 24.19143
0.7328767 25.94
0.7356164 25.61714
0.7383562 25.45143
0.7410959 24.78571
0.7438356 25
0.7465753 25.23714
0.7493151 25.98286
0.7520548 25.32
0.7547945 24.12857
0.7575342 24.69143
0.760274 24.15429
0.7630137 23.07143
0.7657534 23.92857
0.7684932 23.23529
0.7712329 21.01429
0.7739726 22.49143
0.7767123 23.45143
0.7794521 22.54857
0.7821918 22.84
0.7849315 22.86571
0.7876712 21.25143
0.790411 21.05429
0.7931507 20.47714
0.7958904 18.28857
0.7986301 18.92857
0.8013699 20.69714
0.8041096 21.55429
0.8068493 21.12
0.809589 19.10571
0.8123288 18.30857
0.8150685 18.33143
0.8178082 19.77714
0.8205479 19.52286
0.8232877 17.38
0.8260274 16.49714
0.8287671 16.17143
0.8315068 16.48286
0.8342466 15.27429
0.8369863 14.68571
0.839726 13.92286
0.8424658 13.32571
0.8452055 13.97429
0.8479452 14.38
0.8506849 15.91714
0.8534247 14.41143
0.8561644 13.06857
0.8589041 13.29429
