time temperature
0.001369863 6.32
0.004109589 5.525714
0.006849315 5.822857
0.009589041 6.085714
0.01232877 5.588571
0.01506849 4.62
0.01780822 5.808571
0.02054795 4.228571
0.02328767 4.022857
0.0260274 4.008571
0.02876712 3.782857
0.03150685 4.734286
0.03424658 5.071429
0.0369863 5.442857
0.03972603 5.188571
0.04246575 4.322857
0.04520548 5.174286
0.04794521 5.708571
0.05068493 4.302857
0.05342466 3.934286
0.05616438 4.037143
0.05890411 6.328571
0.06164384 6.86
0.06438356 7.408571
0.06712329 6.588235
0.06986301 7.997143
0.07260274 5.582857
0.07534247 5.457143
0.07808219 6.845714
0.08082192 5.444118
0.08356164 5.808571
0.08630137 6.688571
0.0890411 7.605714
0.09178082 6.211429
0.09452055 6.557143
0.09726027 7.694118
0.1 7.838235
0.1027397 5.102857
0.1054795 4.762857
0.1082192 5.282857
0.1109589 5.232353
0.1136986 7.02
0.1164384 7.531429
0.1191781 5.879412
0.1219178 6.257143
0.1246575 7.651429
0.1273973 8.58
0.130137 8.577143
0.1328767 9.182857
0.1356164 9.917143
0.1383562 8.665714
0.1410959 9.117143
0.1438356 10.84286
0.1465753 10.82857
0.1493151 9.894286
0.1520548 9.274286
0.1547945 7.897143
0.1575342 8.54
0.160274 9.265714
0.1630137 10.83529
0.1657534 11.30286
0.1684932 12.12857
0.1712329 12.33714
0.1739726 13.73429
0.1767123 11.98286
0.1794521 11.68857
0.1821918 12.46286
0.1849315 12.79429
0.1876712 11.96857
0.190411 12.87143
0.1931507 13.41714
0.1958904 13.92286
0.1986301 13.22
0.2013699 12.89143
0.2041096 13.42857
0.2068493 12.62286
0.209589 14.18857
0.2123288 14.34286
0.2150685 13.61429
0.2178082 14.19143
0.2205479 12.86286
0.2232877 13.58857
0.2260274 15.38857
0.2287671 15.76176
0.2315068 15.11429
0.2342466 16.22353
0.2369863 16.82857
0.239726 18.33143
0.2424658 17.05429
0.2452055 16.73429
0.2479452 16.68286
0.2506849 16.94857
0.2534247 18.25143
0.2561644 16.98571
0.2589041 17.12286
0.2616438 16.76571
0.2643836 17.24857
0.2671233 17.40286
0.269863 18.26286
0.2726027 16.44
0.2753425 18.84286
0.2780822 19.92
0.2808219 19.93714
0.2835616 20.49429
0.2863014 21.28286
0.2890411 19.73429
0.2917808 20.49143
0.2945205 21.63714
0.2972603 22.75429
0.3 22.98571
0.3027397 22.54857
0.3054795 21.62
0.3082192 22.57429
0.3109589 21.84571
0.3136986 21.98571
0.3164384 22.36286
0.3191781 22.41429
0.3219178 22.58857
0.3246575 22.58571
0.3273973 22.12857
0.330137 24.18
0.3328767 21.96571
0.3356164 22.21714
0.3383562 21.56
0.3410959 22.43143
0.3438356 23.30571
0.3465753 23.65143
0.3493151 23.99429
0.3520548 22.68
0.3547945 22.47143
0.3575342 23.84
0.360274 24.78
0.3630137 24.05714
0.3657534 24.77714
0.3684932 25.59429
0.3712329 24.72857
0.3739726 24.98
0.3767123 25.54
0.3794521 24.82857
0.3821918 25.00286
0.3849315 25.52286
0.3876712 26.22
0.390411 26.14
0.3931507 26.25143
0.3958904 26.20286
0.3986301 25.88571
0.4013699 25.41714
0.4041096 25.92571
0.4068493 26.27429
0.409589 26.06571
0.4123288 26.55143
0.4150685 27.16857
0.4178082 27.02
0.4205479 26.73143
0.4232877 27.11143
0.4260274 27.32
0.4287671 28.01429
0.4315068 28.18
0.4342466 28.63429
0.4369863 29.20286
0.439726 28.73143
0.4424658 28.29714
