time temperature
0.001369863 13.63714
0.004109589 12.46857
0.006849315 12.98571
0.009589041 12.95429
0.01232877 12.06571
0.01506849 12.76
0.01780822 14.63714
0.02054795 13.42857
0.02328767 12.24857
0.0260274 12.37714
0.02876712 12.74
0.03150685 11.89429
0.03424658 11.94857
0.0369863 13.73429
0.03972603 13.55429
0.04246575 14.02857
0.04520548 14.38286
0.04794521 14.68857
0.05068493 13.52286
0.05342466 12.98
0.05616438 13.53714
0.05890411 14.31429
0.06164384 15.11429
0.06438356 15.52
0.06712329 16.38571
0.06986301 15.75714
0.07260274 15.6
0.07534247 16.1
0.07808219 16.18571
0.08082192 16.68286
0.08356164 16.50857
0.08630137 16.10857
0.0890411 15.55429
0.09178082 14.92571
0.09452055 15.46
0.09726027 14.59143
0.1 14.88571
0.1027397 13.97714
0.1054795 14.11143
0.1082192 16.13143
0.1109589 16.18286
0.1136986 17.26857
0.1164384 16.28571
0.1191781 16.54857
0.1219178 18.27429
0.1246575 18.23714
0.1273973 17.71143
0.130137 16.96857
0.1328767 17.26571
0.1356164 17.24286
0.1383562 17.96571
0.1410959 19.27143
0.1438356 18.11143
0.1465753 18.07714
0.1493151 18.94
0.1520548 18.85714
0.1547945 19
0.1575342 18.30286
0.160274 18.18824
0.1630137 19.06
0.1657534 18.89429
0.1684932 19.56471
0.1712329 19.57143
0.1739726 19.68286
0.1767123 19.13143
0.1794521 19.50857
0.1821918 21.03429
0.1849315 20.82571
0.1876712 20.68
0.190411 21.37429
0.1931507 21.03429
0.1958904 21.26857
0.1986301 21.92857
0.2013699 21.12857
0.2041096 22.04571
0.2068493 21.56571
0.209589 22.96857
0.2123288 23.47714
0.2150685 22.28857
0.2178082 21.68286
0.2205479 21
0.2232877 22.82286
0.2260274 21.89143
0.2287671 21.08286
0.2315068 21.32
0.2342466 23.16857
0.2369863 23.72857
0.239726 24.06857
0.2424658 22.91143
0.2452055 23.68571
0.2479452 24.04857
0.2506849 25.15143
0.2534247 24.37714
0.2561644 24.39143
0.2589041 23.19429
0.2616438 23.67941
0.2643836 24.52941
0.2671233 24.80571
0.269863 25.14
0.2726027 24.62571
0.2753425 24.98286
0.2780822 25.23143
0.2808219 25.96857
0.2835616 26.56
0.2863014 25.57714
0.2890411 26.28286
0.2917808 26.59714
