time temperature
0.001369863 4.508571
0.004109589 4.791429
0.006849315 3.568571
0.009589041 3.002857
0.01232877 3.145714
0.01506849 2.42
0.01780822 3.097143
0.02054795 3.311429
0.02328767 2.5
0.0260274 1.522857
0.02876712 1.422857
0.03150685 1.414286
0.03424658 2.494286
0.0369863 3.077143
0.03972603 2.605714
0.04246575 1.685714
0.04520548 1.545714
0.04794521 1.637143
0.05068493 1.897143
0.05342466 2.722857
0.05616438 2.017143
0.05890411 2.094286
0.06164384 3.325714
0.06438356 4.588571
0.06712329 3.711429
0.06986301 4.648571
0.07260274 4.785714
0.07534247 3.745714
0.07808219 2.711429
0.08082192 3.171429
0.08356164 2.491429
0.08630137 1.794286
0.0890411 3.477143
0.09178082 5.04
0.09452055 3.854286
0.09726027 3.102857
0.1 1.445714
0.1027397 2.048571
0.1054795 2.205714
0.1082192 2.72
0.1109589 2.777143
0.1136986 2.845714
0.1164384 3.154286
0.1191781 3.028571
0.1219178 4.208571
0.1246575 3.902857
0.1273973 4.605714
0.130137 4.811429
0.1328767 3.837143
0.1356164 4.474286
0.1383562 6.237143
0.1410959 5.762857
0.1438356 5.857143
0.1465753 5.537143
0.1493151 4.642857
0.1520548 4.58
0.1547945 4.528571
0.1575342 3.391429
0.160274 4.811429
0.1630137 5.802857
0.1657534 5.765714
0.1684932 6.145714
0.1712329 6.057143
0.1739726 7.014286
0.1767123 6.725714
0.1794521 6.742857
0.1821918 6.942857
0.1849315 6.042857
0.1876712 6.294286
0.190411 6.248571
0.1931507 7.217143
0.1958904 7.188571
0.1986301 7.311429
0.2013699 7.731429
0.2041096 7.948571
0.2068493 8.957143
0.209589 7.585714
0.2123288 6.697143
0.2150685 7.794286
0.2178082 8.2
0.2205479 7.614286
0.2232877 7.98
0.2260274 9.251429
0.2287671 10.55143
0.2315068 10.37714
0.2342466 10.68571
0.2369863 10.79429
0.239726 11.08
0.2424658 11.71429
0.2452055 10.30571
0.2479452 9.857143
0.2506849 11.07143
0.2534247 12.25143
0.2561644 12.47714
0.2589041 12.31429
0.2616438 13.08286
0.2643836 11.71143
0.2671233 11.33714
0.269863 10.87714
0.2726027 11.96571
0.2753425 12.61714
0.2780822 11.82
0.2808219 12.20857
0.2835616 12.38286
0.2863014 13.84
0.2890411 13.74857
0.2917808 13.44
0.2945205 15.32857
0.2972603 15.36571
0.3 14.03429
0.3027397 14.16286
0.3054795 15.07714
0.3082192 15.04286
0.3109589 14.84
0.3136986 14.46286
0.3164384 14.07143
0.3191781 15.52571
0.3219178 15.30857
0.3246575 15.58
0.3273973 15.54571
0.330137 16.57429
0.3328767 17.79429
0.3356164 16.62286
0.3383562 18.07714
0.3410959 16.61714
0.3438356 16.82571
0.3465753 17.33714
0.3493151 17.32
0.3520548 18.16
0.3547945 18.52286
0.3575342 18.83714
0.360274 18.77714
0.3630137 19.36857
0.3657534 19.22286
0.3684932 18.68571
0.3712329 19.64571
0.3739726 19.84857
0.3767123 20.01143
0.3794521 19.13429
0.3821918 18.92286
0.3849315 20.97143
0.3876712 21.46571
0.390411 21.63143
0.3931507 21.39429
0.3958904 20.72857
0.3986301 20.22286
0.4013699 20.24
0.4041096 22.09429
0.4068493 22.62857
0.409589 22.24
0.4123288 22.69429
0.4150685 23.3
