time temperature
0.001369863 -10.28857
0.004109589 -9.394286
0.006849315 -9.74
0.009589041 -10.97714
0.01232877 -10.81429
0.01506849 -11.21143
0.01780822 -11.61143
0.02054795 -11.95714
0.02328767 -12.18
0.0260274 -13.23714
0.02876712 -12.08286
0.03150685 -10.34286
0.03424658 -9.528571
0.0369863 -10.60286
0.03972603 -12.34571
0.04246575 -10.87143
0.04520548 -9.477143
0.04794521 -10.08571
0.05068493 -10.68
0.05342466 -9.84
0.05616438 -7.414286
0.05890411 -7.377143
0.06164384 -8.462857
0.06438356 -10.01714
0.06712329 -10.51765
0.06986301 -10.66765
0.07260274 -11.26061
0.07534247 -10.17941
0.07808219 -10.03529
0.08082192 -10.02286
0.08356164 -8.611429
0.08630137 -9.731429
0.0890411 -9.991429
0.09178082 -9.937143
0.09452055 -9.38
0.09726027 -9.034286
0.1 -8.391429
0.1027397 -8.442857
0.1054795 -9.162857
0.1082192 -6.954286
0.1109589 -7.122857
0.1136986 -8.14
0.1164384 -6.248571
0.1191781 -5.828571
0.1219178 -6.328571
0.1246575 -7.108571
0.1273973 -6.6
0.130137 -5.171429
0.1328767 -5.974286
0.1356164 -6.005714
0.1383562 -4.842857
0.1410959 -4.288571
0.1438356 -4.331429
0.1465753 -4.365714
0.1493151 -5.568571
0.1520548 -4.048571
0.1547945 -2.937143
0.1575342 -3.394286
0.160274 -3.202857
0.1630137 -3.134286
0.1657534 -2.974286
0.1684932 -2.645714
0.1712329 -2.577143
0.1739726 -1.8
0.1767123 -1.52
0.1794521 -2.274286
0.1821918 -1.945714
0.1849315 -1.323529
0.1876712 0.3
0.190411 0.3171429
0.1931507 0.3705882
0.1958904 0.5114286
0.1986301 1.32
0.2013699 1.34
0.2041096 1.2
0.2068493 0.6714286
0.209589 1.432353
0.2123288 2.334286
0.2150685 2.305714
0.2178082 2.347059
0.2205479 3.029412
0.2232877 1.676471
0.2260274 3.662857
0.2287671 3.334286
0.2315068 2.977143
0.2342466 4.648571
0.2369863 3.837143
0.239726 3.971429
0.2424658 4.922857
0.2452055 6.014286
0.2479452 5.617143
0.2506849 5.457143
0.2534247 5.682857
0.2561644 5.774286
0.2589041 7.44
0.2616438 8.337143
0.2643836 8.52
0.2671233 8.374286
0.269863 8.334286
0.2726027 8.882857
0.2753425 9.471429
0.2780822 10.25714
0.2808219 10.22647
0.2835616 11.23529
0.2863014 12.47059
0.2890411 13.20294
0.2917808 13.48824
0.2945205 12.35588
0.2972603 13
0.3 13.09412
0.3027397 13.64118
0.3054795 13.26765
0.3082192 13.17353
0.3109589 15.49412
0.3136986 16.16176
0.3164384 15.43429
0.3191781 13.89143
0.3219178 13.54857
0.3246575 13.97143
0.3273973 13.91429
0.330137 14.22
0.3328767 16.3
0.3356164 16.32941
0.3383562 18.12571
0.3410959 17.52353
0.3438356 17.64571
0.3465753 17.66765
0.3493151 18.6
0.3520548 17.65429
0.3547945 18.24286
0.3575342 17.28571
0.360274 17.87429
0.3630137 18.38286
0.3657534 20.11143
0.3684932 20.73143
0.3712329 20.07429
0.3739726 20.92
0.3767123 21.40857
0.3794521 20.49429
0.3821918 19.46
0.3849315 21.15429
0.3876712 22.17941
0.390411 21.58857
0.3931507 21.22571
0.3958904 22.10294
0.3986301 21.42353
0.4013699 22.25429
0.4041096 22.83714
0.4068493 22.16
0.409589 22.37429
0.4123288 22.50588
0.4150685 22.06857
0.4178082 22.58571
0.4205479 24.05294
0.4232877 24.10294
0.4260274 23.78235
0.4287671 23.68788
0.4315068 23.52941
0.4342466 23.33529
0.4369863 22.79412
0.439726 23.27353
0.4424658 23.8697
0.4452055 24.63714
0.4479452 23.74412
0.4506849 23.55429
0.4534247 21.91429
0.4561644 22.80857
0.4589041 23.49714
0.4616438 23.52286
0.4643836 24.15294
0.4671233 23.49118
0.469863 23.96176
0.4726027 24.21143
0.4753425 24.21176
0.4780822 24.63429
0.4808219 25.81429
0.4835616 25.65143
0.4863014 25.62
0.4890411 25.96571
0.4917808 25.6
0.4945205 25.18857
0.4972603 25.02857
0.5 25.15714
0.5027397 25.06286
0.5054795 25.42059
