time temperature
0.001369863 0.8242424
0.004109589 1.48
0.006849315 0.78
0.009589041 0.6171429
0.01232877 -0.18
0.01506849 1.170588
0.01780822 0.8
0.02054795 -0.2771429
0.02328767 -0.8971429
0.0260274 -1.305714
0.02876712 -0.4514286
0.03150685 0.5542857
0.03424658 1.062857
0.0369863 0.8028571
0.03972603 -1.031429
0.04246575 0.5314286
0.04520548 1.245714
0.04794521 -0.2485714
0.05068493 -0.8057143
0.05342466 0.6685714
0.05616438 0.76
0.05890411 2.245714
0.06164384 2.16
0.06438356 3.982857
0.06712329 3.248571
0.06986301 0.9657143
0.07260274 0.4542857
0.07534247 1.731429
0.07808219 1.348571
0.08082192 1.488571
0.08356164 2.074286
0.08630137 2.72
0.0890411 1.86
0.09178082 0.9657143
0.09452055 2.522857
0.09726027 2.517143
0.1 0.5771429
0.1027397 -0.02857143
0.1054795 0.7628571
0.1082192 1.177143
0.1109589 1.914286
0.1136986 3.548571
0.1164384 3.462857
0.1191781 3.457143
0.1219178 4.357143
0.1246575 4.751429
0.1273973 3.794286
0.130137 5.32
0.1328767 6.117647
0.1356164 6.017647
0.1383562 5.431429
0.1410959 5.697143
0.1438356 6.148571
0.1465753 5.837143
0.1493151 4.477143
0.1520548 4.294286
0.1547945 4.505714
0.1575342 5.288571
0.160274 6.66
0.1630137 7.602857
0.1657534 8.685714
0.1684932 9.588571
0.1712329 7.931429
0.1739726 6.771429
0.1767123 7.825714
0.1794521 8.651429
0.1821918 7.665714
0.1849315 8.388571
0.1876712 9.26
0.190411 9.529412
0.1931507 9.651429
0.1958904 9.385714
0.1986301 9.642857
0.2013699 10.66571
0.2041096 10.99143
0.2068493 11.14706
0.209589 10.56471
0.2123288 10.16857
0.2150685 10.52857
0.2178082 10.82
0.2205479 11.61714
0.2232877 11.99429
0.2260274 11.76176
0.2287671 10.59706
0.2315068 11.52
0.2342466 13.68235
0.2369863 14.55714
0.239726 14.92286
0.2424658 13.56
0.2452055 14.29429
0.2479452 14.60294
0.2506849 14.28235
0.2534247 13.8
0.2561644 13.19412
0.2589041 14.16765
0.2616438 16.58824
0.2643836 16.39118
0.2671233 17.58235
0.269863 15.45
0.2726027 15.74118
0.2753425 16.75294
0.2780822 17.80882
0.2808219 17.47353
0.2835616 18.2
0.2863014 17.41765
0.2890411 18.67059
0.2917808 20.50588
0.2945205 19.39118
0.2972603 20.04706
0.3 19.70588
0.3027397 20.86471
0.3054795 19.45588
0.3082192 19.02647
0.3109589 19.76471
0.3136986 20.5
0.3164384 21.43824
0.3191781 22.57941
0.3219178 20.74412
0.3246575 20.15882
0.3273973 21.27647
0.330137 20.06286
0.3328767 20.60571
0.3356164 21.17143
0.3383562 21.16
0.3410959 21.65143
0.3438356 22.13143
0.3465753 21.89429
