time temperature
0.001369863 9.46
0.004109589 8.8
0.006849315 9.16
0.009589041 9.634286
0.01232877 8.658824
0.01506849 8.102857
0.01780822 9.997143
0.02054795 8.957143
0.02328767 7.974286
0.0260274 8.314286
0.02876712 8.294286
0.03150685 8.48
0.03424658 7.557143
0.0369863 8.634286
0.03972603 8.948571
0.04246575 8.242857
0.04520548 8.985294
0.04794521 9.857143
0.05068493 10.04857
0.05342466 9.974286
0.05616438 8.84
0.05890411 9.874286
0.06164384 11.10286
0.06438356 11.49429
0.06712329 11.70571
0.06986301 12.17143
0.07260274 10.55882
0.07534247 10.43143
0.07808219 11.45143
0.08082192 12.09429
0.08356164 11.02571
0.08630137 12.12571
0.0890411 12.2
0.09178082 11.46571
0.09452055 10.28571
0.09726027 11.00286
0.1 10.88286
0.1027397 9.374286
0.1054795 9.237143
0.1082192 10.83429
0.1109589 9.837143
0.1136986 11.79429
0.1164384 11.56857
0.1191781 12.31714
0.1219178 12.85429
0.1246575 14.60286
0.1273973 12.81429
0.130137 12.11143
0.1328767 12.68571
0.1356164 13.46571
0.1383562 12.97714
0.1410959 14.80857
0.1438356 14.39714
0.1465753 13.95588
0.1493151 14.60571
0.1520548 13.84571
0.1547945 13.49429
0.1575342 13.34
0.160274 14.57714
0.1630137 13.98286
0.1657534 14.82353
0.1684932 15.86765
0.1712329 15.55714
0.1739726 15.63714
0.1767123 14.42
0.1794521 15.03143
0.1821918 16.49714
0.1849315 16.26571
0.1876712 16.04857
0.190411 16.46857
0.1931507 17.62286
0.1958904 17.46286
0.1986301 16.96571
0.2013699 17.69429
0.2041096 18.11143
0.2068493 17.26857
0.209589 18.38571
0.2123288 18.51143
0.2150685 19.22286
0.2178082 18.33529
0.2205479 16.52571
0.2232877 18.03429
0.2260274 18.64857
0.2287671 18.31714
0.2315068 17.59429
0.2342466 18.24857
0.2369863 19.88857
0.239726 21.58571
0.2424658 20.78
0.2452055 20.10571
0.2479452 20.65152
0.2506849 21.68529
0.2534247 21.03235
0.2561644 21.50882
0.2589041 20.27941
0.2616438 20.02647
0.2643836 20.95294
0.2671233 21.91471
0.269863 21.17353
0.2726027 20.86765
0.2753425 22.52647
0.2780822 22.40294
0.2808219 22.20882
0.2835616 23.11176
0.2863014 23.25588
0.2890411 23.16765
0.2917808 23.42647
0.2945205 24.68235
0.2972603 24.61515
0.3 24.13235
0.3027397 24.97059
0.3054795 24.55294
0.3082192 24.2
0.3109589 24.24412
0.3136986 23.85
0.3164384 23.58235
0.3191781 24.22647
0.3219178 24.70588
0.3246575 24.59118
0.3273973 24.94706
0.330137 25.24857
0.3328767 24.35143
0.3356164 24.03429
0.3383562 24.06857
0.3410959 24.89714
0.3438356 25.57429
0.3465753 26.46286
0.3493151 25.93143
0.3520548 25.51714
0.3547945 25.53714
0.3575342 26.05143
0.360274 25.98571
0.3630137 26.45714
0.3657534 27.13714
0.3684932 27.36571
0.3712329 26.58286
0.3739726 27.17429
0.3767123 27.08286
0.3794521 27.66571
0.3821918 28.17714
0.3849315 28.03429
0.3876712 28.20857
0.390411 27.84571
0.3931507 28.58286
0.3958904 28.63429
0.3986301 28.44286
0.4013699 27.75429
0.4041096 27.87429
0.4068493 28.53429
0.409589 28.76
0.4123288 28.72571
0.4150685 28.79143
0.4178082 28.78
0.4205479 29.25429
0.4232877 29.76
0.4260274 29.85429
0.4287671 29.89143
0.4315068 30.2
0.4342466 30.32857
0.4369863 30.92571
0.439726 31.16
0.4424658 30.84286
0.4452055 31.15143
0.4479452 30.57143
0.4506849 30.51714
0.4534247 31.10571
0.4561644 30.41714
0.4589041 30.54286
0.4616438 30.72857
0.4643836 31.23429
0.4671233 31.14571
0.469863 31.27714
0.4726027 31.55143
0.4753425 31.34857
0.4780822 31.55714
0.4808219 31.53429
0.4835616 31.25143
0.4863014 31.08286
0.4890411 30.79429
0.4917808 31.38571
0.4945205 31.98571
0.4972603 32.31714
0.5 31.95429
0.5027397 32.19143
0.5054795 32.65882
0.5082192 31.85143
0.5109589 31.69143
0.5136986 31.94571
0.5164384 32.42571
0.5191781 32.60571
0.5219178 32.50571
0.5246575 32.49714
0.5273973 32.42
0.530137 32.70571
0.5328767 32.76286
0.5356164 32.53429
0.5383562 32.82571
0.5410959 32.24857
0.5438356 32.34
0.5465753 32.79143
0.5493151 33.12571
0.5520548 32.95714
0.5547945 32.52286
0.5575342 32.64
0.560274 32.38
0.5630137 32.51429
0.5657534 32.08286
0.5684932 32.60571
0.5712329 32.29714
0.5739726 32.35714
0.5767123 32.40857
0.5794521 32.30882
0.5821918 31.93143
0.5849315 32.22286
0.5876712 31.52647
0.590411 32.28286
0.5931507 32.31471
0.5958904 32.07429
0.5986301 31.99429
0.6013699 32.08286
0.6041096 32.19143
0.6068493 32.4
0.609589 31.90571
0.6123288 31.67429
0.6150685 31.74
0.6178082 31.34571
0.6205479 31.71471
0.6232877 32.07714
0.6260274 32.33429
0.6287671 32.36286
0.6315068 32.38857
0.6342466 32.54286
0.6369863 32.46571
0.639726 32.40571
0.6424658 31.91143
0.6452055 31.98
0.6479452 32.55143
0.6506849 32.33429
0.6534247 32.61429
0.6561644 31.91714
0.6589041 31.66571
0.6616438 31.5
0.6643836 31.44286
0.6671233 31.14
0.669863 31.23143
0.6726027 31.17429
0.6753425 29.97143
0.6780822 30.41429
0.6808219 30.70571
0.6835616 30.36857
0.6863014 31.01143
0.6890411 31.27714
0.6917808 30.85429
0.6945205 30.05143
0.6972603 30.11143
0.7 29.45143
0.7027397 29.17143
0.7054795 29.3
0.7082192 28.42
0.7109589 28.43143
0.7136986 28.5
0.7164384 28.94286
0.7191781 28.58857
0.7219178 28.47714
0.7246575 28.53429
0.7273973 27.55714
0.730137 27.08571
0.7328767 26.70571
0.7356164 26.62286
0.7383562 26.10882
0.7410959 26.04571
0.7438356 25.78
0.7465753 26.14571
0.7493151 26.47714
0.7520548 26.05882
0.7547945 25.87941
0.7575342 26.08824
0.760274 26.23143
0.7630137 24.78
0.7657534 24.23429
0.7684932 23.94571
0.7712329 24.61765
0.7739726 24.54
0.7767123 23.78
0.7794521 24.47429
0.7821918 25.15429
0.7849315 24.20857
0.7876712 23.49429
0.790411 23.89143
0.7931507 23.86471
0.7958904 23.53714
0.7986301 22.29714
0.8013699 21.36286
0.8041096 21.71714
0.8068493 22.62286
0.809589 22.48286
0.8123288 21.69714
0.8150685 21.37429
0.8178082 21.15143
0.8205479 21.84286
0.8232877 21.90571
0.8260274 21.44
0.8287671 21.62286
0.8315068 21.65143
0.8342466 21.88571
0.8369863 20.84286
0.839726 20.34
0.8424658 19.24
0.8452055 18.37714
0.8479452 17.37429
0.8506849 17.53143
0.8534247 17.33429
0.8561644 18.37143
0.8589041 19.1
0.8616438 17.88571
0.8643836 17.36571
0.8671233 17.8
0.869863 17.88824
0.8726027 17.86571
0.8753425 18.50571
0.8780822 17.47714
0.8808219 17.07714
0.8835616 17.57143
0.8863014 17.80294
0.8890411 15.89429
0.8917808 15.82571
0.8945205 15.76286
0.8972603 15.22571
0.9 15.72571
0.9027397 16.68286
0.9054795 17.38
0.9082192 16.11429
0.9109589 11.86
0.9136986 12.95882
0.9164384 13.50857
0.9191781 14.74857
0.9219178 14.7
0.9246575 15.05143
0.9273973 13.54
0.930137 13.58571
0.9328767 12.63429
0.9356164 12.57143
0.9383562 13.37714
0.9410959 13.02353
0.9438356 12.05882
0.9465753 11.80882
0.9493151 10.92
0.9520548 11.05152
0.9547945 11.03235
0.9575342 11.33429
0.960274 10.54571
0.9630137 10.42857
0.9657534 11.32571
0.9684932 12.19118
0.9712329 11.48
0.9739726 10.79429
0.9767123 11.07143
0.9794521 11.40571
0.9821918 9.905714
0.9849315 8.86
0.9876712 10.03714
0.990411 11.66286
0.9931507 11.49714
0.9958904 10.73824
0.9986301 10.88857
