time temperature
0.001369863 -0.03142857
0.004109589 1.12
0.006849315 0.1428571
0.009589041 0.06857143
0.01232877 0.5085714
0.01506849 0.04857143
0.01780822 -0.2
0.02054795 -0.9171429
0.02328767 -0.3914286
0.0260274 -0.2485714
0.02876712 1.291429
0.03150685 1.774286
0.03424658 2.74
0.0369863 3.254286
0.03972603 3.722857
0.04246575 3.794286
0.04520548 2.711429
0.04794521 2.582857
0.05068493 2.517143
0.05342466 2.722857
0.05616438 2.28
0.05890411 1.668571
0.06164384 3.174286
0.06438356 1.602857
0.06712329 1.645714
0.06986301 0.9828571
0.07260274 1.625714
0.07534247 1.711429
0.07808219 1.608571
0.08082192 3.514286
0.08356164 2.402941
0.08630137 2.391429
0.0890411 1.714286
0.09178082 2.888571
0.09452055 3.82
0.09726027 4.328571
0.1 4.2
0.1027397 3.497143
0.1054795 3.505714
0.1082192 4.642857
0.1109589 3.762857
0.1136986 5.542857
0.1164384 5.391429
0.1191781 3.94
0.1219178 3.297143
0.1246575 3.057143
0.1273973 4.251429
0.130137 3.658824
0.1328767 4.202857
0.1356164 5.605714
0.1383562 5.082857
0.1410959 5.334286
0.1438356 4.982857
0.1465753 3.86
0.1493151 5.311429
0.1520548 5.171429
0.1547945 5.088571
0.1575342 5.582857
0.160274 5.805714
0.1630137 3.408571
0.1657534 3.228571
0.1684932 4.585714
0.1712329 4.725714
0.1739726 5.714286
0.1767123 6.797143
0.1794521 6.088571
0.1821918 7.134286
0.1849315 7.271429
0.1876712 7.834286
0.190411 6.934286
0.1931507 6.568571
0.1958904 7.32
0.1986301 7.365714
0.2013699 7.945714
0.2041096 7.691429
0.2068493 7.651429
0.209589 7.777143
0.2123288 7.785714
0.2150685 8.391429
0.2178082 8.437143
0.2205479 7.628571
0.2232877 8.151429
0.2260274 7.825714
0.2287671 8.237143
0.2315068 8.99697
0.2342466 7.308571
0.2369863 7.302857
0.239726 8.582857
0.2424658 10.8
0.2452055 10.21176
0.2479452 9.962857
0.2506849 10.08571
0.2534247 10.12286
0.2561644 10.99714
0.2589041 12.63714
0.2616438 11.81429
0.2643836 10.48
0.2671233 11.46857
0.269863 11.54857
0.2726027 11.64286
0.2753425 11.35143
0.2780822 11.95882
0.2808219 12.33714
0.2835616 13.94
0.2863014 13.48286
0.2890411 12.66857
0.2917808 12.81143
0.2945205 12.00571
0.2972603 12.28286
0.3 12.74571
0.3027397 13.50571
0.3054795 13.78857
0.3082192 14.44
0.3109589 13.97143
0.3136986 11.87143
0.3164384 10.88571
0.3191781 11.78857
0.3219178 12.60857
0.3246575 14.42286
0.3273973 14.97429
0.330137 15.68857
0.3328767 15.66857
0.3356164 16.02286
0.3383562 15.83714
0.3410959 16.19118
0.3438356 15.68571
0.3465753 15.38286
0.3493151 15.96571
0.3520548 15.97429
0.3547945 15.79429
0.3575342 14.92571
0.360274 16.16857
0.3630137 17.75143
0.3657534 17.91143
0.3684932 17.92286
0.3712329 17.78857
0.3739726 16.64571
0.3767123 16.77429
0.3794521 18.11143
0.3821918 17.99429
0.3849315 18.10571
0.3876712 19.18857
0.390411 19.51429
0.3931507 19.79429
0.3958904 18.45714
0.3986301 19.79714
0.4013699 19.44571
0.4041096 19.50857
0.4068493 19.44857
0.409589 19.01714
0.4123288 18.6
0.4150685 19.56857
0.4178082 20.71143
0.4205479 21.10857
0.4232877 20.05294
0.4260274 21.38857
0.4287671 21.05143
0.4315068 19.59429
0.4342466 20.63429
0.4369863 21.10857
0.439726 21.78571
0.4424658 21.67714
0.4452055 20.93429
0.4479452 20.24
0.4506849 20.29706
0.4534247 20.76286
0.4561644 21.26571
0.4589041 21.72857
0.4616438 23.11429
0.4643836 23.50571
0.4671233 23.4
0.469863 23.06571
0.4726027 23.3
0.4753425 23.72
0.4780822 24.09429
0.4808219 24.07714
0.4835616 24.70571
0.4863014 24.33429
0.4890411 24.18571
0.4917808 24.13714
0.4945205 24.71429
0.4972603 24.82571
0.5 25.24
0.5027397 25.13714
0.5054795 25.33824
0.5082192 25.19429
0.5109589 26.17429
0.5136986 26.16
0.5164384 26.90857
0.5191781 27.05429
0.5219178 25.37714
0.5246575 25.71143
0.5273973 26.06
0.530137 25.41714
0.5328767 25.70857
0.5356164 27.14857
0.5383562 27.06857
0.5410959 26.3
0.5438356 25.99429
0.5465753 26.64857
0.5493151 27.17714
0.5520548 27.87429
0.5547945 27.73714
0.5575342 27.42857
0.560274 27.74286
0.5630137 27.02
0.5657534 27.55429
0.5684932 28.71429
0.5712329 28.64857
0.5739726 27.99143
0.5767123 28.16857
0.5794521 28.28286
0.5821918 27.91143
0.5849315 27.09714
0.5876712 27.86
0.590411 28.38857
0.5931507 28.69429
0.5958904 28.37429
0.5986301 27.98529
0.6013699 27.72
0.6041096 27.70294
0.6068493 28.25714
0.609589 26.88857
0.6123288 26.64857
0.6150685 26.47714
0.6178082 26.95429
0.6205479 26.91143
0.6232877 26.50571
0.6260274 27.33429
0.6287671 26.74
0.6315068 26.39429
0.6342466 24.75143
0.6369863 25.77714
0.639726 25.39714
0.6424658 24.06857
0.6452055 25.17714
0.6479452 24.45714
0.6506849 24.58857
0.6534247 25.20857
0.6561644 24.44857
0.6589041 24.29429
0.6616438 24.25714
0.6643836 23.24286
0.6671233 23.62
0.669863 23.72571
0.6726027 23.25143
0.6753425 24.14571
0.6780822 23.78
0.6808219 23.35143
0.6835616 22.96857
0.6863014 23.11143
0.6890411 22.54118
0.6917808 21.71429
0.6945205 19.6
0.6972603 18.54
0.7 19.56
0.7027397 19.65143
0.7054795 19.76
0.7082192 19.31429
0.7109589 18.98
0.7136986 19.64286
0.7164384 18.52571
0.7191781 17.11765
0.7219178 18.08286
0.7246575 19.04857
0.7273973 19.44286
0.730137 19.98857
0.7328767 20.49429
0.7356164 19.26
0.7383562 19.07714
0.7410959 18.98
0.7438356 19.20571
0.7465753 19.02941
0.7493151 19.33429
0.7520548 18.22286
0.7547945 17.44286
0.7575342 17.38286
0.760274 17.49143
0.7630137 17.62
0.7657534 16.78857
0.7684932 16.12857
0.7712329 16.34
0.7739726 16.76
0.7767123 16.73143
0.7794521 15.42857
0.7821918 14.84571
0.7849315 13.63143
0.7876712 13.69714
0.790411 13.76857
0.7931507 13.65714
0.7958904 13.84571
0.7986301 15.67714
0.8013699 15.86
0.8041096 14.71143
0.8068493 13.78286
0.809589 13.90571
0.8123288 13.23429
0.8150685 14.73143
0.8178082 13.71714
0.8205479 12.14286
0.8232877 11.83714
0.8260274 11.42286
0.8287671 11.66
0.8315068 11.09412
0.8342466 10.82857
0.8369863 9.494286
0.839726 9.914286
0.8424658 10.11714
0.8452055 9.462857
0.8479452 8.9
0.8506849 8.771429
0.8534247 6.951429
0.8561644 7.902857
0.8589041 7.84
0.8616438 7.66
0.8643836 8.528571
0.8671233 8.157143
0.869863 8.362857
0.8726027 7.46
0.8753425 7.797143
0.8780822 6.668571
0.8808219 5.151429
0.8835616 5.294286
0.8863014 5.517143
0.8890411 5.428571
0.8917808 3.84
0.8945205 3.908571
0.8972603 5.72
0.9 4.648571
0.9027397 2.54
0.9054795 2.014286
0.9082192 3.485714
0.9109589 4.394286
0.9136986 4.368571
0.9164384 4.157143
0.9191781 5.028571
0.9219178 5.445714
0.9246575 5.568571
0.9273973 3.165714
0.930137 2.685714
0.9328767 2.405714
