time temperature
0.001369863 8.28
0.004109589 8.494286
0.006849315 9.148571
0.009589041 8.68
0.01232877 7.52
0.01506849 7.231429
0.01780822 8.431429
0.02054795 8.028571
0.02328767 7.254286
0.0260274 7.54
0.02876712 6.257143
0.03150685 7.102857
0.03424658 7.125714
0.0369863 6.32
0.03972603 7.651429
0.04246575 6.794286
0.04520548 7.285714
0.04794521 7.508824
0.05068493 8.271429
0.05342466 7.737143
0.05616438 7.08
0.05890411 7.862857
0.06164384 8.9
0.06438356 9.62
0.06712329 9.708571
0.06986301 10.17143
0.07260274 8.902857
0.07534247 7.72
0.07808219 9.574286
0.08082192 9.888571
0.08356164 10.15714
0.08630137 9.985714
0.0890411 9.354286
0.09178082 9.542857
0.09452055 9.471429
0.09726027 10.55143
0.1 9.934286
0.1027397 8.357143
0.1054795 8.54
0.1082192 8.731429
0.1109589 8.691429
0.1136986 9.705714
0.1164384 10.84
0.1191781 9.305714
0.1219178 9.251429
0.1246575 11.66571
0.1273973 10.19143
0.130137 10.43714
0.1328767 9.757143
0.1356164 9.84
0.1383562 10.67143
0.1410959 11.22857
0.1438356 12.22857
0.1465753 11.71143
0.1493151 12.02571
0.1520548 12.06857
0.1547945 10.28571
0.1575342 10.20286
0.160274 11.57143
0.1630137 11.44286
0.1657534 11.63714
0.1684932 12.89143
0.1712329 13.39143
0.1739726 14.16286
0.1767123 14.14571
0.1794521 13.15429
0.1821918 13.07429
0.1849315 13.86857
0.1876712 13.42
0.190411 13.72286
0.1931507 13.98571
0.1958904 14.95429
0.1986301 15.22
0.2013699 14.33429
0.2041096 14.93143
0.2068493 13.19429
0.209589 15.04857
0.2123288 15.89143
0.2150685 16.50286
0.2178082 15.58
0.2205479 14.68
0.2232877 14.85714
0.2260274 15.63143
0.2287671 15.07143
0.2315068 15.53429
0.2342466 15.99143
0.2369863 16.91714
0.239726 17.62
0.2424658 16.84
0.2452055 17.64857
0.2479452 17.65714
0.2506849 18.38857
0.2534247 18.82571
0.2561644 18.02571
