time temperature
0.001369863 -8.637143
0.004109589 -8.688235
0.006849315 -9.309091
0.009589041 -9.85
0.01232877 -10.87059
0.01506849 -10.78571
0.01780822 -12.36
0.02054795 -12.90286
0.02328767 -13.00286
0.0260274 -11.98529
0.02876712 -10.96857
0.03150685 -9.857143
0.03424658 -8.78
0.0369863 -10.72
0.03972603 -11.69143
0.04246575 -9.374286
0.04520548 -9.822857
0.04794521 -10.10286
0.05068493 -10.24286
0.05342466 -8.697143
0.05616438 -7.257143
0.05890411 -7.331429
0.06164384 -8.08
0.06438356 -8.974286
0.06712329 -11.09706
0.06986301 -10.52647
0.07260274 -11.18
0.07534247 -9.64
0.07808219 -8.988571
0.08082192 -8.668571
0.08356164 -9.177143
0.08630137 -10.25143
0.0890411 -10.22286
0.09178082 -8.902857
0.09452055 -8.125714
0.09726027 -7.634286
0.1 -7.26
0.1027397 -8.6
0.1054795 -7.934286
0.1082192 -6.245714
0.1109589 -7.277143
0.1136986 -6.931429
0.1164384 -6.125714
0.1191781 -6.174286
0.1219178 -6.582857
0.1246575 -6.885714
0.1273973 -5.594286
0.130137 -5.273529
0.1328767 -6.225714
0.1356164 -5.861765
0.1383562 -5.237143
0.1410959 -4.045714
0.1438356 -4.22
0.1465753 -4.38
0.1493151 -4.614286
0.1520548 -3.254286
0.1547945 -2.522857
0.1575342 -2.971429
0.160274 -2.877143
0.1630137 -2.84
0.1657534 -3.457143
0.1684932 -2.902857
0.1712329 -2.474286
0.1739726 -1.420588
0.1767123 -1.771429
0.1794521 -2.357143
0.1821918 -1.951429
0.1849315 0.06176471
0.1876712 0.3970588
0.190411 0.4705882
0.1931507 0.5911765
0.1958904 0.9411765
0.1986301 1.071429
0.2013699 1.651429
0.2041096 1.828571
0.2068493 1.128571
0.209589 1.825714
0.2123288 1.954286
0.2150685 1.411429
0.2178082 2.714286
0.2205479 3.062857
0.2232877 2.774286
0.2260274 3.622857
0.2287671 3.957143
0.2315068 3.585714
0.2342466 4.022857
0.2369863 3.928571
0.239726 4.011429
0.2424658 5.32
0.2452055 5.825714
0.2479452 6.014286
0.2506849 5.274286
0.2534247 5.82
0.2561644 6.708571
0.2589041 7.791429
0.2616438 9.002941
0.2643836 9.325714
0.2671233 9.451429
0.269863 9.482857
0.2726027 9.868571
0.2753425 10.82857
0.2780822 10.69714
0.2808219 10.48571
0.2835616 11.68571
0.2863014 13.36286
0.2890411 13.87143
0.2917808 13.65429
0.2945205 13.74571
0.2972603 13.96
0.3 12.74
0.3027397 14.23429
0.3054795 14.47429
0.3082192 14.36571
0.3109589 16.04857
0.3136986 15.36286
0.3164384 14.47143
0.3191781 13.55143
0.3219178 14.25143
0.3246575 14.38
0.3273973 14.2
0.330137 16.34286
0.3328767 17.32857
0.3356164 17.67143
0.3383562 19.26
0.3410959 18.23714
0.3438356 17.98
0.3465753 18.32857
0.3493151 16.98286
0.3520548 17.95714
0.3547945 18.54
0.3575342 18.04857
0.360274 18.81143
0.3630137 19.76857
0.3657534 20.89143
0.3684932 21.30571
0.3712329 21.48857
0.3739726 22.24571
0.3767123 21.60857
0.3794521 20.79714
0.3821918 21.83714
0.3849315 22.24
0.3876712 23.45714
0.390411 22.02
0.3931507 22.16857
0.3958904 21.95714
0.3986301 21.01429
0.4013699 22.33143
0.4041096 23.49429
0.4068493 23.66857
0.409589 22.82286
0.4123288 22.45143
0.4150685 22.50857
0.4178082 23.58857
0.4205479 24.64857
0.4232877 25.31429
0.4260274 24.15143
0.4287671 24.91714
0.4315068 24.72
0.4342466 23.76857
0.4369863 23.68857
0.439726 24.38
0.4424658 25.25429
0.4452055 25.68571
0.4479452 25.06571
0.4506849 24.17429
0.4534247 23.64571
0.4561644 24.05143
0.4589041 24.76176
0.4616438 25.05714
0.4643836 24.77714
0.4671233 25.05429
0.469863 24.97429
0.4726027 25.11143
0.4753425 25.28857
0.4780822 25.99429
0.4808219 26.65143
0.4835616 26.63714
0.4863014 26.50286
0.4890411 26.66571
0.4917808 25.77714
0.4945205 25.87143
0.4972603 26.26765
0.5 26.25882
0.5027397 26.45882
0.5054795 27.68235
0.5082192 28.35588
0.5109589 29.08529
0.5136986 28.84545
0.5164384 28.83235
0.5191781 28.90588
0.5219178 28.32941
0.5246575 27.58235
0.5273973 28.33636
0.530137 27.49697
0.5328767 27.93636
0.5356164 28.92059
0.5383562 29.15588
0.5410959 29.11471
