time temperature
0.001369863 6.545714
0.004109589 5.805714
0.006849315 5.462857
0.009589041 4.945714
0.01232877 4.731429
0.01506849 5.222857
0.01780822 5.562857
0.02054795 4
0.02328767 3.177143
0.0260274 3.617143
0.02876712 3.465714
0.03150685 3.382857
0.03424658 4.257143
0.0369863 5.045714
0.03972603 3.488571
0.04246575 3.397143
0.04520548 4.105714
0.04794521 4.522857
0.05068493 3.491429
0.05342466 4.525714
0.05616438 4.025714
0.05890411 4.502857
0.06164384 6.58
0.06438356 6.477143
0.06712329 5.502857
0.06986301 6.271429
0.07260274 5.545714
0.07534247 3.971429
0.07808219 4.922857
0.08082192 5.54
0.08356164 4.348571
0.08630137 4.931429
0.0890411 5.945714
0.09178082 5.114286
0.09452055 4.462857
0.09726027 4.571429
0.1 5.302857
0.1027397 4.094286
0.1054795 3.942857
0.1082192 3.92
0.1109589 4.06
0.1136986 5.437143
0.1164384 4.028571
0.1191781 4.214286
0.1219178 5.905714
0.1246575 6.608571
0.1273973 6.605714
0.130137 5.982857
0.1328767 7.031429
0.1356164 8.02
0.1383562 7.134286
0.1410959 7.594286
0.1438356 8.208571
0.1465753 7.98
0.1493151 7.728571
0.1520548 7.045714
0.1547945 5.814286
0.1575342 6.36
0.160274 7.948571
0.1630137 7.871429
0.1657534 8.662857
0.1684932 8.588571
0.1712329 9.237143
0.1739726 9.982857
0.1767123 8.148571
0.1794521 9.325714
0.1821918 9.014286
0.1849315 9.274286
0.1876712 9.134286
0.190411 9.674286
0.1931507 10.00286
0.1958904 10.65429
0.1986301 10.2
0.2013699 10.92857
0.2041096 10.39429
0.2068493 10.61143
0.209589 9.477143
0.2123288 10.47429
0.2150685 10.44286
0.2178082 10.36
0.2205479 10.23429
0.2232877 11.20286
0.2260274 11.93429
0.2287671 11.92286
0.2315068 12.53714
0.2342466 12.81714
0.2369863 14.44857
0.239726 14.73714
0.2424658 13.54
0.2452055 12.82
0.2479452 14.17714
0.2506849 14.02571
0.2534247 14.79143
0.2561644 13.74571
0.2589041 14.65143
0.2616438 12.80286
0.2643836 13.14286
0.2671233 14.8
0.269863 14.07143
0.2726027 15.48857
0.2753425 14.94
0.2780822 15.27429
0.2808219 14.63143
0.2835616 15.46
0.2863014 15.84286
0.2890411 16.95714
0.2917808 18.17714
0.2945205 18.27143
0.2972603 17.26571
0.3 16.86571
0.3027397 18.10857
0.3054795 18.85143
0.3082192 18.24
0.3109589 18.24286
0.3136986 18.73714
0.3164384 18.51714
0.3191781 18.61429
0.3219178 18.28857
0.3246575 18.60571
0.3273973 19.10857
0.330137 19.00571
0.3328767 19.33429
0.3356164 19.85143
0.3383562 18.87429
0.3410959 20.09143
0.3438356 21.00286
0.3465753 19.77429
0.3493151 19.91714
0.3520548 20.61429
0.3547945 22.15714
0.3575342 21.16571
0.360274 21.47143
0.3630137 21.92286
0.3657534 21.43429
0.3684932 21.01143
0.3712329 21.62
0.3739726 23.21429
0.3767123 22.41714
0.3794521 21.97429
0.3821918 22.12571
0.3849315 22.38857
0.3876712 23.63714
0.390411 23.91429
0.3931507 23.16
0.3958904 22.60286
0.3986301 22.64857
0.4013699 22.35143
0.4041096 23.55714
0.4068493 23.25143
0.409589 23.95714
0.4123288 24.74286
0.4150685 26.30857
0.4178082 25.27143
0.4205479 24.39429
0.4232877 24.62286
0.4260274 25.38286
0.4287671 25.70286
0.4315068 26.51429
0.4342466 27.08286
0.4369863 27.06286
0.439726 27.56857
0.4424658 26.44571
0.4452055 26.42286
0.4479452 25.9
0.4506849 25.20857
0.4534247 26.87429
0.4561644 26.94571
0.4589041 25.51143
0.4616438 26.69714
0.4643836 27.40571
0.4671233 27.97429
0.469863 27.27143
0.4726027 27.30286
0.4753425 27.58571
0.4780822 27.68286
0.4808219 27.81429
0.4835616 27.15714
0.4863014 27.99143
0.4890411 28.83429
0.4917808 28.82
0.4945205 28.95714
0.4972603 28.90571
0.5 28.76857
0.5027397 28.85714
0.5054795 28.54857
0.5082192 27.78857
0.5109589 27.90286
0.5136986 28.61429
0.5164384 29.78
0.5191781 30.23143
0.5219178 30.09714
0.5246575 28.82286
0.5273973 29.25714
0.530137 28.96857
0.5328767 29.94857
0.5356164 29.70571
0.5383562 29.85143
0.5410959 29.72286
0.5438356 30.46571
0.5465753 30.75143
0.5493151 30.21143
0.5520548 30.35143
0.5547945 29.02857
0.5575342 29.3
0.560274 29.15143
0.5630137 29.15714
0.5657534 29.07714
0.5684932 29.17714
0.5712329 29.26857
0.5739726 28.71714
0.5767123 28.56
0.5794521 28.78286
0.5821918 29.52286
0.5849315 29.78857
0.5876712 29.93143
0.590411 29.68857
0.5931507 28.76
0.5958904 28.27429
0.5986301 28.93143
0.6013699 29.63143
0.6041096 29.40857
0.6068493 28.73143
0.609589 28.3
0.6123288 28.24286
0.6150685 27.50857
0.6178082 28.77714
0.6205479 28.45429
0.6232877 28.34286
0.6260274 28.45714
0.6287671 27.74857
0.6315068 27.76
0.6342466 27.59714
0.6369863 26.98857
0.639726 27.04
0.6424658 27.58571
0.6452055 27.39714
0.6479452 27.76857
0.6506849 28.41143
0.6534247 29.15714
0.6561644 28.81143
0.6589041 28.13429
0.6616438 28.4
0.6643836 27.96286
0.6671233 27.01429
0.669863 26.86857
0.6726027 27.18571
0.6753425 26.88
0.6780822 26.61714
0.6808219 26.71429
0.6835616 26.55714
0.6863014 26.14571
0.6890411 26.50286
0.6917808 27.17429
0.6945205 26.90286
