time temperature
0.001369863 4.551515
0.004109589 4.938235
0.006849315 5.837143
0.009589041 5.691429
0.01232877 5.534286
0.01506849 5.728571
0.01780822 4.477143
0.02054795 6
0.02328767 6.354286
0.0260274 6.251429
0.02876712 6.574286
0.03150685 5.962857
0.03424658 7.274286
0.0369863 6.62
0.03972603 8.38
0.04246575 6.705714
0.04520548 6.971429
0.04794521 5.982857
0.05068493 6.128571
0.05342466 5.827273
0.05616438 6.194286
0.05890411 7.031429
0.06164384 7.014286
0.06438356 6.957143
0.06712329 7.242857
0.06986301 7.154286
0.07260274 7.302857
0.07534247 7.18
0.07808219 7.594118
0.08082192 7.862857
0.08356164 7.774286
0.08630137 6.448571
0.0890411 6.434286
0.09178082 7.252941
0.09452055 6.454286
0.09726027 6.751429
0.1 6.302857
0.1027397 6.448571
0.1054795 5.991429
0.1082192 7.105714
0.1109589 6.622857
0.1136986 6.477143
0.1164384 7.868571
0.1191781 8.042857
0.1219178 7.394286
0.1246575 6.542857
0.1273973 7.351429
0.130137 6.171429
0.1328767 6.244118
0.1356164 6.214706
0.1383562 6.633333
0.1410959 6.270588
0.1438356 6.879412
0.1465753 7.552941
0.1493151 9.185294
0.1520548 8.155882
0.1547945 8.744118
0.1575342 8.135294
0.160274 8.811765
0.1630137 8.712121
0.1657534 7.582353
0.1684932 7.174286
0.1712329 6.629412
0.1739726 7.023529
0.1767123 8.305882
0.1794521 9.174286
0.1821918 9.820588
0.1849315 9.544118
0.1876712 9.623529
0.190411 8.128571
0.1931507 7.797143
0.1958904 8.411429
0.1986301 8.928571
0.2013699 8.528571
0.2041096 9.265714
0.2068493 9.654286
0.209589 9.568571
0.2123288 9.351429
0.2150685 9.788571
0.2178082 10.63429
0.2205479 10.74286
0.2232877 10.85294
0.2260274 10.60571
0.2287671 10.97429
0.2315068 10.84286
0.2342466 10.41429
0.2369863 9.531429
0.239726 9.045714
0.2424658 9.145714
0.2452055 10.57647
0.2479452 10.14571
0.2506849 10.82
0.2534247 10.80857
0.2561644 10.59429
0.2589041 11.75143
0.2616438 12.97714
0.2643836 12.47714
0.2671233 12.73714
0.269863 12.65143
0.2726027 13.23824
0.2753425 13.12857
0.2780822 12.72857
0.2808219 13.01143
0.2835616 14.12286
0.2863014 13.86857
0.2890411 15.00857
0.2917808 14.95143
0.2945205 14.53143
0.2972603 13.73143
0.3 13.51143
0.3027397 14.03714
0.3054795 14.43429
0.3082192 15.15
0.3109589 15.27143
0.3136986 15.19412
0.3164384 14.01143
0.3191781 14.01429
0.3219178 14.56286
0.3246575 14.55143
0.3273973 14.64286
0.330137 14.61143
0.3328767 14.90588
0.3356164 15.76571
0.3383562 16.32941
0.3410959 16.35714
0.3438356 15.11714
0.3465753 15.56571
0.3493151 16.95143
0.3520548 17.36857
0.3547945 17.18
0.3575342 17.72571
0.360274 17.35143
0.3630137 17.1
0.3657534 17.69714
0.3684932 17.67429
0.3712329 17.97143
0.3739726 18.04
0.3767123 18.54857
0.3794521 18.49143
0.3821918 17.86471
0.3849315 18.60857
0.3876712 19.01714
0.390411 19.20571
0.3931507 18.78286
0.3958904 18.68
0.3986301 19.13824
0.4013699 19.31714
0.4041096 19.14571
0.4068493 19.36286
0.409589 18.97059
0.4123288 19.27576
0.4150685 18.96571
0.4178082 19.56571
0.4205479 19.22286
0.4232877 20.41429
0.4260274 20.68571
0.4287671 21.08857
0.4315068 21.30571
0.4342466 21.24857
0.4369863 20.84
0.439726 20.62121
0.4424658 22.11429
0.4452055 22.49429
0.4479452 23.03714
0.4506849 22.51143
0.4534247 22.27576
0.4561644 22.93429
0.4589041 23.96857
0.4616438 23.96
0.4643836 23.52
0.4671233 24.30294
0.469863 24.76
0.4726027 25.07353
0.4753425 24.96
0.4780822 24.64857
0.4808219 24.66857
0.4835616 25.38571
0.4863014 25.79714
0.4890411 25.64286
0.4917808 25.04286
0.4945205 25.38286
0.4972603 25.44242
0.5 25.55588
0.5027397 25.51143
0.5054795 25.08571
0.5082192 24.78571
0.5109589 25.33714
