time temperature
0.001369863 4.542857
0.004109589 4.125714
0.006849315 4.54
0.009589041 4.605714
0.01232877 5.017143
0.01506849 5.297143
0.01780822 5.682857
0.02054795 5.857143
0.02328767 6.177143
0.0260274 6.522857
0.02876712 5.422857
0.03150685 6.165714
0.03424658 6.78
0.0369863 7.222857
0.03972603 7.731429
0.04246575 7.242857
0.04520548 7.825714
0.04794521 7.62
0.05068493 6.877143
0.05342466 7.14
0.05616438 6.937143
0.05890411 6.797143
0.06164384 7.048571
0.06438356 6.86
0.06712329 7.725714
0.06986301 7.771429
0.07260274 7.708571
0.07534247 7.305714
0.07808219 7.585714
0.08082192 7.474286
0.08356164 7.594286
0.08630137 7.731429
0.0890411 7.6
0.09178082 8.377143
0.09452055 8.788571
0.09726027 8.222857
0.1 7.92
0.1027397 8.471429
0.1054795 9.094286
0.1082192 9.48
0.1109589 8.688571
0.1136986 9.037143
0.1164384 9.342857
0.1191781 8.968571
0.1219178 8.62
0.1246575 9.131429
0.1273973 8.848571
0.130137 9.645714
0.1328767 9.462857
0.1356164 9.477143
0.1383562 10.08857
0.1410959 10.90571
0.1438356 10.76
0.1465753 11.29429
0.1493151 12.59143
0.1520548 11.42
0.1547945 11.60857
0.1575342 11.74857
0.160274 11.48286
0.1630137 10.91714
0.1657534 10.09143
0.1684932 9.731429
0.1712329 10.17429
0.1739726 11
0.1767123 11.18286
0.1794521 12.24286
0.1821918 13.07143
0.1849315 13.15714
0.1876712 12.61429
0.190411 11.41714
0.1931507 11.80571
0.1958904 11.73714
0.1986301 12.54286
0.2013699 12.50857
0.2041096 12.71143
0.2068493 12.45429
0.209589 12.44
0.2123288 13.04571
0.2150685 14.19714
0.2178082 14.44857
0.2205479 14.36286
0.2232877 14.58
0.2260274 14.85429
0.2287671 14.36857
0.2315068 14.19429
0.2342466 13.66286
0.2369863 13.61143
0.239726 14.86286
0.2424658 15.60571
0.2452055 14.78857
0.2479452 14.26571
0.2506849 14.74286
0.2534247 15.76286
0.2561644 16.79143
0.2589041 17.24
0.2616438 17.06286
0.2643836 16.09714
0.2671233 17.10857
0.269863 18.19143
0.2726027 17.56571
0.2753425 16.74
0.2780822 17.50571
0.2808219 18.08
0.2835616 18.35143
0.2863014 18.75143
0.2890411 18.54857
0.2917808 18.05429
0.2945205 16.54571
0.2972603 16.16
0.3 17.17143
0.3027397 17.62571
0.3054795 18.22571
0.3082192 17.89143
0.3109589 17.44571
0.3136986 16.52
0.3164384 17.07429
0.3191781 18.7
0.3219178 19.92
0.3246575 19.80857
0.3273973 20.10571
0.330137 20.85429
0.3328767 21.12857
0.3356164 21.79429
0.3383562 21.00857
0.3410959 20.06286
0.3438356 18.88857
0.3465753 20.32
0.3493151 21.68571
0.3520548 20.93429
0.3547945 21.17714
0.3575342 21.44
0.360274 22.33143
0.3630137 22.87429
0.3657534 23.16571
0.3684932 23.51429
0.3712329 22.50857
0.3739726 23.45429
0.3767123 23.71429
0.3794521 23.46
0.3821918 23.20571
0.3849315 23.61714
