time temperature
0.001369863 0.8971429
0.004109589 -0.05714286
0.006849315 -0.2942857
0.009589041 0.2857143
0.01232877 -0.1714286
0.01506849 -0.6971429
0.01780822 -0.28
0.02054795 -0.3142857
0.02328767 -2.474286
0.0260274 -2.954286
0.02876712 -1.731429
0.03150685 -2.128571
0.03424658 -2.082857
0.0369863 -0.7457143
0.03972603 -0.9257143
0.04246575 -2.9
0.04520548 -1.825714
0.04794521 -1.697143
0.05068493 -1.762857
0.05342466 -1.551429
0.05616438 -1.982857
0.05890411 -1.188571
0.06164384 0.12
0.06438356 0.78
0.06712329 0.74
0.06986301 0.9971429
0.07260274 -0.3971429
0.07534247 -0.9057143
0.07808219 -0.8685714
0.08082192 -1.388571
0.08356164 -1.668571
0.08630137 -0.9970588
0.0890411 -1.326471
0.09178082 -1.082353
0.09452055 -1.673529
0.09726027 -1.570588
0.1 -1.144118
0.1027397 -1.905882
0.1054795 -1.858824
0.1082192 -1.032353
0.1109589 -2.352941
0.1136986 -1.223529
0.1164384 -0.6735294
0.1191781 -1.470588
0.1219178 -0.8794118
0.1246575 -1.176471
0.1273973 0.6235294
0.130137 -0.4558824
0.1328767 0.2117647
0.1356164 2.185294
0.1383562 2.205882
0.1410959 2.027273
0.1438356 2.311765
0.1465753 3.002941
0.1493151 1.241176
0.1520548 1.605882
0.1547945 0.01470588
0.1575342 -0.3852941
0.160274 1.170588
0.1630137 2.165714
0.1657534 1.794286
0.1684932 3.431429
0.1712329 2.24
0.1739726 4.385714
0.1767123 4.842857
0.1794521 3.554286
0.1821918 3.728571
0.1849315 2.74
0.1876712 3.734286
0.190411 4.777143
0.1931507 2.997143
0.1958904 3.602857
0.1986301 4.185714
0.2013699 5.062857
0.2041096 4.697143
0.2068493 4.774286
0.209589 3.94
0.2123288 3.78
0.2150685 5.474286
0.2178082 5.257143
0.2205479 4.968571
0.2232877 5.72
0.2260274 6.817143
0.2287671 6.331429
0.2315068 7.268571
0.2342466 8.171429
0.2369863 7.934286
0.239726 9.674286
0.2424658 10.68857
0.2452055 9.682857
0.2479452 9.131429
0.2506849 9.32
0.2534247 9.417143
0.2561644 9.657143
0.2589041 9.96
0.2616438 9.6
0.2643836 8.557143
0.2671233 9.997143
0.269863 8.74
0.2726027 10.35429
0.2753425 9.402857
0.2780822 10.38857
0.2808219 11.61714
0.2835616 13.26571
0.2863014 14.31714
0.2890411 13.46571
0.2917808 13.26857
0.2945205 15.20571
0.2972603 13.93143
0.3 14.82286
0.3027397 15.16
0.3054795 15.68571
0.3082192 14.33143
0.3109589 14.43714
0.3136986 13.88571
0.3164384 14.39714
0.3191781 15.86857
0.3219178 16.92286
0.3246575 16.32286
0.3273973 16.85429
0.330137 17.81765
0.3328767 15.84412
0.3356164 16.02647
0.3383562 15.45
0.3410959 15.96176
0.3438356 17.61176
0.3465753 17
0.3493151 15.81176
0.3520548 17.00882
0.3547945 18.13235
0.3575342 18.46471
0.360274 18.9
0.3630137 18.75882
0.3657534 18.58824
0.3684932 19.32059
0.3712329 20.61471
0.3739726 20.09706
0.3767123 20.29706
0.3794521 19.01176
0.3821918 21.61765
0.3849315 20.80882
0.3876712 21.07647
0.390411 22.13235
0.3931507 22.61471
0.3958904 21.51212
0.3986301 21.53235
0.4013699 20.55882
0.4041096 20.75294
0.4068493 21.94412
0.409589 21.85294
0.4123288 22.80882
0.4150685 22.26471
0.4178082 22.33429
0.4205479 22.48571
0.4232877 21.82571
0.4260274 23.09714
0.4287671 23.37714
0.4315068 23.49143
0.4342466 23.98571
0.4369863 24.26571
0.439726 24.55429
0.4424658 23.93714
0.4452055 23.86571
0.4479452 24.4
0.4506849 23.85429
0.4534247 24.79143
0.4561644 25.24286
0.4589041 24.83429
0.4616438 24.55429
0.4643836 25.51143
0.4671233 26.09714
0.469863 23.81429
0.4726027 24.6
0.4753425 25.34571
0.4780822 25.55429
0.4808219 25.40857
0.4835616 25.17143
0.4863014 25.06571
0.4890411 26.53714
0.4917808 26.04571
0.4945205 26.38286
0.4972603 25.7
0.5 26.21471
0.5027397 26.10882
0.5054795 25.85882
0.5082192 26.00294
0.5109589 26.02647
0.5136986 26.08824
0.5164384 27.25294
0.5191781 27.72059
0.5219178 27.84118
0.5246575 27.20588
0.5273973 26.97647
0.530137 27.41471
0.5328767 27.41176
0.5356164 27.15882
0.5383562 27.38529
0.5410959 28
0.5438356 28.24706
0.5465753 29.35588
0.5493151 28.36471
0.5520548 27.8
0.5547945 27.57059
0.5575342 27.8
0.560274 27.93529
0.5630137 27.8
0.5657534 28.12353
0.5684932 26.9
0.5712329 27.18824
0.5739726 26.96176
0.5767123 27.02353
0.5794521 26.22647
0.5821918 26.68857
0.5849315 27.17429
0.5876712 27.48
0.590411 27.32571
0.5931507 26.83143
0.5958904 26.45143
0.5986301 26.64571
0.6013699 27.06
0.6041096 27.21143
0.6068493 26.71429
0.609589 25.76571
0.6123288 25.50571
0.6150685 25.73714
0.6178082 26.40857
0.6205479 26.38286
0.6232877 26.11143
0.6260274 26.17714
0.6287671 26.35143
0.6315068 25.71143
0.6342466 25.92571
0.6369863 25.15429
0.639726 24.48571
0.6424658 25.33143
0.6452055 25.08286
0.6479452 24.93714
0.6506849 25.71714
0.6534247 26.94286
0.6561644 26.48
0.6589041 25.86571
0.6616438 25.11765
0.6643836 26.00882
0.6671233 24.97714
0.669863 24.55882
0.6726027 24.73429
0.6753425 24.04
0.6780822 24.21714
0.6808219 23.84286
0.6835616 24.11143
0.6863014 24.38286
0.6890411 24.62857
0.6917808 24.16571
0.6945205 24.15143
0.6972603 22.52286
0.7 22.14857
0.7027397 23.55429
0.7054795 22.42286
0.7082192 21.27429
0.7109589 20.87429
0.7136986 21.68857
0.7164384 21.50857
0.7191781 20.98
0.7219178 21.80286
0.7246575 21.00286
0.7273973 20.28286
0.730137 18.97429
0.7328767 19.09143
0.7356164 19.41714
0.7383562 20.18857
0.7410959 19.04571
0.7438356 17.66857
0.7465753 18.19429
0.7493151 18.76857
0.7520548 18.76571
0.7547945 18.10571
0.7575342 17.79714
0.760274 16.41429
0.7630137 16.98571
0.7657534 17.32571
0.7684932 16.44571
0.7712329 17.07429
0.7739726 15.98286
0.7767123 16.05429
0.7794521 16.01714
0.7821918 16.04286
0.7849315 15.99714
