time temperature
0.001369863 1.537143
0.004109589 0.5885714
0.006849315 0.2542857
0.009589041 0.8914286
0.01232877 -0.5882353
0.01506849 -0.58
0.01780822 0.46
0.02054795 -0.9735294
0.02328767 -2.245714
0.0260274 -2.111429
0.02876712 -1.177143
0.03150685 -1.628571
0.03424658 -1.057143
0.0369863 -0.03142857
0.03972603 -0.8057143
0.04246575 -2.437143
0.04520548 -1.131429
0.04794521 -0.7885714
0.05068493 -1.562857
0.05342466 -1.191429
0.05616438 -1.454286
0.05890411 -0.8628571
0.06164384 0.7457143
0.06438356 1.268571
0.06712329 0.8914286
0.06986301 0.5742857
0.07260274 0.05714286
0.07534247 -0.9342857
0.07808219 -0.4142857
0.08082192 -0.86
0.08356164 -1.148571
0.08630137 -0.4
0.0890411 -0.2771429
0.09178082 -0.2914286
0.09452055 -1.511429
0.09726027 0.1828571
0.1 0.08
0.1027397 -0.8685714
0.1054795 -0.5257143
0.1082192 -1.091429
0.1109589 -1.274286
0.1136986 0.2857143
0.1164384 0.36
0.1191781 0.5171429
0.1219178 -0.2685714
0.1246575 0.54
0.1273973 1.52
0.130137 1.214286
0.1328767 1.274286
0.1356164 3.894286
0.1383562 2.668571
0.1410959 2.214286
0.1438356 3.02
0.1465753 4.371429
0.1493151 2.697143
0.1520548 2.457143
0.1547945 0.5057143
0.1575342 1.1
0.160274 1.902857
0.1630137 2.697059
0.1657534 3.508571
0.1684932 5.268571
0.1712329 5.022857
0.1739726 6.651429
0.1767123 4.954286
0.1794521 4.72
0.1821918 4.688571
0.1849315 4.86
0.1876712 5.38
0.190411 5.591429
0.1931507 4.474286
0.1958904 5.757143
0.1986301 5.317143
0.2013699 5.831429
0.2041096 6.322857
0.2068493 5.494286
0.209589 5.537143
0.2123288 5.111429
0.2150685 6.091429
0.2178082 7.057143
0.2205479 5.842857
0.2232877 6.528571
0.2260274 8.208571
0.2287671 7.947059
0.2315068 7.968571
0.2342466 8.877143
0.2369863 9.782857
0.239726 11.39429
0.2424658 11.64
0.2452055 10.49714
0.2479452 10.66857
0.2506849 11.35429
0.2534247 10.87714
0.2561644 10.02571
0.2589041 10.20571
0.2616438 10.1
0.2643836 10.17429
0.2671233 10.94857
0.269863 10.37714
0.2726027 11.08286
0.2753425 10.46286
0.2780822 11.72941
0.2808219 13.84
0.2835616 14.39429
0.2863014 15.18857
0.2890411 14.21714
0.2917808 14.80286
0.2945205 15.23714
0.2972603 14.62
0.3 16.26857
0.3027397 16.16176
0.3054795 16.05143
0.3082192 15.92286
