time temperature
0.001369863 7.365714
0.004109589 8.852941
0.006849315 7.723529
0.009589041 7.16
0.01232877 9.120588
0.01506849 7.897143
0.01780822 7.6
0.02054795 7.797059
0.02328767 6.678788
0.0260274 6.771429
0.02876712 7.377143
0.03150685 7.045714
0.03424658 10.12286
0.0369863 9.885294
0.03972603 10.72059
0.04246575 10.65882
0.04520548 9.694118
0.04794521 8.426471
0.05068493 8.074286
0.05342466 8.277143
0.05616438 9.542857
0.05890411 10.60286
0.06164384 11.71143
0.06438356 11.69714
0.06712329 10.98286
0.06986301 10.41143
0.07260274 9.96
0.07534247 10.60286
0.07808219 11.40571
0.08082192 10.74
0.08356164 12.32059
0.08630137 11.03429
0.0890411 10.14
0.09178082 11.38286
0.09452055 10.44571
0.09726027 9.34
0.1 10.28857
0.1027397 10.7
0.1054795 9.471429
0.1082192 11.1
0.1109589 12.69143
0.1136986 11.94857
0.1164384 14.10571
0.1191781 14.57714
0.1219178 12.42
0.1246575 11.53235
0.1273973 12.12857
0.130137 13.27429
0.1328767 13.48286
0.1356164 14.74571
0.1383562 15.43143
0.1410959 13.30286
0.1438356 14.17429
0.1465753 12.74571
0.1493151 13.58286
0.1520548 14.84
0.1547945 14.98571
0.1575342 15.91714
0.160274 15.62286
0.1630137 16.46571
0.1657534 17.00286
0.1684932 15.16286
0.1712329 13.84286
0.1739726 14.28286
0.1767123 16.54571
0.1794521 17.98571
0.1821918 16.83143
0.1849315 17.26857
0.1876712 18.2
0.190411 17.82286
0.1931507 16.74857
0.1958904 17.48286
0.1986301 19.00571
0.2013699 17.72
0.2041096 17.38
0.2068493 18.16
0.209589 18.03143
0.2123288 18.39143
0.2150685 18.23235
0.2178082 18.82857
0.2205479 20.35143
0.2232877 19.46471
0.2260274 17.69143
0.2287671 18.86571
0.2315068 20.75143
0.2342466 21.14
0.2369863 20.65714
0.239726 18.54
0.2424658 18.6
0.2452055 21.45429
0.2479452 21.58571
0.2506849 21.39143
0.2534247 21.88
0.2561644 19.60882
0.2589041 21.41143
0.2616438 22.92857
0.2643836 24.04286
0.2671233 22.88
0.269863 22.85429
0.2726027 23.65143
0.2753425 24.04286
0.2780822 23.27429
0.2808219 23.36571
0.2835616 24.24571
0.2863014 25.23714
0.2890411 26.32857
0.2917808 25.91429
0.2945205 24.58571
0.2972603 24.84286
0.3 24.87714
0.3027397 25.30571
0.3054795 26.12286
0.3082192 26.4
0.3109589 26.81143
0.3136986 25.98286
0.3164384 24.84
0.3191781 24.39429
0.3219178 24.58571
0.3246575 25.58
0.3273973 24.70625
0.330137 23.68
0.3328767 23.78571
0.3356164 24.48571
0.3383562 26.86
0.3410959 27.29714
0.3438356 26.94857
0.3465753 27.34
0.3493151 27.78571
0.3520548 27.85143
0.3547945 27.66857
0.3575342 28.15429
0.360274 28.01429
0.3630137 28.07714
0.3657534 27.82857
0.3684932 28.81143
0.3712329 29
0.3739726 29.00286
0.3767123 29.28571
0.3794521 28.55429
0.3821918 27.88857
0.3849315 28.63143
0.3876712 29.69429
0.390411 28.60286
0.3931507 29.85714
0.3958904 29.87429
0.3986301 29.50286
0.4013699 29.27429
0.4041096 28.90588
0.4068493 29.82857
0.409589 29.36
0.4123288 29.56176
0.4150685 29.17429
0.4178082 29.11143
0.4205479 28.84857
0.4232877 30.00286
0.4260274 30.64
0.4287671 31.99143
0.4315068 33.03714
0.4342466 33.39143
0.4369863 31.71714
0.439726 31.68
0.4424658 31.88571
0.4452055 32.92
0.4479452 33.35143
0.4506849 33.68857
0.4534247 33.14857
0.4561644 33.30286
0.4589041 33.47429
0.4616438 33.90286
0.4643836 34.07714
0.4671233 34.81429
0.469863 34.26176
0.4726027 34.52857
0.4753425 33.96
0.4780822 34.38571
0.4808219 34.14286
0.4835616 34.28571
0.4863014 35.77714
0.4890411 36.38
0.4917808 36.44571
0.4945205 36.2
0.4972603 36.36857
0.5 36.61429
0.5027397 36.07429
0.5054795 35.94857
0.5082192 35.96571
0.5109589 36.14286
0.5136986 36.47143
0.5164384 37.08
0.5191781 36.48857
0.5219178 36.89714
0.5246575 36.98857
0.5273973 36.4
0.530137 36.50286
0.5328767 36.45714
0.5356164 36.07714
0.5383562 36.31429
0.5410959 36.77714
0.5438356 37.23714
0.5465753 36.94857
0.5493151 36.38286
0.5520548 35.85143
0.5547945 36.08571
0.5575342 36.26286
0.560274 36.16
0.5630137 36.34
0.5657534 37.00571
0.5684932 36.12857
0.5712329 36.33429
0.5739726 35.96
0.5767123 36.69714
0.5794521 36.32
0.5821918 35.99429
0.5849315 36.17429
0.5876712 36.38
0.590411 36.25714
0.5931507 36.47143
0.5958904 36.86
0.5986301 37.44857
0.6013699 36.82571
0.6041096 37.01143
0.6068493 35.47143
0.609589 34.96857
0.6123288 35.14286
0.6150685 35.03429
0.6178082 34.73143
0.6205479 34.53714
0.6232877 35.80571
0.6260274 36.39429
0.6287671 35.47429
0.6315068 35.33143
0.6342466 35.64857
0.6369863 36.09714
0.639726 35.31714
0.6424658 34.96571
0.6452055 34.90571
0.6479452 35.20286
0.6506849 35.33714
0.6534247 34.06857
0.6561644 34.14
0.6589041 34.77714
0.6616438 35.11429
0.6643836 33.38824
0.6671233 32.76
0.669863 32.84
0.6726027 33.62857
0.6753425 33.06857
0.6780822 33.18
0.6808219 32.61714
0.6835616 33.15429
0.6863014 32.91714
0.6890411 32.63429
0.6917808 32.1
0.6945205 33.12571
0.6972603 31.90286
0.7 30.50571
0.7027397 29.93429
0.7054795 29.35714
0.7082192 29.34857
0.7109589 29.87429
0.7136986 29.53429
0.7164384 29.99714
0.7191781 29.55882
0.7219178 29.47143
0.7246575 29.21714
0.7273973 28.23714
0.730137 27.33714
0.7328767 29.3
0.7356164 28.79429
0.7383562 28.68
0.7410959 28.63429
0.7438356 28.73429
0.7465753 29.19143
0.7493151 29.41429
0.7520548 28.82571
0.7547945 28.64
0.7575342 28.95143
0.760274 28.33143
0.7630137 27.01429
0.7657534 26.66857
0.7684932 26.57714
0.7712329 25.85714
0.7739726 26.6
0.7767123 26.56286
0.7794521 26.14
0.7821918 27.09143
0.7849315 26.42286
0.7876712 25.71714
0.790411 25.04857
0.7931507 24.24571
0.7958904 22.97647
0.7986301 21.99429
0.8013699 23.88857
0.8041096 25.32286
0.8068493 24.86286
0.809589 24.06286
0.8123288 23.06571
0.8150685 22.00286
0.8178082 23.53235
0.8205479 23.08286
0.8232877 21.08
0.8260274 20.76286
0.8287671 20.08
0.8315068 20.59714
0.8342466 18.85
0.8369863 17.74706
0.839726 17.74118
0.8424658 17.94706
0.8452055 18.13939
0.8479452 18.38235
0.8506849 19.4
0.8534247 18.95588
0.8561644 17.26667
0.8589041 16.6
0.8616438 16.82353
0.8643836 17.47941
0.8671233 17.38824
0.869863 16.49118
0.8726027 16.85152
0.8753425 15.88182
0.8780822 16.07059
0.8808219 15.65588
0.8835616 15.63824
0.8863014 15.37353
0.8890411 15.17941
0.8917808 14.12424
0.8945205 12.72353
0.8972603 14.03235
0.9 14.63235
0.9027397 13.90588
0.9054795 11.32059
0.9082192 10.90294
0.9109589 12.06176
0.9136986 12.53529
0.9164384 11.9
0.9191781 13.14
0.9219178 12.45429
0.9246575 14.33143
0.9273973 13.44
0.930137 11.38857
0.9328767 12.25429
0.9356164 10.15714
0.9383562 10.22
0.9410959 10.49429
0.9438356 10.32857
0.9465753 10.98182
0.9493151 10.34
0.9520548 9.531429
0.9547945 8.571429
0.9575342 9.822857
0.960274 10.62941
0.9630137 10.22286
0.9657534 9.137143
0.9684932 9.167647
0.9712329 9.094286
0.9739726 9.377143
0.9767123 10.25714
0.9794521 9.991429
0.9821918 9.974286
0.9849315 10.28286
0.9876712 9.855882
0.990411 9.654286
0.9931507 9.651429
0.9958904 8.239394
0.9986301 7.832353
