time temperature
0.001369863 0.8742857
0.004109589 0.6342857
0.006849315 0.9742857
0.009589041 2.485714
0.01232877 2.625714
0.01506849 1.708571
0.01780822 1.185714
0.02054795 1.828571
0.02328767 2.368571
0.0260274 2.288571
0.02876712 2.268571
0.03150685 2.648571
0.03424658 3.057143
0.0369863 3.891429
0.03972603 4.24
0.04246575 3.842857
0.04520548 4.14
0.04794521 4.002941
0.05068493 4.147059
0.05342466 3.628571
0.05616438 4.105714
0.05890411 3.94
0.06164384 3.262857
0.06438356 3.828571
0.06712329 4.011429
0.06986301 3.551429
0.07260274 3.54
0.07534247 3.811429
0.07808219 4.017143
0.08082192 3.345714
0.08356164 3.442857
0.08630137 3.44
0.0890411 3.888571
0.09178082 4.565714
0.09452055 4.6
0.09726027 4.811429
0.1 4.225714
0.1027397 4.902857
0.1054795 5.448571
0.1082192 5.997143
0.1109589 6.022857
0.1136986 6.151429
0.1164384 6.008571
0.1191781 5.765714
0.1219178 5.574286
0.1246575 5.614286
0.1273973 5.185714
0.130137 5.208571
0.1328767 5.671429
0.1356164 6.774286
0.1383562 7.125714
0.1410959 7.317143
0.1438356 7.008571
0.1465753 6.997143
0.1493151 7.688571
0.1520548 6.777143
0.1547945 6.785714
0.1575342 7.268571
0.160274 8.142857
0.1630137 6.968571
0.1657534 6.145714
0.1684932 6.117143
0.1712329 7.208571
0.1739726 7.777143
0.1767123 8.451429
0.1794521 7.842857
0.1821918 8.771429
0.1849315 8.634286
0.1876712 7.891429
0.190411 7.794286
0.1931507 7.665714
0.1958904 7.92
0.1986301 8.52
0.2013699 8.711429
0.2041096 8.957143
0.2068493 8.948571
0.209589 8.965714
0.2123288 9.797143
0.2150685 10.35294
0.2178082 10.61429
0.2205479 10.83143
0.2232877 10.40571
0.2260274 9.445714
0.2287671 10.28286
0.2315068 10.34
0.2342466 9.98
0.2369863 10.03143
0.239726 11.54286
0.2424658 11.55143
0.2452055 11.58286
0.2479452 11.03143
0.2506849 11.18
0.2534247 12.30286
0.2561644 12.94857
0.2589041 13.58857
0.2616438 12.23714
0.2643836 12.55143
0.2671233 12.80286
0.269863 12.08
0.2726027 11.93143
0.2753425 12.86
0.2780822 13.05429
0.2808219 14.71143
0.2835616 15.36286
0.2863014 14.61714
0.2890411 13.71143
