time temperature
0.001369863 2.874286
0.004109589 1.588571
0.006849315 1.62
0.009589041 1.745714
0.01232877 0.8714286
0.01506849 0.92
0.01780822 1.905714
0.02054795 0.2971429
0.02328767 -0.5114286
0.0260274 -0.38
0.02876712 -0.3771429
0.03150685 0.04285714
0.03424658 0.6142857
0.0369863 0.8457143
0.03972603 0.08857143
0.04246575 -0.22
0.04520548 0.2457143
0.04794521 0.5514286
0.05068493 0.1942857
0.05342466 0.56
0.05616438 0.16
0.05890411 1.222857
0.06164384 1.94
0.06438356 1.934286
0.06712329 2.431429
0.06986301 2.377143
0.07260274 1.445714
0.07534247 0.6314286
0.07808219 0.4114286
0.08082192 1.08
0.08356164 1.045714
0.08630137 0.92
0.0890411 2.02
0.09178082 2.014286
0.09452055 1.122857
0.09726027 1.465714
0.1 1.685714
0.1027397 0.8428571
0.1054795 0.84
0.1082192 0.5571429
0.1109589 1.488571
0.1136986 1.997143
0.1164384 1.302857
0.1191781 1.222857
0.1219178 1.871429
0.1246575 2.657143
0.1273973 3.06
0.130137 2.74
0.1328767 4.068571
0.1356164 4.254286
0.1383562 4
0.1410959 4.92
0.1438356 5.697143
0.1465753 5.011429
0.1493151 5.145714
0.1520548 3.825714
0.1547945 2.817143
0.1575342 3.911429
0.160274 5
0.1630137 5.78
0.1657534 6.868571
0.1684932 6.354286
0.1712329 6.131429
0.1739726 7.748571
0.1767123 5.614286
0.1794521 7.297143
0.1821918 6.425714
0.1849315 5.785714
0.1876712 7.365714
0.190411 6.508571
0.1931507 6.528571
0.1958904 7.408571
0.1986301 7.251429
0.2013699 8.194286
0.2041096 8.022857
0.2068493 8.337143
0.209589 7.24
0.2123288 8.645714
0.2150685 8.588571
0.2178082 8.302857
0.2205479 8.574286
0.2232877 10.42
0.2260274 9.742857
0.2287671 10.46571
0.2315068 11.70857
0.2342466 11.60571
0.2369863 13.50857
0.239726 14.18857
0.2424658 12.06
0.2452055 12.00571
0.2479452 12.38286
0.2506849 12.10857
0.2534247 12.56286
0.2561644 12.45429
0.2589041 13.58857
0.2616438 12.06286
0.2643836 12.61143
0.2671233 13.28857
0.269863 12.95143
0.2726027 13.16571
0.2753425 14.25429
0.2780822 14.62
0.2808219 14.82857
0.2835616 16.17429
0.2863014 15.57143
0.2890411 16.35143
0.2917808 17.54571
0.2945205 18.22286
0.2972603 17.44571
0.3 17.63429
0.3027397 18.18571
0.3054795 18.15143
0.3082192 18.39429
0.3109589 16.85714
0.3136986 17.97429
0.3164384 19.69143
0.3191781 19.54286
0.3219178 18.71429
0.3246575 19.14571
0.3273973 19.44
0.330137 19.12571
0.3328767 18.66857
0.3356164 19.34571
0.3383562 18.83714
0.3410959 20.16
0.3438356 20.42571
0.3465753 20.53143
0.3493151 19.2
0.3520548 20.24286
0.3547945 21.67143
0.3575342 21.46
0.360274 21.20857
0.3630137 21.52571
0.3657534 21.88286
0.3684932 22.14857
0.3712329 21.66571
0.3739726 22.98571
0.3767123 22.08571
0.3794521 23.43429
0.3821918 23.47143
0.3849315 22.96571
0.3876712 24.29714
0.390411 23.98571
0.3931507 23.30571
0.3958904 23.72
0.3986301 22.66
0.4013699 22.70857
0.4041096 23.78571
0.4068493 23.74571
0.409589 23.84286
0.4123288 24.51143
0.4150685 25.33143
0.4178082 24.72857
0.4205479 23.76571
