time temperature
0.001369863 13.50857
0.004109589 13.27143
0.006849315 13.27714
0.009589041 13.58571
0.01232877 12.58571
0.01506849 13.20286
0.01780822 14.22286
0.02054795 12.21143
0.02328767 11.68286
0.0260274 10.88571
0.02876712 11.92
0.03150685 11.22286
0.03424658 11.66857
0.0369863 11.31143
0.03972603 11.71429
0.04246575 11.79714
0.04520548 12.60286
0.04794521 13.41714
0.05068493 11.93143
0.05342466 12.06
0.05616438 12.12286
0.05890411 13.06857
0.06164384 14.53143
0.06438356 14.54857
0.06712329 14.53714
0.06986301 13.67143
0.07260274 13.06286
0.07534247 13.65143
0.07808219 14.73429
0.08082192 14.93143
0.08356164 14.96286
0.08630137 15.86857
0.0890411 15.14286
0.09178082 14.30286
0.09452055 14.40857
0.09726027 13.34286
0.1 13.76857
0.1027397 12.93429
0.1054795 13.39429
0.1082192 13.64571
0.1109589 14.29143
0.1136986 15.13714
0.1164384 15.18571
0.1191781 14.30857
0.1219178 16.73714
0.1246575 17.09714
0.1273973 15.80571
0.130137 15.26857
0.1328767 14.07714
0.1356164 16.00857
0.1383562 16.15714
0.1410959 16.82571
0.1438356 16.59429
0.1465753 16.21143
0.1493151 17.34
0.1520548 15.60571
0.1547945 14.37714
0.1575342 15.60571
0.160274 16.80857
0.1630137 16.93714
0.1657534 17.04
0.1684932 18.23429
0.1712329 19.31143
0.1739726 19.25429
0.1767123 18.56857
0.1794521 18.49714
0.1821918 17.85429
0.1849315 17.94
0.1876712 18.48571
0.190411 18.37714
0.1931507 20.99429
0.1958904 20.39714
0.1986301 20.48571
0.2013699 20.54
0.2041096 18.89714
0.2068493 19.06857
0.209589 19.45143
0.2123288 21.48571
0.2150685 20.88
0.2178082 20.54
0.2205479 19.43429
0.2232877 19.86857
0.2260274 21.12286
0.2287671 20.41714
0.2315068 20.72
0.2342466 21.71429
0.2369863 22.19429
0.239726 23.00286
0.2424658 22.85714
0.2452055 22.55714
0.2479452 23.10857
0.2506849 23.24
0.2534247 22.96
0.2561644 24.04
0.2589041 22.14286
0.2616438 21.88
0.2643836 22.77714
0.2671233 23.50286
0.269863 23.24857
0.2726027 22.63429
0.2753425 23.98286
0.2780822 25.04286
0.2808219 25.01714
0.2835616 24.62571
0.2863014 25.06286
0.2890411 24.64286
0.2917808 25.82
0.2945205 26.34857
0.2972603 26.24286
0.3 25.19429
0.3027397 26.45429
0.3054795 26.92
0.3082192 26.70571
0.3109589 26.95143
0.3136986 25.31429
0.3164384 26.27429
0.3191781 26.57714
0.3219178 26.09429
0.3246575 25.98
0.3273973 27.22286
0.330137 27.61143
0.3328767 27.09429
0.3356164 26.20857
0.3383562 26.27143
0.3410959 26.65714
0.3438356 27.83714
0.3465753 28.01714
0.3493151 26.92857
0.3520548 26.74571
0.3547945 26.88857
0.3575342 28.43143
0.360274 28.71714
0.3630137 27.90571
0.3657534 28.98571
0.3684932 29.02857
0.3712329 29.09714
0.3739726 28.9
0.3767123 29.24
0.3794521 29.09143
0.3821918 29.22286
0.3849315 29.67714
0.3876712 29.51714
0.390411 29.36857
0.3931507 29.72571
0.3958904 29.73429
0.3986301 29.5
0.4013699 29.34
0.4041096 29.43143
0.4068493 29.74571
0.409589 30.05143
0.4123288 30.74571
0.4150685 30.64857
0.4178082 31.21429
0.4205479 31.21429
0.4232877 30.48286
0.4260274 31.08
0.4287671 31.5
0.4315068 31.49143
0.4342466 31.63429
0.4369863 31.73143
0.439726 31.39429
0.4424658 31.3
0.4452055 31.66286
0.4479452 31.97143
0.4506849 32.05143
0.4534247 31.98857
0.4561644 31.57143
0.4589041 30.79143
0.4616438 31.66286
0.4643836 31.97714
0.4671233 32.11429
0.469863 32.7
0.4726027 32.18571
0.4753425 32.52857
0.4780822 32.45714
0.4808219 32.25143
0.4835616 31.90571
0.4863014 31.41143
0.4890411 31.92286
0.4917808 32.56857
0.4945205 32.86857
0.4972603 33.17714
0.5 32.97714
0.5027397 33.39429
0.5054795 33.01714
0.5082192 32.28
0.5109589 32.53714
0.5136986 32.83429
0.5164384 33.58571
0.5191781 33.68571
0.5219178 34.29714
0.5246575 33.90571
0.5273973 33.73143
0.530137 34.00286
0.5328767 33.90571
0.5356164 33.74571
0.5383562 33.54
0.5410959 32.68286
0.5438356 32.98857
0.5465753 33.7
0.5493151 34.08857
0.5520548 33.96
0.5547945 33.22286
0.5575342 33.52
0.560274 33.61429
0.5630137 33.3
0.5657534 33.53714
0.5684932 33.32
0.5712329 33.09143
0.5739726 33.19143
0.5767123 33.16571
0.5794521 33.09429
0.5821918 33.24286
0.5849315 32.69714
0.5876712 32.95714
0.590411 32.64571
0.5931507 33.26857
0.5958904 32.36857
0.5986301 32.64286
0.6013699 32.79714
0.6041096 33.15143
0.6068493 33.11143
0.609589 32.01143
0.6123288 31.72857
0.6150685 31.68857
0.6178082 31.58857
0.6205479 31.76
0.6232877 31.92286
0.6260274 32.03143
0.6287671 32.38857
0.6315068 33.14857
0.6342466 32.71143
0.6369863 32.46286
0.639726 32.06
0.6424658 32.63714
0.6452055 32.25714
0.6479452 32.26857
0.6506849 31.67143
0.6534247 32.38571
0.6561644 32.02286
0.6589041 32.13143
0.6616438 31.56857
0.6643836 31.67714
0.6671233 31.63714
0.669863 31.27429
0.6726027 31.52857
0.6753425 31.09143
0.6780822 30.28
0.6808219 30.57143
0.6835616 30.42571
0.6863014 31.02571
0.6890411 30.85429
0.6917808 31.11143
0.6945205 30.78286
0.6972603 30.71714
0.7 29.91143
0.7027397 30.04857
0.7054795 30.38857
0.7082192 29.88
0.7109589 29.53143
0.7136986 29.35429
0.7164384 29.64
0.7191781 29.25143
0.7219178 29.76286
0.7246575 29.11143
0.7273973 28.72857
0.730137 27.81429
0.7328767 27.72286
0.7356164 27.93143
0.7383562 28.19143
0.7410959 27.27143
0.7438356 27.06286
0.7465753 26.26286
0.7493151 26.72
0.7520548 27.22
0.7547945 26.73714
0.7575342 26.82857
0.760274 26.55429
0.7630137 26.12571
0.7657534 25.52857
0.7684932 25.38286
0.7712329 26.51714
0.7739726 25.12286
0.7767123 24.69143
0.7794521 25.51429
0.7821918 25.68571
0.7849315 25.72571
0.7876712 25.65714
