time temperature
0.001369863 1.865714
0.004109589 2.1
0.006849315 2.234286
0.009589041 2.402857
0.01232877 2.585714
0.01506849 2.185714
0.01780822 1.822857
0.02054795 1.697143
0.02328767 1.271429
0.0260274 1.285714
0.02876712 2.231429
0.03150685 2.902857
0.03424658 3.751429
0.0369863 3.797143
0.03972603 4.511429
0.04246575 3.82
0.04520548 3.537143
0.04794521 3.268571
0.05068493 3.485714
0.05342466 3.634286
0.05616438 4.985714
0.05890411 4.502857
0.06164384 4.52
0.06438356 4.722857
0.06712329 3.117143
0.06986301 1.731429
0.07260274 3.762857
0.07534247 3.011429
0.07808219 3.351429
0.08082192 3.688571
0.08356164 5.362857
0.08630137 3.357143
0.0890411 3.017143
0.09178082 3.902857
0.09452055 5.028571
0.09726027 4.048571
0.1 4.465714
0.1027397 4.062857
0.1054795 3.925714
0.1082192 6.014286
0.1109589 4.977143
0.1136986 5.388571
0.1164384 7.305714
0.1191781 7.879412
0.1219178 6.34
0.1246575 5.097143
0.1273973 5.314286
0.130137 6.028571
0.1328767 6.685714
0.1356164 6.871429
0.1383562 6.882857
0.1410959 6.3
0.1438356 6.208571
0.1465753 6.14
0.1493151 6.654286
0.1520548 7.014286
0.1547945 8.162857
0.1575342 8.14
0.160274 8.774286
0.1630137 8.688571
0.1657534 7.305714
0.1684932 5.397143
0.1712329 5.917143
0.1739726 7.314286
0.1767123 8.345714
0.1794521 8.56
0.1821918 9.768571
0.1849315 10.20857
0.1876712 10.50286
0.190411 10.73429
0.1931507 9.791429
0.1958904 10.44286
0.1986301 11.00286
0.2013699 10.6
0.2041096 11.51429
0.2068493 10.44571
0.209589 10.81429
0.2123288 10.81143
0.2150685 10.56
0.2178082 12.29714
0.2205479 11.36
0.2232877 10.55714
0.2260274 11.00286
0.2287671 12.64
0.2315068 13.18857
0.2342466 14.31143
0.2369863 13.21143
0.239726 11.38286
0.2424658 13.84571
0.2452055 14.4
0.2479452 13.32
0.2506849 14.35429
0.2534247 13.08857
0.2561644 13.63143
0.2589041 14.94286
0.2616438 17.00857
0.2643836 16.26571
0.2671233 14.34857
0.269863 16.38
0.2726027 16.96857
0.2753425 16.23714
0.2780822 14.72857
0.2808219 14.76
0.2835616 16.18571
0.2863014 17.90857
0.2890411 18.96571
0.2917808 18.2
0.2945205 18.01714
0.2972603 17.46
0.3 16.32
0.3027397 17.02571
0.3054795 18.07714
0.3082192 19.35143
0.3109589 18.82286
0.3136986 17.84
0.3164384 15.35429
0.3191781 14.49714
0.3219178 16.87429
0.3246575 16.82857
0.3273973 17.14286
0.330137 18.37429
0.3328767 18.88286
0.3356164 19.76571
0.3383562 20.9
0.3410959 20.36571
0.3438356 20.63143
0.3465753 20.48571
0.3493151 20.81429
0.3520548 21.5
0.3547945 21.99429
0.3575342 20.62
0.360274 20.17143
0.3630137 21.41429
0.3657534 21.64857
0.3684932 23.18857
0.3712329 22.59714
0.3739726 22.52571
0.3767123 22.01714
0.3794521 22.23714
0.3821918 22.72286
0.3849315 23.41143
0.3876712 22.57143
0.390411 22.74286
0.3931507 23.90571
0.3958904 22.90286
0.3986301 22.69714
0.4013699 23.14
0.4041096 23.63714
0.4068493 23.71429
0.409589 23.48571
0.4123288 23.80571
0.4150685 22.45294
0.4178082 24.90857
0.4205479 25.39714
0.4232877 26.5
0.4260274 25.94286
0.4287671 26.47353
0.4315068 26.46471
0.4342466 24.77429
0.4369863 25.49714
0.439726 26.34857
0.4424658 26.57143
0.4452055 26.95714
0.4479452 27.04412
0.4506849 26.85714
0.4534247 25.30857
0.4561644 26.32857
0.4589041 26.51143
0.4616438 26.62
0.4643836 28.7
0.4671233 28.20571
0.469863 28.98286
0.4726027 27.95143
0.4753425 28.84286
0.4780822 29.62
0.4808219 29.92857
0.4835616 29.78
0.4863014 31.18571
0.4890411 31.43143
0.4917808 30.77143
0.4945205 30.35588
0.4972603 30.27429
0.5 30.93429
0.5027397 31.14857
0.5054795 31.41143
0.5082192 32.22286
0.5109589 32.35429
0.5136986 32.33429
0.5164384 32.17429
0.5191781 31.75143
0.5219178 32.36857
0.5246575 32.15714
0.5273973 31.44857
0.530137 31.36857
0.5328767 31.38286
0.5356164 31.88286
0.5383562 32.77714
0.5410959 32.68286
0.5438356 32.17714
0.5465753 31.02857
0.5493151 30.26857
0.5520548 31.09714
0.5547945 31.78
0.5575342 31.53714
0.560274 31.15588
0.5630137 31.43235
0.5657534 31.29412
0.5684932 30.99706
0.5712329 31.40588
0.5739726 32.83824
0.5767123 32.33143
0.5794521 31.12353
0.5821918 31.65429
0.5849315 31.22571
0.5876712 30.66
0.590411 31.12286
0.5931507 32.17143
0.5958904 32.58
0.5986301 32.57143
0.6013699 31.84286
0.6041096 30.95143
0.6068493 30.40286
0.609589 31.41429
0.6123288 31.69714
