time temperature
0.001369863 9.094286
0.004109589 8.754286
0.006849315 8.428571
0.009589041 8.654286
0.01232877 7.448571
0.01506849 6.82
0.01780822 8.297143
0.02054795 8.16
0.02328767 7.097143
0.0260274 6.811429
0.02876712 7.045714
0.03150685 7.297143
0.03424658 7.214286
0.0369863 7.082857
0.03972603 6.797143
0.04246575 5.857143
0.04520548 7.351429
0.04794521 7.965714
0.05068493 7.282857
0.05342466 7.185714
0.05616438 6.854286
0.05890411 7.531429
0.06164384 8.654286
0.06438356 9.111429
0.06712329 9.371429
0.06986301 10.06857
0.07260274 8.717143
0.07534247 8.177143
0.07808219 9.72
0.08082192 9.068571
0.08356164 9.36
0.08630137 9.631429
0.0890411 10.16571
0.09178082 9.3
0.09452055 9.048571
0.09726027 10.29143
0.1 9.242857
0.1027397 7.734286
0.1054795 7.125714
0.1082192 8.102857
0.1109589 8.5
0.1136986 9.948571
0.1164384 10.82571
0.1191781 9.682353
0.1219178 9.511429
0.1246575 11.25714
0.1273973 12.01429
0.130137 10.79143
0.1328767 10.78286
0.1356164 11.35429
0.1383562 11.38857
0.1410959 11.27714
0.1438356 12.65429
0.1465753 12.9
0.1493151 13.04
0.1520548 11.84286
0.1547945 10.52571
0.1575342 10.04
0.160274 11.78571
0.1630137 11.50857
0.1657534 13.16
0.1684932 13.94
0.1712329 15.12571
0.1739726 15.18857
0.1767123 14.32286
0.1794521 13.85714
0.1821918 14.29714
0.1849315 14.57714
0.1876712 14.27353
0.190411 14.36571
0.1931507 14.86
0.1958904 15.80588
0.1986301 15.74412
0.2013699 14.53429
0.2041096 15.9
0.2068493 14.65429
0.209589 14.64412
0.2123288 15.70857
0.2150685 16.19429
0.2178082 16.42571
0.2205479 15.27429
0.2232877 15.26286
0.2260274 16.61471
0.2287671 17.19714
0.2315068 16.17143
0.2342466 17.14857
0.2369863 18.09714
0.239726 19.21714
0.2424658 18.94286
0.2452055 18.98
0.2479452 18.58
0.2506849 18.92286
0.2534247 19.77714
0.2561644 18.95429
0.2589041 19.3
0.2616438 17.87714
0.2643836 17.82571
0.2671233 18.21714
0.269863 19.20857
0.2726027 17.76286
0.2753425 19.82
0.2780822 20.90571
0.2808219 20.98
0.2835616 21.60286
0.2863014 22.57429
0.2890411 20.88857
0.2917808 20.80571
0.2945205 22.18857
0.2972603 23.09429
0.3 22.92286
0.3027397 23.36571
0.3054795 22.82286
0.3082192 22.64857
0.3109589 23.13529
0.3136986 22.53429
0.3164384 22.6
0.3191781 22.93429
0.3219178 22.71176
0.3246575 22.41714
0.3273973 22.98571
0.330137 24.15
0.3328767 23.62059
0.3356164 22.78824
0.3383562 22.82647
0.3410959 23.60882
0.3438356 23.76765
0.3465753 24.44412
0.3493151 24.07059
0.3520548 23.30882
0.3547945 23
0.3575342 23.67059
0.360274 24.42647
0.3630137 25.17647
0.3657534 25.89706
0.3684932 25.93529
0.3712329 25.53824
0.3739726 25.66765
0.3767123 25.62059
0.3794521 26.57059
0.3821918 26.23824
0.3849315 25.44706
0.3876712 26.35294
0.390411 27.00588
0.3931507 26.64412
0.3958904 26.74848
0.3986301 26.1
0.4013699 25.88529
0.4041096 26.92353
0.4068493 26.06471
0.409589 26.11471
0.4123288 27.29118
0.4150685 27.27714
