time temperature
0.001369863 9.591176
0.004109589 9.954286
0.006849315 10.18286
0.009589041 8.797143
0.01232877 9.52
0.01506849 9.905714
0.01780822 10.52286
0.02054795 9.605714
0.02328767 10.48
0.0260274 8.768571
0.02876712 8.288571
0.03150685 9.314286
0.03424658 9.077143
0.0369863 9.791429
0.03972603 10.92
0.04246575 11.64
0.04520548 11.30286
0.04794521 10.83714
0.05068493 9.525714
0.05342466 9.954286
0.05616438 10.35429
0.05890411 10.80571
0.06164384 11.30857
0.06438356 11.58571
0.06712329 14.17429
0.06986301 13.11143
0.07260274 11.90286
0.07534247 12.57143
0.07808219 12.41429
0.08082192 12.09429
0.08356164 13.01429
0.08630137 12.92571
0.0890411 13.04857
0.09178082 10.47429
0.09452055 11.74286
0.09726027 11.47143
0.1 10.24857
0.1027397 9.211429
0.1054795 11.64286
0.1082192 12.44706
0.1109589 12.70882
0.1136986 13.44286
0.1164384 12.35143
0.1191781 14.23714
0.1219178 16.62571
0.1246575 14.6
0.1273973 13.6
0.130137 13.01714
0.1328767 14.03714
0.1356164 13.85143
0.1383562 15.36571
0.1410959 17.01143
0.1438356 13.92286
0.1465753 15.04571
0.1493151 14.43143
0.1520548 15.72424
0.1547945 15.60571
0.1575342 14.45143
0.160274 15.53529
0.1630137 15.64857
0.1657534 16.26857
0.1684932 17.20857
0.1712329 17.27143
0.1739726 15.56
0.1767123 15.93714
0.1794521 17.34857
0.1821918 17.98857
0.1849315 17.66286
0.1876712 17.69714
0.190411 18.16286
0.1931507 18.36
0.1958904 18.09429
0.1986301 18.26571
0.2013699 19.74
0.2041096 18.84286
0.2068493 19.11143
0.209589 19.84286
0.2123288 19.37143
0.2150685 19.11143
0.2178082 19.27714
0.2205479 19.51143
0.2232877 20.31714
0.2260274 19.16571
0.2287671 17.36286
0.2315068 18.01714
0.2342466 20.49143
0.2369863 21.30286
0.239726 20.16
0.2424658 19.46286
0.2452055 19.55429
0.2479452 21.51143
0.2506849 22.06857
0.2534247 22.43143
0.2561644 21.57429
0.2589041 20.33714
0.2616438 21.46571
0.2643836 22.52286
0.2671233 22.64857
0.269863 21.84286
0.2726027 23.23714
0.2753425 22.44
0.2780822 23.73529
0.2808219 24.23429
0.2835616 23.42059
0.2863014 22.88529
0.2890411 24.34706
0.2917808 24.90588
0.2945205 25
0.2972603 24.00571
0.3 24.90286
0.3027397 25.08286
0.3054795 24.28235
0.3082192 24.81429
0.3109589 24.69714
0.3136986 24.92571
0.3164384 24.21765
0.3191781 24.07059
0.3219178 24.65429
0.3246575 24.58529
0.3273973 24.65
0.330137 23.61714
0.3328767 24.21765
0.3356164 23.76286
0.3383562 24.46571
0.3410959 25.43429
0.3438356 25.77429
0.3465753 26.11429
0.3493151 26.12941
0.3520548 26.23235
0.3547945 26.31714
0.3575342 26.66286
0.360274 26.68571
0.3630137 27.17714
0.3657534 27.57143
0.3684932 27.47714
0.3712329 28.07714
0.3739726 28.11143
0.3767123 27.72571
0.3794521 28.06
0.3821918 27.97429
0.3849315 28.08
0.3876712 28.07647
0.390411 28.36857
0.3931507 28.48571
0.3958904 28.88857
0.3986301 29
0.4013699 29.21143
0.4041096 28.31714
0.4068493 28.89143
0.409589 28.52857
0.4123288 29.04571
0.4150685 28.45294
0.4178082 28.46857
0.4205479 29.32286
0.4232877 29.60286
0.4260274 30.25143
0.4287671 30.02857
0.4315068 30.63143
0.4342466 30.65143
0.4369863 31.12
0.439726 30.87143
0.4424658 30.83143
0.4452055 30.88286
0.4479452 31.25429
0.4506849 31.33143
0.4534247 32.28571
0.4561644 31.09429
0.4589041 31.03429
0.4616438 31.87714
0.4643836 32.20857
0.4671233 32.6
0.469863 32.79714
0.4726027 32.76286
0.4753425 33.00286
