time temperature
0.001369863 -0.3090909
0.004109589 0.7375
0.006849315 0.1085714
0.009589041 -0.06571429
0.01232877 1.465714
0.01506849 1.862857
0.01780822 1.22
0.02054795 1.005714
0.02328767 1.631429
0.0260274 1.55
0.02876712 2.742857
0.03150685 2.082857
0.03424658 1.605714
0.0369863 2.92
0.03972603 2.988235
0.04246575 2.614286
0.04520548 2.188571
0.04794521 3.034286
0.05068493 3.382857
0.05342466 2.954286
0.05616438 1.893939
0.05890411 2.182353
0.06164384 2.341176
0.06438356 3.011429
0.06712329 2.854286
0.06986301 3.477143
0.07260274 3.285714
0.07534247 3.151429
0.07808219 3.045714
0.08082192 2.232353
0.08356164 2.731429
0.08630137 2.602857
0.0890411 2.631429
0.09178082 2.551429
0.09452055 2.702857
0.09726027 3.111429
0.1 2.842857
0.1027397 2.451429
0.1054795 2.797143
0.1082192 3.505714
0.1109589 2.929412
0.1136986 3.028571
0.1164384 4.297143
0.1191781 3.947059
0.1219178 3.674286
0.1246575 3.257143
0.1273973 3.097059
0.130137 3.105882
0.1328767 3.430303
0.1356164 3.888235
0.1383562 3.573529
0.1410959 3.317647
0.1438356 3.7
0.1465753 3.738235
0.1493151 4.242424
0.1520548 5.651429
0.1547945 5.094286
0.1575342 5.06
0.160274 5.811429
0.1630137 5.554545
0.1657534 5.069697
0.1684932 3.214706
0.1712329 3.670588
0.1739726 4.458824
0.1767123 5.105882
0.1794521 5.858824
0.1821918 6.269697
0.1849315 7.579412
0.1876712 6.858824
0.190411 5.847059
0.1931507 4.985294
0.1958904 6.126471
0.1986301 6.338235
0.2013699 6.238235
0.2041096 6.747059
0.2068493 6.673529
0.209589 6.197059
0.2123288 6.65
0.2150685 7.241176
0.2178082 7.955882
0.2205479 8.502941
0.2232877 7.894118
0.2260274 8.705882
0.2287671 8.408824
0.2315068 8.732353
0.2342466 7.761765
0.2369863 6.947059
0.239726 7.308824
0.2424658 7.708824
0.2452055 8.6
0.2479452 8.270588
0.2506849 8.328571
0.2534247 8.354286
0.2561644 9.265714
0.2589041 10.36
0.2616438 11.47941
0.2643836 11.38286
0.2671233 10.85714
0.269863 11.11429
0.2726027 12.17714
0.2753425 11.31429
0.2780822 11.06
0.2808219 11.75758
0.2835616 12.20882
0.2863014 12.91143
0.2890411 13.6
0.2917808 13.72647
0.2945205 12.91176
0.2972603 10.77714
0.3 10.37714
0.3027397 12.07714
0.3054795 13.25429
0.3082192 13.82353
0.3109589 13.60571
0.3136986 11.76571
0.3164384 11.51429
0.3191781 11.70294
0.3219178 12.93714
0.3246575 14.44286
0.3273973 13.9
0.330137 14.13529
0.3328767 14.96857
0.3356164 16.29143
0.3383562 16.08571
0.3410959 15.08286
0.3438356 14.58
0.3465753 13.75588
0.3493151 14.52647
0.3520548 15.22647
0.3547945 15.89143
0.3575342 16.20588
0.360274 15.97714
0.3630137 16.64571
0.3657534 17.53235
0.3684932 17.90588
0.3712329 17.49714
0.3739726 17.41714
0.3767123 18.34706
0.3794521 18.86286
0.3821918 18.48857
0.3849315 17.83529
0.3876712 18.63529
0.390411 18.80294
0.3931507 19.48182
0.3958904 18.98485
0.3986301 19.06061
0.4013699 19.01515
0.4041096 19.22059
0.4068493 19.80588
0.409589 19.27429
0.4123288 19.66857
0.4150685 19.72857
0.4178082 19.92286
0.4205479 20.81143
0.4232877 21.24286
0.4260274 21.66
0.4287671 21.41429
0.4315068 20.96
0.4342466 20.79714
0.4369863 20.86
0.439726 21.07714
0.4424658 21.36286
0.4452055 22.46
0.4479452 22.95429
0.4506849 22.87143
0.4534247 23.08286
0.4561644 23.48857
0.4589041 23.88857
0.4616438 23.85882
0.4643836 24.54571
0.4671233 24.51714
0.469863 25.23429
0.4726027 25.03143
0.4753425 25.45143
0.4780822 25.37714
0.4808219 25.30286
0.4835616 25.49412
0.4863014 25.91429
0.4890411 26.14286
0.4917808 26.28857
0.4945205 26.15882
0.4972603 26.43429
0.5 26.65294
0.5027397 26.79394
0.5054795 26.77353
0.5082192 26.91143
0.5109589 27.13429
0.5136986 26.52286
0.5164384 26.23714
0.5191781 26.19706
0.5219178 26.33235
0.5246575 26.44706
0.5273973 26.82941
0.530137 26.9
0.5328767 26.88857
0.5356164 27.39429
0.5383562 26.83824
0.5410959 26.87647
0.5438356 26.54857
0.5465753 26.22941
0.5493151 26.53143
0.5520548 25.63143
0.5547945 24.85294
0.5575342 25.12647
0.560274 25.59118
0.5630137 26.12
0.5657534 26.42571
0.5684932 26.41429
0.5712329 26.51714
0.5739726 26.35714
0.5767123 26.50294
0.5794521 26.16765
0.5821918 26.25143
0.5849315 26.41143
0.5876712 26.41429
0.590411 25.76286
0.5931507 26.22571
0.5958904 26.33714
0.5986301 26.16
0.6013699 26.11714
0.6041096 26.50571
0.6068493 26.29429
0.609589 25.74571
0.6123288 25.15714
0.6150685 24.60571
0.6178082 24.46857
0.6205479 24.44857
0.6232877 24.52
0.6260274 24.50571
0.6287671 24.78
0.6315068 24.05429
0.6342466 23.47714
0.6369863 23.64571
0.639726 24.12571
0.6424658 23.85714
0.6452055 24
0.6479452 24.12941
0.6506849 23.95429
0.6534247 23.87143
0.6561644 23.80571
0.6589041 24.06286
0.6616438 24.36286
0.6643836 23.87941
0.6671233 23.06286
0.669863 23.24286
0.6726027 23.62286
0.6753425 24.34571
0.6780822 23.57714
0.6808219 23.14
0.6835616 22.82941
0.6863014 22.49714
0.6890411 22
0.6917808 22.48
0.6945205 21.67143
0.6972603 21.75429
0.7 20.51143
0.7027397 20.29714
0.7054795 20.4
0.7082192 20.68857
0.7109589 20.73429
0.7136986 20.23429
0.7164384 18.33714
0.7191781 18.90571
0.7219178 18.79429
0.7246575 19.02
0.7273973 19.39714
0.730137 19.37429
0.7328767 19.68571
0.7356164 19.66
0.7383562 20.38235
0.7410959 19.80857
0.7438356 18.95143
0.7465753 18.79143
0.7493151 19.08
0.7520548 18.78824
0.7547945 18.43235
0.7575342 17.74286
0.760274 18.00571
0.7630137 17.98571
0.7657534 17.59714
0.7684932 17.02
0.7712329 16.43143
0.7739726 16.48
0.7767123 16.69714
0.7794521 16.14286
0.7821918 15.98286
0.7849315 15.63143
0.7876712 14.60286
0.790411 13.65143
0.7931507 13.72
0.7958904 14.20571
0.7986301 14.22286
0.8013699 14.24286
0.8041096 13.72857
0.8068493 13.30286
0.809589 13.49429
0.8123288 13.44571
0.8150685 12.65143
0.8178082 13.07353
0.8205479 12.93143
0.8232877 12.41429
0.8260274 11.72571
0.8287671 9.8
0.8315068 10.14571
0.8342466 9.748571
0.8369863 10.00857
0.839726 10.14571
0.8424658 10.44571
0.8452055 10.73429
0.8479452 10.48857
0.8506849 9.954286
0.8534247 9.461765
0.8561644 8.673529
0.8589041 9.170588
0.8616438 8.993939
0.8643836 8.402941
0.8671233 7.554286
0.869863 6.409091
0.8726027 6.364706
0.8753425 6.194286
0.8780822 5.739394
0.8808219 5.362857
0.8835616 4.322857
0.8863014 4.2
0.8890411 4.951429
0.8917808 5.028571
0.8945205 4.833333
0.8972603 5.648571
0.9 5.314706
0.9027397 3.985714
0.9054795 2.774286
0.9082192 2.520588
0.9109589 2.454286
0.9136986 3.057143
0.9164384 3.805882
0.9191781 4.444118
0.9219178 4.088235
0.9246575 4.848485
0.9273973 5.038235
0.930137 4.467647
0.9328767 3.970588
0.9356164 2.908824
0.9383562 3.023529
0.9410959 2.994118
0.9438356 3.070588
0.9465753 3.276471
0.9493151 1.258065
0.9520548 1.644118
0.9547945 2.830303
0.9575342 3.117647
0.960274 2.808824
0.9630137 2.357576
0.9657534 2.841176
0.9684932 2.033333
0.9712329 1.452941
0.9739726 2.35
0.9767123 2.384848
0.9794521 1.215152
0.9821918 1.690323
0.9849315 2.335294
0.9876712 1.138235
0.990411 1.108824
0.9931507 1.238235
0.9958904 1.139394
0.9986301 1.266667
