time temperature
0.001369863 7.048571
0.004109589 6.82
0.006849315 7.002857
0.009589041 6.462857
0.01232877 6.274286
0.01506849 5.897143
0.01780822 6.368571
0.02054795 6.874286
0.02328767 4.957143
0.0260274 4.794286
0.02876712 4.714286
0.03150685 4.968571
0.03424658 4.92
0.0369863 5.231429
0.03972603 5.757143
0.04246575 5.465714
0.04520548 5.334286
0.04794521 6.405714
0.05068493 6.351429
0.05342466 5.437143
0.05616438 5.337143
0.05890411 5.602857
0.06164384 6.762857
0.06438356 8.657143
0.06712329 8.322857
0.06986301 7.585714
0.07260274 7.794286
0.07534247 7.44
0.07808219 6.314286
0.08082192 6.965714
0.08356164 7.057143
0.08630137 6.588571
0.0890411 7.4
0.09178082 7.557143
0.09452055 6.342857
0.09726027 7.028571
0.1 6.962857
0.1027397 6.965714
0.1054795 5.7
0.1082192 5.657143
0.1109589 5.648571
0.1136986 7
0.1164384 8.177143
0.1191781 6.068571
0.1219178 6.531429
0.1246575 8.797143
0.1273973 9.302857
0.130137 8.005714
0.1328767 7.96
0.1356164 8.645714
0.1383562 10.28
0.1410959 9.885714
0.1438356 10.03429
0.1465753 11.10857
0.1493151 9.791429
0.1520548 10.69714
0.1547945 8.922857
0.1575342 7.702857
0.160274 9.328571
0.1630137 10.71143
0.1657534 10.75143
0.1684932 12.00571
0.1712329 10.15714
0.1739726 12.08
0.1767123 13.04857
0.1794521 11.36286
0.1821918 12.28286
0.1849315 11.31143
0.1876712 11.85714
0.190411 11.98857
0.1931507 12
0.1958904 13.29143
0.1986301 13.03143
0.2013699 12.28
0.2041096 13.36286
0.2068493 12.68286
0.209589 13.31714
0.2123288 12.40857
0.2150685 13.56
0.2178082 12.93714
0.2205479 13.2
0.2232877 12.91714
0.2260274 14.37714
0.2287671 14.67143
0.2315068 13.65143
0.2342466 15.06857
0.2369863 15.74857
0.239726 17.56
0.2424658 18.00286
0.2452055 16.50857
0.2479452 16.16
0.2506849 18.05429
0.2534247 18.84118
0.2561644 18.22857
0.2589041 17.44
0.2616438 16.60857
0.2643836 14.88857
0.2671233 16.98
0.269863 17.13143
0.2726027 16.60286
0.2753425 17.31143
0.2780822 18.17143
0.2808219 18.7
0.2835616 18.14571
0.2863014 19.62
0.2890411 18.87429
0.2917808 19.55429
0.2945205 21.34857
0.2972603 21.56857
0.3 20.85429
0.3027397 20.80286
0.3054795 21.72571
0.3082192 21.06286
0.3109589 21.96
0.3136986 21.80857
0.3164384 21.10286
0.3191781 21.15714
0.3219178 20.73143
0.3246575 21.15714
0.3273973 20.94571
0.330137 22.12857
0.3328767 23.02
0.3356164 22.25714
0.3383562 22.06
0.3410959 20.90571
0.3438356 22.64857
0.3465753 23.49714
0.3493151 22.32571
0.3520548 23.42
0.3547945 23.00857
0.3575342 23.74857
0.360274 24.14
0.3630137 24.24
0.3657534 24.00857
0.3684932 23.18571
0.3712329 24.31143
0.3739726 24.25429
0.3767123 24.83714
0.3794521 24.64
0.3821918 24.58857
0.3849315 24.80571
0.3876712 24.4
0.390411 24.97143
0.3931507 25.36
0.3958904 25.55143
0.3986301 24.71714
0.4013699 24.84
0.4041096 23.59429
0.4068493 24.34571
0.409589 25.20571
