time temperature
0.001369863 6.134286
0.004109589 5.982857
0.006849315 6.208571
0.009589041 6.008571
0.01232877 5.551429
0.01506849 5.257143
0.01780822 6.22
0.02054795 6.62
0.02328767 7.105714
0.0260274 6.582857
0.02876712 7.065714
0.03150685 7.477143
0.03424658 7.874286
0.0369863 8.225714
0.03972603 8.282857
0.04246575 8.334286
0.04520548 7.777143
0.04794521 7.931429
0.05068493 8.065714
0.05342466 7.92
0.05616438 7.62
0.05890411 7.422857
0.06164384 7.662857
0.06438356 7.06
0.06712329 7.742857
0.06986301 7.051429
0.07260274 7.251429
0.07534247 7.488571
0.07808219 7.585714
0.08082192 7.937143
0.08356164 8.288571
0.08630137 7.971429
0.0890411 8.348571
0.09178082 9.005714
0.09452055 8.857143
0.09726027 9.274286
0.1 9.168571
0.1027397 9.468571
0.1054795 9.471429
0.1082192 9.248571
0.1109589 9.434286
0.1136986 9.785714
0.1164384 10.15714
0.1191781 9.431429
0.1219178 9.462857
0.1246575 9.365714
0.1273973 9.026471
0.130137 8.985294
0.1328767 9.532353
0.1356164 9.95
0.1383562 9.979412
0.1410959 10.07353
0.1438356 10.72059
0.1465753 10.37353
0.1493151 10.16857
0.1520548 10.25143
0.1547945 9.862857
0.1575342 11.04857
0.160274 10.33429
0.1630137 9.411429
0.1657534 9.965714
0.1684932 9.345714
0.1712329 9.92
0.1739726 10.96
0.1767123 11.07429
0.1794521 10.88
0.1821918 11.20857
0.1849315 11.31143
0.1876712 11.52286
0.190411 11.28
0.1931507 11.37429
0.1958904 11.6
0.1986301 11.17143
0.2013699 11.39714
0.2041096 12
0.2068493 11.55714
0.209589 11.85429
0.2123288 12.17714
0.2150685 12.84
0.2178082 12.23714
0.2205479 12.28286
0.2232877 11.77714
0.2260274 12.02
0.2287671 11.65429
0.2315068 11.76571
0.2342466 11.80857
0.2369863 12.16571
0.239726 13.04571
0.2424658 13.36
0.2452055 13.06
0.2479452 12.45
0.2506849 12.70294
0.2534247 12.65
0.2561644 13.01176
0.2589041 13.65588
0.2616438 13.15588
0.2643836 13.86765
0.2671233 13.48529
0.269863 13.24412
0.2726027 13.41176
0.2753425 13.31176
0.2780822 13.68235
0.2808219 13.60882
0.2835616 14.43824
0.2863014 13.72059
0.2890411 13.63235
0.2917808 13.57941
0.2945205 13.37647
0.2972603 14.14412
0.3 14.08529
0.3027397 14.21471
0.3054795 14.02059
0.3082192 14.41176
0.3109589 13.90294
0.3136986 14.29706
0.3164384 15.03529
0.3191781 15.9
0.3219178 15.57353
0.3246575 15.95
0.3273973 16.21471
0.330137 15.88857
0.3328767 16
0.3356164 15.78286
0.3383562 16.26571
0.3410959 16.18286
0.3438356 16.24
0.3465753 17.19143
0.3493151 16.70571
0.3520548 17.34571
0.3547945 17.44286
0.3575342 16.85429
0.360274 16.38571
0.3630137 16.55143
0.3657534 16.62571
0.3684932 17.76
0.3712329 17.78857
0.3739726 17.58286
0.3767123 18.20857
0.3794521 18.33143
0.3821918 18.01714
0.3849315 18.94571
0.3876712 18.22
0.390411 17.96571
0.3931507 18.37429
0.3958904 18.34857
0.3986301 18.24286
0.4013699 18.06
0.4041096 18.69429
0.4068493 18.96857
0.409589 18.90857
0.4123288 19.26
0.4150685 19.34
0.4178082 19.62647
