time temperature
0.001369863 -3.702857
0.004109589 -2.68
0.006849315 -2.954286
0.009589041 -3.605714
0.01232877 -3.814286
0.01506849 -3.494286
0.01780822 -4.417143
0.02054795 -4.9
0.02328767 -5.32
0.0260274 -4.974286
0.02876712 -4.254286
0.03150685 -3.128571
0.03424658 -2.397143
0.0369863 -3.977143
0.03972603 -4.68
0.04246575 -3.934286
0.04520548 -3.062857
0.04794521 -3.891429
0.05068493 -3.348571
0.05342466 -3.871429
0.05616438 -2.274286
0.05890411 -1.668571
0.06164384 -1.011429
0.06438356 -1.822857
0.06712329 -2.06
0.06986301 -3.868571
0.07260274 -4.68
0.07534247 -4.217647
0.07808219 -3.468571
0.08082192 -3.385714
0.08356164 -3.371429
0.08630137 -2.594286
0.0890411 -3.308571
0.09178082 -3.68
0.09452055 -2.197143
0.09726027 -2.48
0.1 -3.145714
0.1027397 -2.525714
0.1054795 -2.811429
0.1082192 -2.582857
0.1109589 -2.02
0.1136986 -1.431429
0.1164384 -1.282857
0.1191781 -1.305714
0.1219178 -0.3514286
0.1246575 -0.3971429
0.1273973 -0.6857143
0.130137 0.3142857
0.1328767 0.94
0.1356164 0.5057143
0.1383562 1.5
0.1410959 1.114286
0.1438356 1.451429
0.1465753 0.68
0.1493151 -0.02571429
0.1520548 -0.6942857
0.1547945 0.2885714
0.1575342 1.288571
0.160274 1.648571
0.1630137 2.194286
0.1657534 3.311429
0.1684932 3.505714
0.1712329 3.428571
0.1739726 2.491429
0.1767123 3.362857
0.1794521 3.791429
0.1821918 3.3
0.1849315 3.802857
0.1876712 3.337143
0.190411 4.128571
0.1931507 4.828571
0.1958904 4.382857
0.1986301 4.811429
0.2013699 5.442857
0.2041096 5.425714
0.2068493 5.222857
0.209589 5.022857
0.2123288 5.748571
0.2150685 5.934286
0.2178082 5.617143
0.2205479 6.741176
0.2232877 7.677143
0.2260274 6.677143
0.2287671 8.382857
0.2315068 8.525714
0.2342466 8.68
0.2369863 9.731429
0.239726 9.671429
0.2424658 9.474286
0.2452055 10.58286
0.2479452 9.62
0.2506849 9.842857
0.2534247 9.617143
0.2561644 9.065714
0.2589041 9.991429
0.2616438 11.22
0.2643836 12.85143
0.2671233 11.46286
0.269863 11.42571
0.2726027 12.69714
0.2753425 13.01143
0.2780822 13.89118
0.2808219 13.51714
0.2835616 13.87429
0.2863014 13.39714
0.2890411 15.59429
0.2917808 16.27429
0.2945205 16.64
0.2972603 16.32857
0.3 16.12857
0.3027397 16.02
0.3054795 16.36286
0.3082192 15.26857
0.3109589 16.45714
0.3136986 17.24
0.3164384 18.95143
0.3191781 18.34286
0.3219178 17.83714
0.3246575 17.13714
0.3273973 17.30286
0.330137 17.32
0.3328767 18.35143
0.3356164 18.84857
0.3383562 19.03714
0.3410959 19.66857
0.3438356 19.49429
0.3465753 19.48286
0.3493151 19.40857
0.3520548 20.03429
0.3547945 20.29714
0.3575342 21.04286
0.360274 20.83714
0.3630137 20.52571
0.3657534 21.48857
0.3684932 21.86
0.3712329 22.02571
0.3739726 22.24857
0.3767123 21.89143
0.3794521 22.56857
0.3821918 22.60286
0.3849315 23.43143
0.3876712 23.09714
0.390411 22.33143
0.3931507 23.38571
0.3958904 22.77429
0.3986301 22.66286
0.4013699 23.13714
0.4041096 23.23714
0.4068493 23.44571
0.409589 23.75143
0.4123288 24.3
0.4150685 24.06571
0.4178082 23.68286
0.4205479 23.86571
0.4232877 25.42857
0.4260274 25.78
0.4287671 25.98857
0.4315068 26.25429
0.4342466 25.95714
0.4369863 25.89714
0.439726 25.66
0.4424658 26.28857
0.4452055 26.68
0.4479452 27.01714
0.4506849 27.05714
0.4534247 26.09429
0.4561644 24.96571
0.4589041 25.86
0.4616438 26.70286
0.4643836 26.63429
0.4671233 26.63714
0.469863 26.32286
0.4726027 26.13714
0.4753425 25.85714
0.4780822 26.30571
0.4808219 27.33714
0.4835616 28.18857
0.4863014 28.57714
0.4890411 27.88571
0.4917808 27.83429
0.4945205 28.03429
0.4972603 28.34
0.5 28.32857
0.5027397 27.6
0.5054795 28.27429
0.5082192 28.29714
0.5109589 28.16286
0.5136986 28.87429
0.5164384 28.9
0.5191781 28.87714
0.5219178 28.69429
0.5246575 28.88571
0.5273973 29.27143
0.530137 28.72286
0.5328767 27.58857
0.5356164 28.10571
0.5383562 28.48857
0.5410959 29.11143
0.5438356 29.57429
0.5465753 29.29714
0.5493151 29.08286
0.5520548 28.33143
0.5547945 28.89429
0.5575342 28.52857
0.560274 28.97143
0.5630137 28.83429
0.5657534 27.84286
0.5684932 27.44
0.5712329 27.70571
0.5739726 27.97714
0.5767123 27.51429
0.5794521 27.57143
0.5821918 27.83429
0.5849315 28.39143
0.5876712 28.30571
0.590411 27.65714
0.5931507 27.95714
0.5958904 27.69143
0.5986301 27.66571
0.6013699 27.88857
0.6041096 27.11143
0.6068493 26.70286
0.609589 26.53429
0.6123288 26.82857
0.6150685 27.36857
0.6178082 27.04571
0.6205479 27.38
0.6232877 27.84571
