time temperature
0.001369863 6.037143
0.004109589 4.394286
0.006849315 4.557143
0.009589041 3.877143
0.01232877 3.331429
0.01506849 2.414286
0.01780822 4.185714
0.02054795 3.065714
0.02328767 1.425714
0.0260274 2.391429
0.02876712 2.714286
0.03150685 2.288571
0.03424658 2.48
0.0369863 3.662857
0.03972603 3.58
0.04246575 1.028571
0.04520548 2.405714
0.04794521 3.328571
0.05068493 2.302857
0.05342466 2.157143
0.05616438 2.234286
0.05890411 2.537143
0.06164384 4.826471
0.06438356 4.972727
0.06712329 4.808571
0.06986301 5.011429
0.07260274 4.038235
0.07534247 2.842857
0.07808219 3.568571
0.08082192 3.077143
0.08356164 2.582857
0.08630137 3.417143
0.0890411 4.845714
0.09178082 4.965714
0.09452055 3.76
0.09726027 3.965714
0.1 4.588571
0.1027397 3.442857
0.1054795 2.554286
0.1082192 3.152941
0.1109589 2.511429
0.1136986 4.008571
0.1164384 4.217143
0.1191781 4.122857
0.1219178 3.317143
0.1246575 4.685714
0.1273973 6.085714
0.130137 6.2
0.1328767 4.905714
0.1356164 7.377143
0.1383562 7.088571
0.1410959 6.222857
0.1438356 7.057143
0.1465753 8.451429
0.1493151 6.891176
0.1520548 6.891429
0.1547945 4.391429
0.1575342 3.922857
0.160274 5.617143
0.1630137 6.471429
0.1657534 7.662857
0.1684932 9.245714
0.1712329 9.557143
0.1739726 10.63429
0.1767123 9.505714
0.1794521 8.471429
0.1821918 8.585714
0.1849315 8.948571
0.1876712 9.26
0.190411 8.951429
0.1931507 8.84
0.1958904 10.6
0.1986301 10.23143
0.2013699 9.125714
0.2041096 9.871429
0.2068493 10.11143
0.209589 9.26
0.2123288 10.05143
0.2150685 10.90857
0.2178082 10.32
0.2205479 10.27143
0.2232877 10.01714
0.2260274 12.22571
0.2287671 11.22
0.2315068 11.97143
0.2342466 13.38286
0.2369863 13.68571
0.239726 16.08286
0.2424658 15.30571
0.2452055 14.00571
0.2479452 13.89714
0.2506849 15.04286
0.2534247 14.39143
0.2561644 14.28857
0.2589041 14.22286
0.2616438 13.61429
0.2643836 11.98571
0.2671233 13.93143
0.269863 14.01714
0.2726027 13.52286
0.2753425 14.27714
0.2780822 15.22
0.2808219 16.25143
0.2835616 16.72571
0.2863014 18.25429
0.2890411 16.83143
0.2917808 16.82
0.2945205 17.94571
0.2972603 19.16286
0.3 18.90857
0.3027397 20.17429
0.3054795 19.47714
0.3082192 18.70286
0.3109589 19.68
0.3136986 17.81714
0.3164384 17.89143
0.3191781 18.51143
0.3219178 19.30571
0.3246575 18.96857
0.3273973 19.54857
0.330137 20.24286
0.3328767 19.96857
0.3356164 19.29706
0.3383562 18.88235
0.3410959 18.54286
0.3438356 20.71714
0.3465753 20.60571
0.3493151 21.14
0.3520548 20.98286
0.3547945 19.64857
0.3575342 20.80857
0.360274 22.29429
0.3630137 21.68286
0.3657534 21.61143
0.3684932 23.24
0.3712329 23.33143
0.3739726 23.01714
0.3767123 21.48
0.3794521 21.79429
0.3821918 22.22571
0.3849315 23.03429
0.3876712 23.12571
0.390411 24.17941
0.3931507 23.61714
0.3958904 23.58857
0.3986301 23.91429
0.4013699 22.56857
0.4041096 22.55294
0.4068493 23.72647
0.409589 23.11143
0.4123288 23.89429
0.4150685 24.12286
0.4178082 24.19429
0.4205479 23.83714
0.4232877 23.66471
0.4260274 24.26176
0.4287671 25.40294
0.4315068 25.26
0.4342466 25.20571
0.4369863 26.68
0.439726 26.04412
0.4424658 25.72
0.4452055 25.99714
0.4479452 25.91471
0.4506849 25.30286
0.4534247 26.21765
0.4561644 26.75
0.4589041 26.15714
0.4616438 26.07353
0.4643836 26.81176
0.4671233 27.12571
0.469863 25.81429
0.4726027 25.86
0.4753425 26.24857
0.4780822 26.08529
0.4808219 26.06571
0.4835616 26.50571
0.4863014 27.22286
0.4890411 27.32857
0.4917808 27.38571
0.4945205 27.06571
0.4972603 26.92571
0.5 26.7
0.5027397 27.17429
0.5054795 26.58
0.5082192 26.53143
0.5109589 26.65143
0.5136986 27.22857
0.5164384 27.78286
0.5191781 28.08286
0.5219178 27.59143
0.5246575 27.30857
0.5273973 28.07143
0.530137 27.33143
0.5328767 27.83143
0.5356164 27.43714
0.5383562 27.98571
0.5410959 27.94857
0.5438356 28.51143
0.5465753 28.69143
0.5493151 28.56286
0.5520548 28.24857
0.5547945 28.21143
0.5575342 28.27714
0.560274 27.74
0.5630137 28.26286
0.5657534 27.51143
0.5684932 27.81143
0.5712329 27.55714
0.5739726 27.47429
0.5767123 26.49143
0.5794521 26.81471
0.5821918 27.48235
0.5849315 27.67941
